RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,48593,2021-12-04 21:19:16.7419959,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1048,1684,fs03vuln.offsec.lan,0,S-1-5-18,Process creation,OFFSEC\admmig,,"ProcessID: 2124, ProcessGUID: a57649d1-db54-61ab-775c-dc0100000000","RuleName: technique_id=T1035,technique_name=Service Execution","SHA1=FB0A150601470195C47B4E8D87FCB3F50292BEB2,MD5=9321C107D1F7E336CDA550A2BF049108,SHA256=AD6B98C01EE849874E4B4502C3D7853196F6044240D3271E4AB3FC6E3C08E9A4,IMPHASH=159D56D406180A332FBC99290F30700E",ParentProcess: C:\Windows\System32\cmd.exe,"ParentProcessID: 532, ParentProcessGUID: a57649d1-ace8-61a6-885b-920000000000","ParentCommandLine: ""C:\Windows\system32\cmd.exe"" ",PsExec64.exe  -i -s cmd,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID11,13,17,18-PSexec as system execution.evtx",Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1035,technique_name=Service Execution""},{""@Name"":""UtcTime"",""#text"":""2021-12-04 21:19:16.741""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-db54-61ab-775c-dc0100000000""},{""@Name"":""ProcessId"",""#text"":""2124""},{""@Name"":""Image"",""#text"":""C:\\TOOLS\\PsExec64.exe""},{""@Name"":""FileVersion"",""#text"":""2.2""},{""@Name"":""Description"",""#text"":""Execute processes remotely""},{""@Name"":""Product"",""#text"":""Sysinternals PsExec""},{""@Name"":""Company"",""#text"":""Sysinternals - www.sysinternals.com""},{""@Name"":""OriginalFileName"",""#text"":""psexec.c""},{""@Name"":""CommandLine"",""#text"":""PsExec64.exe  -i -s cmd""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\TOOLS\\""},{""@Name"":""User"",""#text"":""OFFSEC\\admmig""},{""@Name"":""LogonGuid"",""#text"":""a57649d1-9e9d-61a6-56ef-830000000000""},{""@Name"":""LogonId"",""#text"":""0x83EF56""},{""@Name"":""TerminalSessionId"",""#text"":""2""},{""@Name"":""IntegrityLevel"",""#text"":""High""},{""@Name"":""Hashes"",""#text"":""SHA1=FB0A150601470195C47B4E8D87FCB3F50292BEB2,MD5=9321C107D1F7E336CDA550A2BF049108,SHA256=AD6B98C01EE849874E4B4502C3D7853196F6044240D3271E4AB3FC6E3C08E9A4,IMPHASH=159D56D406180A332FBC99290F30700E""},{""@Name"":""ParentProcessGuid"",""#text"":""a57649d1-ace8-61a6-885b-920000000000""},{""@Name"":""ParentProcessId"",""#text"":""532""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ParentCommandLine"",""#text"":""\""C:\\Windows\\system32\\cmd.exe\"" ""}]}}"
2,48594,2021-12-04 21:19:16.7576088,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1048,1684,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 2124, ProcessGUID: a57649d1-db54-61ab-775c-dc0100000000","RuleName: technique_id=T1035,technique_name=Service Execution",Image: C:\TOOLS\PsExec64.exe,EventType: SetValue,TargetObject: HKU\S-1-5-21-4230534742-2542757381-3142984815-1111\Software\Sysinternals\PsExec\EulaAccepted,Details: DWORD (0x00000001),,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID11,13,17,18-PSexec as system execution.evtx",Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1035,technique_name=Service Execution""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-12-04 21:19:16.757""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-db54-61ab-775c-dc0100000000""},{""@Name"":""ProcessId"",""#text"":""2124""},{""@Name"":""Image"",""#text"":""C:\\TOOLS\\PsExec64.exe""},{""@Name"":""TargetObject"",""#text"":""HKU\\S-1-5-21-4230534742-2542757381-3142984815-1111\\Software\\Sysinternals\\PsExec\\EulaAccepted""},{""@Name"":""Details"",""#text"":""DWORD (0x00000001)""}]}}"
3,48595,2021-12-04 21:19:16.7576088,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1048,1684,fs03vuln.offsec.lan,0,S-1-5-18,FileCreate,,,"ProcessID: 2124, ProcessGUID: a57649d1-db54-61ab-775c-dc0100000000",RuleName: -,Image: C:\TOOLS\PsExec64.exe,TargetFilename: C:\Windows\PSEXESVC.exe,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID11,13,17,18-PSexec as system execution.evtx",Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2021-12-04 21:19:16.757""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-db54-61ab-775c-dc0100000000""},{""@Name"":""ProcessId"",""#text"":""2124""},{""@Name"":""Image"",""#text"":""C:\\TOOLS\\PsExec64.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Windows\\PSEXESVC.exe""},{""@Name"":""CreationUtcTime"",""#text"":""2021-12-04 21:17:29.604""}]}}"
4,48596,2021-12-04 21:19:16.7732422,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1048,1684,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 472, ProcessGUID: a57649d1-92d8-61a4-2690-000000000000",RuleName: -,Image: C:\Windows\system32\services.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Services\PSEXESVC\Start,Details: DWORD (0x00000003),,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID11,13,17,18-PSexec as system execution.evtx",Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-12-04 21:19:16.773""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-92d8-61a4-2690-000000000000""},{""@Name"":""ProcessId"",""#text"":""472""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\services.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Services\\PSEXESVC\\Start""},{""@Name"":""Details"",""#text"":""DWORD (0x00000003)""}]}}"
5,48597,2021-12-04 21:19:16.7732422,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1048,1684,fs03vuln.offsec.lan,0,S-1-5-18,RegistryEvent (Value Set),,,"ProcessID: 472, ProcessGUID: a57649d1-92d8-61a4-2690-000000000000",RuleName: -,Image: C:\Windows\system32\services.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Services\PSEXESVC\ImagePath,Details: %%SystemRoot%%\PSEXESVC.exe,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID11,13,17,18-PSexec as system execution.evtx",Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2021-12-04 21:19:16.773""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-92d8-61a4-2690-000000000000""},{""@Name"":""ProcessId"",""#text"":""472""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\services.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Services\\PSEXESVC\\ImagePath""},{""@Name"":""Details"",""#text"":""%%SystemRoot%%\\PSEXESVC.exe""}]}}"
6,48598,2021-12-04 21:19:16.8044872,17,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1048,1684,fs03vuln.offsec.lan,0,S-1-5-18,PipeEvent (Pipe Created),,,"ProcessID: 4752, ProcessGUID: a57649d1-db54-61ab-2b62-dc0100000000",PipeName: \PSEXESVC,,,Image: C:\Windows\PSEXESVC.exe,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID11,13,17,18-PSexec as system execution.evtx",Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1077,technique_name=Windows Admin Shares""},{""@Name"":""EventType"",""#text"":""CreatePipe""},{""@Name"":""UtcTime"",""#text"":""2021-12-04 21:19:16.788""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-db54-61ab-2b62-dc0100000000""},{""@Name"":""ProcessId"",""#text"":""4752""},{""@Name"":""PipeName"",""#text"":""\\PSEXESVC""},{""@Name"":""Image"",""#text"":""C:\\Windows\\PSEXESVC.exe""}]}}"
7,48599,2021-12-04 21:19:16.9138853,18,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1048,1684,fs03vuln.offsec.lan,0,S-1-5-18,PipeEvent (Pipe Connected),,,"ProcessID: 4, ProcessGUID: a57649d1-92d1-61a4-eb03-000000000000",PipeName: \PSEXESVC,,,Image: System,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID11,13,17,18-PSexec as system execution.evtx",Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1077,technique_name=Windows Admin Shares""},{""@Name"":""EventType"",""#text"":""ConnectPipe""},{""@Name"":""UtcTime"",""#text"":""2021-12-04 21:19:16.913""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-92d1-61a4-eb03-000000000000""},{""@Name"":""ProcessId"",""#text"":""4""},{""@Name"":""PipeName"",""#text"":""\\PSEXESVC""},{""@Name"":""Image"",""#text"":""System""}]}}"
8,48600,2021-12-04 21:19:16.9138853,17,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1048,1684,fs03vuln.offsec.lan,0,S-1-5-18,PipeEvent (Pipe Created),,,"ProcessID: 4752, ProcessGUID: a57649d1-db54-61ab-2b62-dc0100000000",PipeName: \PSEXESVC-FS03VULN-2124-stdin,,,Image: C:\Windows\PSEXESVC.exe,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID11,13,17,18-PSexec as system execution.evtx",Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1077,technique_name=Windows Admin Shares""},{""@Name"":""EventType"",""#text"":""CreatePipe""},{""@Name"":""UtcTime"",""#text"":""2021-12-04 21:19:16.913""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-db54-61ab-2b62-dc0100000000""},{""@Name"":""ProcessId"",""#text"":""4752""},{""@Name"":""PipeName"",""#text"":""\\PSEXESVC-FS03VULN-2124-stdin""},{""@Name"":""Image"",""#text"":""C:\\Windows\\PSEXESVC.exe""}]}}"
9,48601,2021-12-04 21:19:16.9138853,17,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1048,1684,fs03vuln.offsec.lan,0,S-1-5-18,PipeEvent (Pipe Created),,,"ProcessID: 4752, ProcessGUID: a57649d1-db54-61ab-2b62-dc0100000000",PipeName: \PSEXESVC-FS03VULN-2124-stdout,,,Image: C:\Windows\PSEXESVC.exe,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID11,13,17,18-PSexec as system execution.evtx",Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1077,technique_name=Windows Admin Shares""},{""@Name"":""EventType"",""#text"":""CreatePipe""},{""@Name"":""UtcTime"",""#text"":""2021-12-04 21:19:16.913""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-db54-61ab-2b62-dc0100000000""},{""@Name"":""ProcessId"",""#text"":""4752""},{""@Name"":""PipeName"",""#text"":""\\PSEXESVC-FS03VULN-2124-stdout""},{""@Name"":""Image"",""#text"":""C:\\Windows\\PSEXESVC.exe""}]}}"
10,48602,2021-12-04 21:19:16.9138853,17,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1048,1684,fs03vuln.offsec.lan,0,S-1-5-18,PipeEvent (Pipe Created),,,"ProcessID: 4752, ProcessGUID: a57649d1-db54-61ab-2b62-dc0100000000",PipeName: \PSEXESVC-FS03VULN-2124-stderr,,,Image: C:\Windows\PSEXESVC.exe,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID11,13,17,18-PSexec as system execution.evtx",Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1077,technique_name=Windows Admin Shares""},{""@Name"":""EventType"",""#text"":""CreatePipe""},{""@Name"":""UtcTime"",""#text"":""2021-12-04 21:19:16.913""},{""@Name"":""ProcessGuid"",""#text"":""a57649d1-db54-61ab-2b62-dc0100000000""},{""@Name"":""ProcessId"",""#text"":""4752""},{""@Name"":""PipeName"",""#text"":""\\PSEXESVC-FS03VULN-2124-stderr""},{""@Name"":""Image"",""#text"":""C:\\Windows\\PSEXESVC.exe""}]}}"
