RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,2004840,2021-06-10 21:21:20.6360299,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,5604,fs01.offsec.lan,0,,Successful logon,-\-,- (10.23.23.9),Target: OFFSEC.LAN\admmig,LogonType 3,LogonId: 0x5A4175E,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,4698,4699,5145,4624-ATexec remote trask creation (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetLogonId"",""#text"":""0x5A4175E""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""c0582197-2b6f-e9b6-445f-7d1ca0efc55b""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""51503""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
2,2004844,2021-06-10 21:21:26.3576496,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,5604,fs01.offsec.lan,0,,Successful logon,-\-,- (10.23.123.11),Target: OFFSEC\admmig,LogonType 3,LogonId: 0x5A41984,AuthenticationPackageName: NTLM,"LogonProcessName: NtLmSsp ",,-,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,4698,4699,5145,4624-ATexec remote trask creation (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x5A41984""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""NtLmSsp ""},{""@Name"":""AuthenticationPackageName"",""#text"":""NTLM""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""NTLM V2""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""56594""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
3,2004847,2021-06-10 21:21:26.3633777,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2756,fs01.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:56594,Share: \\*\IPC$ (),Object: atsvc,AccessList: Unknown code (%%4416 | %%4417),AccessMask: Unknown code (0x3),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,4698,4699,5145,4624-ATexec remote trask creation (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5A41984""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""56594""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""atsvc""},{""@Name"":""AccessMask"",""#text"":""0x3""},{""@Name"":""AccessList"",""#text"":""%%4416, %%4417, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
4,2004850,2021-06-10 21:21:26.3770754,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,5604,fs01.offsec.lan,0,,Successful logon,-\-,- (-),Target: OFFSEC\admmig,LogonType 3,LogonId: 0x5A419BC,AuthenticationPackageName: NTLM,"LogonProcessName: NtLmSsp ",,-,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,4698,4699,5145,4624-ATexec remote trask creation (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x5A419BC""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""NtLmSsp ""},{""@Name"":""AuthenticationPackageName"",""#text"":""NTLM""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""NTLM V2""},{""@Name"":""KeyLength"",""#text"":""128""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
5,2004852,2021-06-10 21:21:26.3837263,4698,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,5604,fs01.offsec.lan,0,,Scheduled Task created,OFFSEC\admmig,,TaskName: \bouWFQYO,"TaskContent: &lt;?xml version=""1.0"" encoding=""UTF-16""?&gt;, &lt;Task version=""1.2"" xmlns=""http://schemas.microsoft.com/windows/2004/02/mit/task""&gt;,   &lt;Triggers&gt;,     &lt;CalendarTrigger&gt;,       &lt;StartBoundary&gt;2015-07-15T20:35:13.2757294&lt;/StartBoundary&gt;,       &lt;Enabled&gt;true&lt;/Enabled&gt;,       &lt;ScheduleByDay&gt;,         &lt;DaysInterval&gt;1&lt;/DaysInterval&gt;,       &lt;/ScheduleByDay&gt;,     &lt;/CalendarTrigger&gt;,   &lt;/Triggers&gt;,   &lt;Principals&gt;,     &lt;Principal id=""LocalSystem""&gt;,       &lt;UserId&gt;S-1-5-18&lt;/UserId&gt;,       &lt;RunLevel&gt;HighestAvailable&lt;/RunLevel&gt;,       &lt;LogonType&gt;InteractiveToken&lt;/LogonType&gt;,     &lt;/Principal&gt;,   &lt;/Principals&gt;,   &lt;Settings&gt;,     &lt;MultipleInstancesPolicy&gt;IgnoreNew&lt;/MultipleInstancesPolicy&gt;,     &lt;DisallowStartIfOnBatteries&gt;false&lt;/DisallowStartIfOnBatteries&gt;,     &lt;StopIfGoingOnBatteries&gt;false&lt;/StopIfGoingOnBatteries&gt;,     &lt;AllowHardTerminate&gt;true&lt;/AllowHardTerminate&gt;,     &lt;RunOnlyIfNetworkAvailable&gt;false&lt;/RunOnlyIfNetworkAvailable&gt;,     &lt;IdleSettings&gt;,       &lt;StopOnIdleEnd&gt;true&lt;/StopOnIdleEnd&gt;,       &lt;RestartOnIdle&gt;false&lt;/RestartOnIdle&gt;,     &lt;/IdleSettings&gt;,     &lt;AllowStartOnDemand&gt;true&lt;/AllowStartOnDemand&gt;,     &lt;Enabled&gt;true&lt;/Enabled&gt;,     &lt;Hidden&gt;true&lt;/Hidden&gt;,     &lt;RunOnlyIfIdle&gt;false&lt;/RunOnlyIfIdle&gt;,     &lt;WakeToRun&gt;false&lt;/WakeToRun&gt;,     &lt;ExecutionTimeLimit&gt;P3D&lt;/ExecutionTimeLimit&gt;,     &lt;Priority&gt;7&lt;/Priority&gt;,   &lt;/Settings&gt;,   &lt;Actions Context=""LocalSystem""&gt;,     &lt;Exec&gt;,       &lt;Command&gt;cmd.exe&lt;/Command&gt;,       &lt;Arguments&gt;/C whoami &amp;gt; %windir%\Temp\bouWFQYO.tmp 2&amp;gt;&amp;amp;1&lt;/Arguments&gt;,     &lt;/Exec&gt;,   &lt;/Actions&gt;,   &lt;RegistrationInfo&gt;,     &lt;URI&gt;\bouWFQYO&lt;/URI&gt;,   &lt;/RegistrationInfo&gt;, &lt;/Task&gt;",,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,4698,4699,5145,4624-ATexec remote trask creation (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5A419BC""},{""@Name"":""TaskName"",""#text"":""\\bouWFQYO""},{""@Name"":""TaskContent"",""#text"":""&lt;?xml version=\""1.0\"" encoding=\""UTF-16\""?&gt;, &lt;Task version=\""1.2\"" xmlns=\""http://schemas.microsoft.com/windows/2004/02/mit/task\""&gt;,   &lt;Triggers&gt;,     &lt;CalendarTrigger&gt;,       &lt;StartBoundary&gt;2015-07-15T20:35:13.2757294&lt;/StartBoundary&gt;,       &lt;Enabled&gt;true&lt;/Enabled&gt;,       &lt;ScheduleByDay&gt;,         &lt;DaysInterval&gt;1&lt;/DaysInterval&gt;,       &lt;/ScheduleByDay&gt;,     &lt;/CalendarTrigger&gt;,   &lt;/Triggers&gt;,   &lt;Principals&gt;,     &lt;Principal id=\""LocalSystem\""&gt;,       &lt;UserId&gt;S-1-5-18&lt;/UserId&gt;,       &lt;RunLevel&gt;HighestAvailable&lt;/RunLevel&gt;,       &lt;LogonType&gt;InteractiveToken&lt;/LogonType&gt;,     &lt;/Principal&gt;,   &lt;/Principals&gt;,   &lt;Settings&gt;,     &lt;MultipleInstancesPolicy&gt;IgnoreNew&lt;/MultipleInstancesPolicy&gt;,     &lt;DisallowStartIfOnBatteries&gt;false&lt;/DisallowStartIfOnBatteries&gt;,     &lt;StopIfGoingOnBatteries&gt;false&lt;/StopIfGoingOnBatteries&gt;,     &lt;AllowHardTerminate&gt;true&lt;/AllowHardTerminate&gt;,     &lt;RunOnlyIfNetworkAvailable&gt;false&lt;/RunOnlyIfNetworkAvailable&gt;,     &lt;IdleSettings&gt;,       &lt;StopOnIdleEnd&gt;true&lt;/StopOnIdleEnd&gt;,       &lt;RestartOnIdle&gt;false&lt;/RestartOnIdle&gt;,     &lt;/IdleSettings&gt;,     &lt;AllowStartOnDemand&gt;true&lt;/AllowStartOnDemand&gt;,     &lt;Enabled&gt;true&lt;/Enabled&gt;,     &lt;Hidden&gt;true&lt;/Hidden&gt;,     &lt;RunOnlyIfIdle&gt;false&lt;/RunOnlyIfIdle&gt;,     &lt;WakeToRun&gt;false&lt;/WakeToRun&gt;,     &lt;ExecutionTimeLimit&gt;P3D&lt;/ExecutionTimeLimit&gt;,     &lt;Priority&gt;7&lt;/Priority&gt;,   &lt;/Settings&gt;,   &lt;Actions Context=\""LocalSystem\""&gt;,     &lt;Exec&gt;,       &lt;Command&gt;cmd.exe&lt;/Command&gt;,       &lt;Arguments&gt;/C whoami &amp;gt; %windir%\\Temp\\bouWFQYO.tmp 2&amp;gt;&amp;amp;1&lt;/Arguments&gt;,     &lt;/Exec&gt;,   &lt;/Actions&gt;,   &lt;RegistrationInfo&gt;,     &lt;URI&gt;\\bouWFQYO&lt;/URI&gt;,   &lt;/RegistrationInfo&gt;, &lt;/Task&gt;""}]}}"
6,2004853,2021-06-10 21:21:26.3907508,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2756,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0x3D0,Parent PID: 0x414,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,C:\Windows\System32\cmd.exe cmd.exe /C whoami &gt; C:\Windows\Temp\bouWFQYO.tmp 2&gt;&amp;1,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,4698,4699,5145,4624-ATexec remote trask creation (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x3D0""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x414""},{""@Name"":""CommandLine"",""#text"":""cmd.exe /C whoami &gt; C:\\Windows\\Temp\\bouWFQYO.tmp 2&gt;&amp;1""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
7,2004854,2021-06-10 21:21:26.3953120,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2756,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\cmd.exe,PID: 0x141C,Parent PID: 0x3D0,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,C:\Windows\System32\conhost.exe \??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,4698,4699,5145,4624-ATexec remote trask creation (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x141C""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x3D0""},{""@Name"":""CommandLine"",""#text"":""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
8,2004855,2021-06-10 21:21:26.4066526,4699,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,5604,fs01.offsec.lan,0,,Scheduled Task deleted,OFFSEC\admmig,,TaskName: \bouWFQYO,"TaskContent: ",,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,4698,4699,5145,4624-ATexec remote trask creation (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5A419BC""},{""@Name"":""TaskName"",""#text"":""\\bouWFQYO""},{""@Name"":""TaskContent""}]}}"
9,2004857,2021-06-10 21:21:26.4153492,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2756,fs01.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.123.11:56594,Share: \\*\ADMIN$ (\??\C:\Windows),Object: Temp\bouWFQYO.tmp,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,4698,4699,5145,4624-ATexec remote trask creation (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5A41984""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""56594""},{""@Name"":""ShareName"",""#text"":""\\\\*\\ADMIN$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\Windows""},{""@Name"":""RelativeTargetName"",""#text"":""Temp\\bouWFQYO.tmp""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
10,2004858,2021-06-10 21:21:26.4246389,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2756,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\cmd.exe,PID: 0x1444,Parent PID: 0x3D0,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Windows\System32\whoami.exe whoami  ",False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4688,4698,4699,5145,4624-ATexec remote trask creation (GLOBAL).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x1444""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\whoami.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x3D0""},{""@Name"":""CommandLine"",""#text"":""whoami  ""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
