RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,138520213,2021-04-27 11:04:03.4797080,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,548,484,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{f780acc0-56f0-11d1-a9c6-0000f80367c1},ObjectName: %{665d6fdb-b06f-4d36-9da5-9b8dbaafeb2a},"AccessList: Unknown code (%%7680, )",AccessMask: Unknown code (0x1),,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4742,4935,4662,4661,5137-DCshadow attack (GLOBAL) failed.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x31A24611""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{f780acc0-56f0-11d1-a9c6-0000f80367c1}""},{""@Name"":""ObjectName"",""#text"":""%{665d6fdb-b06f-4d36-9da5-9b8dbaafeb2a}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7680, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""Properties"",""#text"":""%%7680, {bf967a92-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""CN=JUMP01,CN=Servers,CN=OFFSEC-PREMISE,CN=Sites,CN=Configuration,DC=offsec,DC=lan""},{""@Name"":""AdditionalInfo2"",""#text"":""%{590b1ef4-6143-4c18-b554-1ee0a59bb7f8}""}]}}"
2,138520214,2021-04-27 11:04:03.4958683,4742,LogAlways,Microsoft-Windows-Security-Auditing,Security,548,6124,rootdc1.offsec.lan,0,,A computer account was changed,OFFSEC\admmig,,Target: OFFSEC\JUMP01$,"Changed Attribute SamAccountName: - DisplayName: - UserPrincipalName: - HomeDirectory: - HomePath: - ScriptPath: - ProfilePath: - UserWorkstations: - PasswordLastSet: - AccountExpires: - PrimaryGroupId: - AllowedToDelegateTo: - OldUacValue: - NewUacValue: - UserAccountControl: - UserParameters: - SidHistory: - LogonHours: - DnsHostName: - ServicePrincipalNames: , HOST/jump01.offsec.lan, RestrictedKrbHost/jump01.offsec.lan, HOST/JUMP01, RestrictedKrbHost/JUMP01, WSMAN/jump01.offsec.lan, WSMAN/jump01, TERMSRV/jump01.offsec.lan, TERMSRV/JUMP01, E3514235-4B06-11D1-AB04-00C04FC2DCD2/097b2e16-f2c3-44ef-b300-ec7e11e2a9f2/offsec.lan, E3514235-4B06-11D1-AB04-00C04FC2DCD2/1c0d8021-150e-4ad0-9d64-93a88c51795b/offsec.lan, GC/jump01.offsec.lan/offsec.lan",,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4742,4935,4662,4661,5137-DCshadow attack (GLOBAL) failed.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""ComputerAccountChange"",""#text"":""-""},{""@Name"":""TargetUserName"",""#text"":""JUMP01$""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1106""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x31A24611""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""SamAccountName"",""#text"":""-""},{""@Name"":""DisplayName"",""#text"":""-""},{""@Name"":""UserPrincipalName"",""#text"":""-""},{""@Name"":""HomeDirectory"",""#text"":""-""},{""@Name"":""HomePath"",""#text"":""-""},{""@Name"":""ScriptPath"",""#text"":""-""},{""@Name"":""ProfilePath"",""#text"":""-""},{""@Name"":""UserWorkstations"",""#text"":""-""},{""@Name"":""PasswordLastSet"",""#text"":""-""},{""@Name"":""AccountExpires"",""#text"":""-""},{""@Name"":""PrimaryGroupId"",""#text"":""-""},{""@Name"":""AllowedToDelegateTo"",""#text"":""-""},{""@Name"":""OldUacValue"",""#text"":""-""},{""@Name"":""NewUacValue"",""#text"":""-""},{""@Name"":""UserAccountControl"",""#text"":""-""},{""@Name"":""UserParameters"",""#text"":""-""},{""@Name"":""SidHistory"",""#text"":""-""},{""@Name"":""LogonHours"",""#text"":""-""},{""@Name"":""DnsHostName"",""#text"":""-""},{""@Name"":""ServicePrincipalNames"",""#text"":"", HOST/jump01.offsec.lan, RestrictedKrbHost/jump01.offsec.lan, HOST/JUMP01, RestrictedKrbHost/JUMP01, WSMAN/jump01.offsec.lan, WSMAN/jump01, TERMSRV/jump01.offsec.lan, TERMSRV/JUMP01, E3514235-4B06-11D1-AB04-00C04FC2DCD2/097b2e16-f2c3-44ef-b300-ec7e11e2a9f2/offsec.lan, E3514235-4B06-11D1-AB04-00C04FC2DCD2/1c0d8021-150e-4ad0-9d64-93a88c51795b/offsec.lan, GC/jump01.offsec.lan/offsec.lan""}]}}"
3,138520215,2021-04-27 11:04:03.4962863,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,548,484,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{eac0f94e-a686-463d-801c-91a1b85fe87d},"AccessList: Unknown code (%%7685, )",AccessMask: Unknown code (0x20),,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4742,4935,4662,4661,5137-DCshadow attack (GLOBAL) failed.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x31A24611""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{eac0f94e-a686-463d-801c-91a1b85fe87d}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7685, ""},{""@Name"":""AccessMask"",""#text"":""0x20""},{""@Name"":""Properties"",""#text"":""%%7685, {e48d0154-bcf8-11d1-8702-00c04fb96050}, {f3a64788-5306-11d1-a9c5-0000f80367c1}, {bf967a86-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
4,138520216,2021-04-27 11:04:03.4976358,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,548,4324,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{19195a5b-6da0-11d0-afd3-00c04fd930c9},ObjectName: %{0b32719a-29a5-4ad5-b9dc-56200eba0ce0},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4742,4935,4662,4661,5137-DCshadow attack (GLOBAL) failed.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x31A19B0F""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{19195a5b-6da0-11d0-afd3-00c04fd930c9}""},{""@Name"":""ObjectName"",""#text"":""%{0b32719a-29a5-4ad5-b9dc-56200eba0ce0}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {9923a32a-3607-11d2-b9be-0000f87a36b2}, {19195a5b-6da0-11d0-afd3-00c04fd930c9}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
5,138520217,2021-04-27 11:04:03.5024216,4742,LogAlways,Microsoft-Windows-Security-Auditing,Security,548,484,rootdc1.offsec.lan,0,,A computer account was changed,OFFSEC\admmig,,Target: OFFSEC\JUMP01$,"Changed Attribute SamAccountName: - DisplayName: - UserPrincipalName: - HomeDirectory: - HomePath: - ScriptPath: - ProfilePath: - UserWorkstations: - PasswordLastSet: - AccountExpires: - PrimaryGroupId: - AllowedToDelegateTo: - OldUacValue: - NewUacValue: - UserAccountControl: - UserParameters: - SidHistory: - LogonHours: - DnsHostName: - ServicePrincipalNames: , HOST/jump01.offsec.lan, RestrictedKrbHost/jump01.offsec.lan, HOST/JUMP01, RestrictedKrbHost/JUMP01, WSMAN/jump01.offsec.lan, WSMAN/jump01, TERMSRV/jump01.offsec.lan, TERMSRV/JUMP01, E3514235-4B06-11D1-AB04-00C04FC2DCD2/097b2e16-f2c3-44ef-b300-ec7e11e2a9f2/offsec.lan, E3514235-4B06-11D1-AB04-00C04FC2DCD2/1c0d8021-150e-4ad0-9d64-93a88c51795b/offsec.lan, GC/jump01.offsec.lan/offsec.lan, E3514235-4B06-11D1-AB04-00C04FC2DCD2/7a671d6e-2719-481c-9c85-ae67c137cc0d/offsec.lan",,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4742,4935,4662,4661,5137-DCshadow attack (GLOBAL) failed.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""ComputerAccountChange"",""#text"":""-""},{""@Name"":""TargetUserName"",""#text"":""JUMP01$""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1106""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x31A19B0F""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""SamAccountName"",""#text"":""-""},{""@Name"":""DisplayName"",""#text"":""-""},{""@Name"":""UserPrincipalName"",""#text"":""-""},{""@Name"":""HomeDirectory"",""#text"":""-""},{""@Name"":""HomePath"",""#text"":""-""},{""@Name"":""ScriptPath"",""#text"":""-""},{""@Name"":""ProfilePath"",""#text"":""-""},{""@Name"":""UserWorkstations"",""#text"":""-""},{""@Name"":""PasswordLastSet"",""#text"":""-""},{""@Name"":""AccountExpires"",""#text"":""-""},{""@Name"":""PrimaryGroupId"",""#text"":""-""},{""@Name"":""AllowedToDelegateTo"",""#text"":""-""},{""@Name"":""OldUacValue"",""#text"":""-""},{""@Name"":""NewUacValue"",""#text"":""-""},{""@Name"":""UserAccountControl"",""#text"":""-""},{""@Name"":""UserParameters"",""#text"":""-""},{""@Name"":""SidHistory"",""#text"":""-""},{""@Name"":""LogonHours"",""#text"":""-""},{""@Name"":""DnsHostName"",""#text"":""-""},{""@Name"":""ServicePrincipalNames"",""#text"":"", HOST/jump01.offsec.lan, RestrictedKrbHost/jump01.offsec.lan, HOST/JUMP01, RestrictedKrbHost/JUMP01, WSMAN/jump01.offsec.lan, WSMAN/jump01, TERMSRV/jump01.offsec.lan, TERMSRV/JUMP01, E3514235-4B06-11D1-AB04-00C04FC2DCD2/097b2e16-f2c3-44ef-b300-ec7e11e2a9f2/offsec.lan, E3514235-4B06-11D1-AB04-00C04FC2DCD2/1c0d8021-150e-4ad0-9d64-93a88c51795b/offsec.lan, GC/jump01.offsec.lan/offsec.lan, E3514235-4B06-11D1-AB04-00C04FC2DCD2/7a671d6e-2719-481c-9c85-ae67c137cc0d/offsec.lan""}]}}"
6,138520218,2021-04-27 11:04:03.5101749,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,548,5276,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{19195a5b-6da0-11d0-afd3-00c04fd930c9},ObjectName: %{0b32719a-29a5-4ad5-b9dc-56200eba0ce0},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4742,4935,4662,4661,5137-DCshadow attack (GLOBAL) failed.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x31A19B0F""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{19195a5b-6da0-11d0-afd3-00c04fd930c9}""},{""@Name"":""ObjectName"",""#text"":""%{0b32719a-29a5-4ad5-b9dc-56200eba0ce0}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {1131f6ac-9c07-11d1-f79f-00c04fc2dcd2}, {19195a5b-6da0-11d0-afd3-00c04fd930c9}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
7,138520219,2021-04-27 11:04:03.5102550,4935,LogAlways,Microsoft-Windows-Security-Auditing,Security,548,5276,rootdc1.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4742,4935,4662,4661,5137-DCshadow attack (GLOBAL) failed.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""ReplicationEvent"",""#text"":""1""},{""@Name"":""AuditStatusCode"",""#text"":""8419""}]}}"
8,138520223,2021-04-27 11:04:13.2910388,5137,LogAlways,Microsoft-Windows-Security-Auditing,Security,548,4324,rootdc1.offsec.lan,0,,A directory service object was created,OFFSEC\admmig,,DSName: offsec.lan,"ObjectDN: CN=JUMP01,CN=Servers,CN=OFFSEC-PREMISE,CN=Sites,CN=Configuration,DC=offsec,DC=lan",ObjectClass: server,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4742,4935,4662,4661,5137-DCshadow attack (GLOBAL) failed.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""OpCorrelationID"",""#text"":""b960a203-a3df-4586-a2ed-740024d6c42a""},{""@Name"":""AppCorrelationID"",""#text"":""-""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x31A24611""},{""@Name"":""DSName"",""#text"":""offsec.lan""},{""@Name"":""DSType"",""#text"":""%%14676""},{""@Name"":""ObjectDN"",""#text"":""CN=JUMP01,CN=Servers,CN=OFFSEC-PREMISE,CN=Sites,CN=Configuration,DC=offsec,DC=lan""},{""@Name"":""ObjectGUID"",""#text"":""590b1ef4-6143-4c18-b554-1ee0a59bb7f8""},{""@Name"":""ObjectClass"",""#text"":""server""}]}}"
9,138520224,2021-04-27 11:04:13.2913888,5136,LogAlways,Microsoft-Windows-Security-Auditing,Security,548,5276,rootdc1.offsec.lan,0,,A directory service object was modified,OFFSEC\admmig,,DSName: offsec.lan,"ObjectDN: CN=JUMP01,OU=SERVERS,OU=RESOURCES,DC=offsec,DC=lan",ObjectClass: computer,AttributeLDAPDisplayName: servicePrincipalName,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4742,4935,4662,4661,5137-DCshadow attack (GLOBAL) failed.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""OpCorrelationID"",""#text"":""c41eade4-162a-4d70-8488-f92f6af8ff49""},{""@Name"":""AppCorrelationID"",""#text"":""-""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x31A24611""},{""@Name"":""DSName"",""#text"":""offsec.lan""},{""@Name"":""DSType"",""#text"":""%%14676""},{""@Name"":""ObjectDN"",""#text"":""CN=JUMP01,OU=SERVERS,OU=RESOURCES,DC=offsec,DC=lan""},{""@Name"":""ObjectGUID"",""#text"":""eac0f94e-a686-463d-801c-91a1b85fe87d""},{""@Name"":""ObjectClass"",""#text"":""computer""},{""@Name"":""AttributeLDAPDisplayName"",""#text"":""servicePrincipalName""},{""@Name"":""AttributeSyntaxOID"",""#text"":""2.5.5.12""},{""@Name"":""AttributeValue"",""#text"":""GC/jump01.offsec.lan/offsec.lan""},{""@Name"":""OperationType"",""#text"":""%%14674""}]}}"
10,138520242,2021-04-27 11:04:45.5568003,4936,LogAlways,Microsoft-Windows-Security-Auditing,Security,548,5276,rootdc1.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID4742,4935,4662,4661,5137-DCshadow attack (GLOBAL) failed.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""ReplicationEvent"",""#text"":""1""},{""@Name"":""AuditStatusCode"",""#text"":""8419""},{""@Name"":""ReplicationStatusCode"",""#text"":""1722""}]}}"
