RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1160026,2021-12-12 07:15:28.3525046,1102,Info,Microsoft-Windows-Eventlog,Security,712,3644,fs03vuln.offsec.lan,0,,Event log cleared,OFFSEC\hack1,,SID: (S-1-5-21-4230534742-2542757381-3142984815-1234),,,,,,,False,EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID5145-4624-DonPAPI full extraction.evtx,0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-21-4230534742-2542757381-3142984815-1234"",""SubjectUserName"":""hack1"",""SubjectDomainName"":""OFFSEC"",""SubjectLogonId"":""0x767A7ED""}}}"
2,1160027,2021-12-12 07:15:43.2799219,4985,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2220,fs03vuln.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID5145-4624-DonPAPI full extraction.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-20""},{""@Name"":""SubjectUserName"",""#text"":""FS03VULN$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E4""},{""@Name"":""TransactionId"",""#text"":""d6b11ec1-5900-11ec-80c7-005056972b77""},{""@Name"":""NewState"",""#text"":""48""},{""@Name"":""ResourceManager"",""#text"":""6a449ebc-90a9-11ea-b21e-e412e58179f4""},{""@Name"":""ProcessId"",""#text"":""0x2E8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
3,1160028,2021-12-12 07:15:43.2799219,4985,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2220,fs03vuln.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID5145-4624-DonPAPI full extraction.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03VULN$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TransactionId"",""#text"":""d6b11ec1-5900-11ec-80c7-005056972b77""},{""@Name"":""NewState"",""#text"":""52""},{""@Name"":""ResourceManager"",""#text"":""6a449ebc-90a9-11ea-b21e-e412e58179f4""},{""@Name"":""ProcessId"",""#text"":""0x2E8""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""}]}}"
4,1160029,2021-12-12 07:15:43.2799219,4702,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,148,fs03vuln.offsec.lan,0,,A scheduled task was updated,OFFSEC\FS03VULN$,,TaskName: \Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask,"TaskContentNew: &lt;?xml version=""1.0"" encoding=""UTF-16""?&gt;, &lt;Task version=""1.4"" xmlns=""http://schemas.microsoft.com/windows/2004/02/mit/task""&gt;,   &lt;RegistrationInfo&gt;,     &lt;Source&gt;$(@%systemroot%\system32\sppc.dll,-200)&lt;/Source&gt;,     &lt;Author&gt;$(@%systemroot%\system32\sppc.dll,-200)&lt;/Author&gt;,     &lt;Version&gt;1.0&lt;/Version&gt;,     &lt;Description&gt;$(@%systemroot%\system32\sppc.dll,-201)&lt;/Description&gt;,     &lt;URI&gt;\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask&lt;/URI&gt;,     &lt;SecurityDescriptor&gt;D:P(A;;FA;;;SY)(A;;FA;;;BA)(A;;FA;;;S-1-5-80-123231216-2592883651-3715271367-3753151631-4175906628)(A;;FR;;;S-1-5-87-2912274048-3994893941-1669128114-1310430903-1263774323)&lt;/SecurityDescriptor&gt;,   &lt;/RegistrationInfo&gt;,   &lt;Triggers&gt;,     &lt;CalendarTrigger&gt;,       &lt;StartBoundary&gt;2021-12-13T07:14:43Z&lt;/StartBoundary&gt;,       &lt;Enabled&gt;true&lt;/Enabled&gt;,       &lt;ScheduleByDay&gt;,         &lt;DaysInterval&gt;1&lt;/DaysInterval&gt;,       &lt;/ScheduleByDay&gt;,     &lt;/CalendarTrigger&gt;,   &lt;/Triggers&gt;,   &lt;Principals&gt;,     &lt;Principal id=""NetworkService""&gt;,       &lt;UserId&gt;S-1-5-20&lt;/UserId&gt;,       &lt;RunLevel&gt;LeastPrivilege&lt;/RunLevel&gt;,     &lt;/Principal&gt;,   &lt;/Principals&gt;,   &lt;Settings&gt;,     &lt;MultipleInstancesPolicy&gt;IgnoreNew&lt;/MultipleInstancesPolicy&gt;,     &lt;DisallowStartIfOnBatteries&gt;false&lt;/DisallowStartIfOnBatteries&gt;,     &lt;StopIfGoingOnBatteries&gt;false&lt;/StopIfGoingOnBatteries&gt;,     &lt;AllowHardTerminate&gt;false&lt;/AllowHardTerminate&gt;,     &lt;StartWhenAvailable&gt;true&lt;/StartWhenAvailable&gt;,     &lt;RunOnlyIfNetworkAvailable&gt;false&lt;/RunOnlyIfNetworkAvailable&gt;,     &lt;IdleSettings&gt;,       &lt;StopOnIdleEnd&gt;true&lt;/StopOnIdleEnd&gt;,       &lt;RestartOnIdle&gt;false&lt;/RestartOnIdle&gt;,     &lt;/IdleSettings&gt;,     &lt;AllowStartOnDemand&gt;true&lt;/AllowStartOnDemand&gt;,     &lt;Enabled&gt;true&lt;/Enabled&gt;,     &lt;Hidden&gt;true&lt;/Hidden&gt;,     &lt;RunOnlyIfIdle&gt;false&lt;/RunOnlyIfIdle&gt;,     &lt;DisallowStartOnRemoteAppSession&gt;false&lt;/DisallowStartOnRemoteAppSession&gt;,     &lt;UseUnifiedSchedulingEngine&gt;true&lt;/UseUnifiedSchedulingEngine&gt;,     &lt;WakeToRun&gt;false&lt;/WakeToRun&gt;,     &lt;ExecutionTimeLimit&gt;PT0S&lt;/ExecutionTimeLimit&gt;,     &lt;Priority&gt;7&lt;/Priority&gt;,     &lt;RestartOnFailure&gt;,       &lt;Interval&gt;PT1M&lt;/Interval&gt;,       &lt;Count&gt;3&lt;/Count&gt;,     &lt;/RestartOnFailure&gt;,   &lt;/Settings&gt;,   &lt;Actions Context=""NetworkService""&gt;,     &lt;ComHandler&gt;,       &lt;ClassId&gt;{B1AEBB5D-EAD9-4476-B375-9C3ED9F32AFC}&lt;/ClassId&gt;,       &lt;Data&gt;&lt;![CDATA[timer]]&gt;&lt;/Data&gt;,     &lt;/ComHandler&gt;,   &lt;/Actions&gt;, &lt;/Task&gt;",,,,,,False,EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID5145-4624-DonPAPI full extraction.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-20""},{""@Name"":""SubjectUserName"",""#text"":""FS03VULN$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E4""},{""@Name"":""TaskName"",""#text"":""\\Microsoft\\Windows\\SoftwareProtectionPlatform\\SvcRestartTask""},{""@Name"":""TaskContentNew"",""#text"":""&lt;?xml version=\""1.0\"" encoding=\""UTF-16\""?&gt;, &lt;Task version=\""1.4\"" xmlns=\""http://schemas.microsoft.com/windows/2004/02/mit/task\""&gt;,   &lt;RegistrationInfo&gt;,     &lt;Source&gt;$(@%systemroot%\\system32\\sppc.dll,-200)&lt;/Source&gt;,     &lt;Author&gt;$(@%systemroot%\\system32\\sppc.dll,-200)&lt;/Author&gt;,     &lt;Version&gt;1.0&lt;/Version&gt;,     &lt;Description&gt;$(@%systemroot%\\system32\\sppc.dll,-201)&lt;/Description&gt;,     &lt;URI&gt;\\Microsoft\\Windows\\SoftwareProtectionPlatform\\SvcRestartTask&lt;/URI&gt;,     &lt;SecurityDescriptor&gt;D:P(A;;FA;;;SY)(A;;FA;;;BA)(A;;FA;;;S-1-5-80-123231216-2592883651-3715271367-3753151631-4175906628)(A;;FR;;;S-1-5-87-2912274048-3994893941-1669128114-1310430903-1263774323)&lt;/SecurityDescriptor&gt;,   &lt;/RegistrationInfo&gt;,   &lt;Triggers&gt;,     &lt;CalendarTrigger&gt;,       &lt;StartBoundary&gt;2021-12-13T07:14:43Z&lt;/StartBoundary&gt;,       &lt;Enabled&gt;true&lt;/Enabled&gt;,       &lt;ScheduleByDay&gt;,         &lt;DaysInterval&gt;1&lt;/DaysInterval&gt;,       &lt;/ScheduleByDay&gt;,     &lt;/CalendarTrigger&gt;,   &lt;/Triggers&gt;,   &lt;Principals&gt;,     &lt;Principal id=\""NetworkService\""&gt;,       &lt;UserId&gt;S-1-5-20&lt;/UserId&gt;,       &lt;RunLevel&gt;LeastPrivilege&lt;/RunLevel&gt;,     &lt;/Principal&gt;,   &lt;/Principals&gt;,   &lt;Settings&gt;,     &lt;MultipleInstancesPolicy&gt;IgnoreNew&lt;/MultipleInstancesPolicy&gt;,     &lt;DisallowStartIfOnBatteries&gt;false&lt;/DisallowStartIfOnBatteries&gt;,     &lt;StopIfGoingOnBatteries&gt;false&lt;/StopIfGoingOnBatteries&gt;,     &lt;AllowHardTerminate&gt;false&lt;/AllowHardTerminate&gt;,     &lt;StartWhenAvailable&gt;true&lt;/StartWhenAvailable&gt;,     &lt;RunOnlyIfNetworkAvailable&gt;false&lt;/RunOnlyIfNetworkAvailable&gt;,     &lt;IdleSettings&gt;,       &lt;StopOnIdleEnd&gt;true&lt;/StopOnIdleEnd&gt;,       &lt;RestartOnIdle&gt;false&lt;/RestartOnIdle&gt;,     &lt;/IdleSettings&gt;,     &lt;AllowStartOnDemand&gt;true&lt;/AllowStartOnDemand&gt;,     &lt;Enabled&gt;true&lt;/Enabled&gt;,     &lt;Hidden&gt;true&lt;/Hidden&gt;,     &lt;RunOnlyIfIdle&gt;false&lt;/RunOnlyIfIdle&gt;,     &lt;DisallowStartOnRemoteAppSession&gt;false&lt;/DisallowStartOnRemoteAppSession&gt;,     &lt;UseUnifiedSchedulingEngine&gt;true&lt;/UseUnifiedSchedulingEngine&gt;,     &lt;WakeToRun&gt;false&lt;/WakeToRun&gt;,     &lt;ExecutionTimeLimit&gt;PT0S&lt;/ExecutionTimeLimit&gt;,     &lt;Priority&gt;7&lt;/Priority&gt;,     &lt;RestartOnFailure&gt;,       &lt;Interval&gt;PT1M&lt;/Interval&gt;,       &lt;Count&gt;3&lt;/Count&gt;,     &lt;/RestartOnFailure&gt;,   &lt;/Settings&gt;,   &lt;Actions Context=\""NetworkService\""&gt;,     &lt;ComHandler&gt;,       &lt;ClassId&gt;{B1AEBB5D-EAD9-4476-B375-9C3ED9F32AFC}&lt;/ClassId&gt;,       &lt;Data&gt;&lt;![CDATA[timer]]&gt;&lt;/Data&gt;,     &lt;/ComHandler&gt;,   &lt;/Actions&gt;, &lt;/Task&gt;""}]}}"
5,1160030,2021-12-12 07:15:56.7167807,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,4740,fs03vuln.offsec.lan,0,,Successful logon,-\-," (10.23.123.11)",Target: offsec\ANONYMOUS LOGON,LogonType 3,LogonId: 0x8723C7C,AuthenticationPackageName: NTLM,"LogonProcessName: NtLmSsp ",,-,False,EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID5145-4624-DonPAPI full extraction.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-7""},{""@Name"":""TargetUserName"",""#text"":""ANONYMOUS LOGON""},{""@Name"":""TargetDomainName"",""#text"":""offsec""},{""@Name"":""TargetLogonId"",""#text"":""0x8723C7C""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""NtLmSsp ""},{""@Name"":""AuthenticationPackageName"",""#text"":""NTLM""},{""@Name"":""WorkstationName""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""NTLM V1""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60166""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""}]}}"
6,1160031,2021-12-12 07:15:56.7249678,4964,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2980,fs03vuln.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID5145-4624-DonPAPI full extraction.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03VULN$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x8723C99""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""SidList"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-1613}""}]}}"
7,1160032,2021-12-12 07:15:56.7249678,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2980,fs03vuln.offsec.lan,0,,Administrative logon,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege",LogonId: 0x8723C99,,,,,,False,EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID5145-4624-DonPAPI full extraction.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8723C99""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege""}]}}"
8,1160033,2021-12-12 07:15:56.7249678,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2980,fs03vuln.offsec.lan,0,,Successful logon,-\-," (10.23.123.11)",Target: OFFSEC\admmig,LogonType 3,LogonId: 0x8723C99,AuthenticationPackageName: NTLM,"LogonProcessName: NtLmSsp ",,-,False,EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID5145-4624-DonPAPI full extraction.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x8723C99""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""NtLmSsp ""},{""@Name"":""AuthenticationPackageName"",""#text"":""NTLM""},{""@Name"":""WorkstationName""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""NTLM V2""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60168""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""}]}}"
9,1160034,2021-12-12 07:15:56.7406044,5140,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3688,fs03vuln.offsec.lan,0,,A network share object was accessed,OFFSEC\admmig,10.23.123.11:60168,Share: \\*\C$ (\??\C:\),Sid: S-1-5-21-4230534742-2542757381-3142984815-1111,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),,,,False,EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID5145-4624-DonPAPI full extraction.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8723C99""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60168""},{""@Name"":""ShareName"",""#text"":""\\\\*\\C$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""}]}}"
10,1160035,2021-12-12 07:15:56.7406044,5140,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3688,fs03vuln.offsec.lan,0,,A network share object was accessed,OFFSEC\admmig,10.23.123.11:60168,Share: \\*\IPC$ (),Sid: S-1-5-21-4230534742-2542757381-3142984815-1111,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),,,,False,EVTX-to-MITRE-Attack\EVTX_full_APT_attack_steps\ID5145-4624-DonPAPI full extraction.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8723C99""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""60168""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""}]}}"
