RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,436733,2021-04-22 11:32:00.1712193,1102,Info,Microsoft-Windows-Eventlog,Security,704,716,fs03vuln.offsec.lan,0,,Event log cleared,OFFSEC\admmig,,SID: (S-1-5-21-4230534742-2542757381-3142984815-1111),,,,,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1047-Windows Management Instrumentation\ID4688-5145-WMIexec execution via SMB.evtx,0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-21-4230534742-2542757381-3142984815-1111"",""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""SubjectLogonId"":""0x1898DA""}}}"
2,436734,2021-04-22 11:32:00.1868347,4964,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2844,fs03vuln.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1047-Windows Management Instrumentation\ID4688-5145-WMIexec execution via SMB.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x189DF8""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""SidList"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-1613}""}]}}"
3,436735,2021-04-22 11:32:00.1868347,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2844,fs03vuln.offsec.lan,0,,Administrative logon,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege",LogonId: 0x189DF8,,,,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1047-Windows Management Instrumentation\ID4688-5145-WMIexec execution via SMB.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x189DF8""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege""}]}}"
4,436736,2021-04-22 11:32:00.1868347,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2844,fs03vuln.offsec.lan,0,,Successful logon,-\-," (10.23.23.9)",Target: OFFSEC\admmig,LogonType 3,LogonId: 0x189DF8,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1047-Windows Management Instrumentation\ID4688-5145-WMIexec execution via SMB.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x189DF8""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName""},{""@Name"":""LogonGuid"",""#text"":""3ca372f9-20fd-3bdd-b523-1e8ecfd688ef""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""63558""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""}]}}"
5,436737,2021-04-22 11:32:01.2933958,4964,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2844,fs03vuln.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1047-Windows Management Instrumentation\ID4688-5145-WMIexec execution via SMB.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-19""},{""@Name"":""SubjectUserName"",""#text"":""LOCAL SERVICE""},{""@Name"":""SubjectDomainName"",""#text"":""NT AUTHORITY""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E5""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x189E94""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""SidList"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-1613}""}]}}"
6,436738,2021-04-22 11:32:01.2933958,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2844,fs03vuln.offsec.lan,0,,Administrative logon,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege",LogonId: 0x189E94,,,,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1047-Windows Management Instrumentation\ID4688-5145-WMIexec execution via SMB.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x189E94""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege""}]}}"
7,436739,2021-04-22 11:32:01.2933958,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2844,fs03vuln.offsec.lan,0,,Successful logon,-\-," (10.23.23.9)",Target: OFFSEC\admmig,LogonType 3,LogonId: 0x189E94,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1047-Windows Management Instrumentation\ID4688-5145-WMIexec execution via SMB.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x189E94""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName""},{""@Name"":""LogonGuid"",""#text"":""3ca372f9-20fd-3bdd-b523-1e8ecfd688ef""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""63534""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""}]}}"
8,436740,2021-04-22 11:32:02.9343109,4964,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2844,fs03vuln.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1047-Windows Management Instrumentation\ID4688-5145-WMIexec execution via SMB.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03VULN$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x189F3B""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""SidList"",""#text"":"", %{S-1-5-21-4230534742-2542757381-3142984815-1613}""}]}}"
9,436741,2021-04-22 11:32:02.9343109,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2844,fs03vuln.offsec.lan,0,,Administrative logon,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege",LogonId: 0x189F3B,,,,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1047-Windows Management Instrumentation\ID4688-5145-WMIexec execution via SMB.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x189F3B""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege""}]}}"
10,436742,2021-04-22 11:32:02.9343109,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,2844,fs03vuln.offsec.lan,0,,Successful logon,-\-," (10.23.123.11)",Target: OFFSEC\admmig,LogonType 3,LogonId: 0x189F3B,AuthenticationPackageName: NTLM,"LogonProcessName: NtLmSsp ",,-,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1047-Windows Management Instrumentation\ID4688-5145-WMIexec execution via SMB.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x189F3B""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""NtLmSsp ""},{""@Name"":""AuthenticationPackageName"",""#text"":""NTLM""},{""@Name"":""WorkstationName""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""NTLM V2""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.123.11""},{""@Name"":""IpPort"",""#text"":""50896""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""}]}}"
