RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,293873,2021-11-03 08:34:26.9606008,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,500,FS03.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.23.9:62426,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%1538 | %%1541 | %%4416 | %%4417 | %%4418 | %%4419 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x12019F),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1569.002-Service execution\ID5145-service massive remote creation via named pipe - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x594BAA0""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""62426""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x12019F""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
2,293896,2021-11-03 08:34:28.4315075,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,500,FS03.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.23.9:62426,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%1538 | %%1541 | %%4416 | %%4417 | %%4418 | %%4419 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x12019F),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1569.002-Service execution\ID5145-service massive remote creation via named pipe - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x594D32F""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""62426""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x12019F""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
3,293916,2021-11-03 08:34:29.8726427,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,500,FS03.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.23.9:62426,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%1538 | %%1541 | %%4416 | %%4417 | %%4418 | %%4419 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x12019F),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1569.002-Service execution\ID5145-service massive remote creation via named pipe - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x594EC3F""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""62426""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x12019F""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
4,293936,2021-11-03 08:34:31.3262465,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,500,FS03.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.23.9:62426,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%1538 | %%1541 | %%4416 | %%4417 | %%4418 | %%4419 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x12019F),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1569.002-Service execution\ID5145-service massive remote creation via named pipe - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x595053B""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""62426""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x12019F""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
5,293956,2021-11-03 08:34:32.7747682,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,500,FS03.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.23.9:62426,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%1538 | %%1541 | %%4416 | %%4417 | %%4418 | %%4419 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x12019F),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1569.002-Service execution\ID5145-service massive remote creation via named pipe - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5951E5A""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""62426""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x12019F""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
6,293976,2021-11-03 08:34:34.3787025,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,500,FS03.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.23.9:62426,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%1538 | %%1541 | %%4416 | %%4417 | %%4418 | %%4419 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x12019F),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1569.002-Service execution\ID5145-service massive remote creation via named pipe - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x595377B""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""62426""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x12019F""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
7,293996,2021-11-03 08:34:35.8236248,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,500,FS03.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.23.9:62426,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%1538 | %%1541 | %%4416 | %%4417 | %%4418 | %%4419 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x12019F),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1569.002-Service execution\ID5145-service massive remote creation via named pipe - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5955063""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""62426""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x12019F""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
8,294016,2021-11-03 08:34:37.2627101,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,500,FS03.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.23.9:62426,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%1538 | %%1541 | %%4416 | %%4417 | %%4418 | %%4419 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x12019F),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1569.002-Service execution\ID5145-service massive remote creation via named pipe - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5956994""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""62426""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x12019F""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
9,294036,2021-11-03 08:34:38.7279363,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,500,FS03.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.23.9:62426,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%1538 | %%1541 | %%4416 | %%4417 | %%4418 | %%4419 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x12019F),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1569.002-Service execution\ID5145-service massive remote creation via named pipe - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5958221""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""62426""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x12019F""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
10,294056,2021-11-03 08:34:40.1807786,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,500,FS03.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.23.9:62426,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%1538 | %%1541 | %%4416 | %%4417 | %%4418 | %%4419 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x12019F),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1569.002-Service execution\ID5145-service massive remote creation via named pipe - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5959B1B""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""62426""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x12019F""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
11,294076,2021-11-03 08:34:41.6339859,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,500,FS03.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.23.9:62426,Share: \\*\IPC$ (),Object: svcctl,AccessList: Unknown code (%%1538 | %%1541 | %%4416 | %%4417 | %%4418 | %%4419 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x12019F),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,EVTX-to-MITRE-Attack\TA0002-Execution\T1569.002-Service execution\ID5145-service massive remote creation via named pipe - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x595B5D7""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.23.9""},{""@Name"":""IpPort"",""#text"":""62426""},{""@Name"":""ShareName"",""#text"":""\\\\*\\IPC$""},{""@Name"":""ShareLocalPath""},{""@Name"":""RelativeTargetName"",""#text"":""svcctl""},{""@Name"":""AccessMask"",""#text"":""0x12019F""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
