RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,16078256,2020-07-12 05:19:54.5618177,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\lambda-user (S-1-5-21-4230534742-2542757381-3142984815-1158),,Target: OFFSEC\Group01 (S-1-5-21-4230534742-2542757381-3142984815-1134),"Member: CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan",MemberSid: S-1-5-21-4230534742-2542757381-3142984815-1150,SubjectLogonId: 0x8084443,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1098.xxx-Account manipulation\ID4728-Massive account group membership change.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1150""},{""@Name"":""TargetUserName"",""#text"":""Group01""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1134""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""SubjectUserName"",""#text"":""lambda-user""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8084443""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
2,16078259,2020-07-12 05:19:54.5640484,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\lambda-user (S-1-5-21-4230534742-2542757381-3142984815-1158),,Target: OFFSEC\Group02 (S-1-5-21-4230534742-2542757381-3142984815-1135),"Member: CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan",MemberSid: S-1-5-21-4230534742-2542757381-3142984815-1150,SubjectLogonId: 0x8084443,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1098.xxx-Account manipulation\ID4728-Massive account group membership change.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1150""},{""@Name"":""TargetUserName"",""#text"":""Group02""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1135""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""SubjectUserName"",""#text"":""lambda-user""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8084443""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
3,16078262,2020-07-12 05:19:54.5660037,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\lambda-user (S-1-5-21-4230534742-2542757381-3142984815-1158),,Target: OFFSEC\Group03 (S-1-5-21-4230534742-2542757381-3142984815-1136),"Member: CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan",MemberSid: S-1-5-21-4230534742-2542757381-3142984815-1150,SubjectLogonId: 0x8084443,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1098.xxx-Account manipulation\ID4728-Massive account group membership change.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1150""},{""@Name"":""TargetUserName"",""#text"":""Group03""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1136""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""SubjectUserName"",""#text"":""lambda-user""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8084443""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
4,16078265,2020-07-12 05:19:54.5680960,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\lambda-user (S-1-5-21-4230534742-2542757381-3142984815-1158),,Target: OFFSEC\Group04 (S-1-5-21-4230534742-2542757381-3142984815-1137),"Member: CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan",MemberSid: S-1-5-21-4230534742-2542757381-3142984815-1150,SubjectLogonId: 0x8084443,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1098.xxx-Account manipulation\ID4728-Massive account group membership change.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1150""},{""@Name"":""TargetUserName"",""#text"":""Group04""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1137""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""SubjectUserName"",""#text"":""lambda-user""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8084443""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
5,16078268,2020-07-12 05:19:54.5700560,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\lambda-user (S-1-5-21-4230534742-2542757381-3142984815-1158),,Target: OFFSEC\Group05 (S-1-5-21-4230534742-2542757381-3142984815-1138),"Member: CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan",MemberSid: S-1-5-21-4230534742-2542757381-3142984815-1150,SubjectLogonId: 0x8084443,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1098.xxx-Account manipulation\ID4728-Massive account group membership change.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1150""},{""@Name"":""TargetUserName"",""#text"":""Group05""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1138""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""SubjectUserName"",""#text"":""lambda-user""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8084443""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
6,16078271,2020-07-12 05:19:54.5720244,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\lambda-user (S-1-5-21-4230534742-2542757381-3142984815-1158),,Target: OFFSEC\Group06 (S-1-5-21-4230534742-2542757381-3142984815-1139),"Member: CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan",MemberSid: S-1-5-21-4230534742-2542757381-3142984815-1150,SubjectLogonId: 0x8084443,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1098.xxx-Account manipulation\ID4728-Massive account group membership change.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1150""},{""@Name"":""TargetUserName"",""#text"":""Group06""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1139""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""SubjectUserName"",""#text"":""lambda-user""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8084443""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
7,16078274,2020-07-12 05:19:54.5742505,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\lambda-user (S-1-5-21-4230534742-2542757381-3142984815-1158),,Target: OFFSEC\Group07 (S-1-5-21-4230534742-2542757381-3142984815-1140),"Member: CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan",MemberSid: S-1-5-21-4230534742-2542757381-3142984815-1150,SubjectLogonId: 0x8084443,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1098.xxx-Account manipulation\ID4728-Massive account group membership change.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1150""},{""@Name"":""TargetUserName"",""#text"":""Group07""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1140""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""SubjectUserName"",""#text"":""lambda-user""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8084443""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
8,16078277,2020-07-12 05:19:54.5762398,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\lambda-user (S-1-5-21-4230534742-2542757381-3142984815-1158),,Target: OFFSEC\Group08 (S-1-5-21-4230534742-2542757381-3142984815-1141),"Member: CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan",MemberSid: S-1-5-21-4230534742-2542757381-3142984815-1150,SubjectLogonId: 0x8084443,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1098.xxx-Account manipulation\ID4728-Massive account group membership change.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1150""},{""@Name"":""TargetUserName"",""#text"":""Group08""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1141""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""SubjectUserName"",""#text"":""lambda-user""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8084443""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
9,16078280,2020-07-12 05:19:54.5782585,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\lambda-user (S-1-5-21-4230534742-2542757381-3142984815-1158),,Target: OFFSEC\Group09 (S-1-5-21-4230534742-2542757381-3142984815-1142),"Member: CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan",MemberSid: S-1-5-21-4230534742-2542757381-3142984815-1150,SubjectLogonId: 0x8084443,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1098.xxx-Account manipulation\ID4728-Massive account group membership change.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1150""},{""@Name"":""TargetUserName"",""#text"":""Group09""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1142""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""SubjectUserName"",""#text"":""lambda-user""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8084443""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
10,16078283,2020-07-12 05:19:54.5802297,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\lambda-user (S-1-5-21-4230534742-2542757381-3142984815-1158),,Target: OFFSEC\Group10 (S-1-5-21-4230534742-2542757381-3142984815-1143),"Member: CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan",MemberSid: S-1-5-21-4230534742-2542757381-3142984815-1150,SubjectLogonId: 0x8084443,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1098.xxx-Account manipulation\ID4728-Massive account group membership change.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1150""},{""@Name"":""TargetUserName"",""#text"":""Group10""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1143""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""SubjectUserName"",""#text"":""lambda-user""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8084443""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
11,16078286,2020-07-12 05:19:54.5821911,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\lambda-user (S-1-5-21-4230534742-2542757381-3142984815-1158),,Target: OFFSEC\Group11 (S-1-5-21-4230534742-2542757381-3142984815-1144),"Member: CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan",MemberSid: S-1-5-21-4230534742-2542757381-3142984815-1150,SubjectLogonId: 0x8084443,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1098.xxx-Account manipulation\ID4728-Massive account group membership change.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""CN=hack-adm-hack,OU=Test-OU,OU=OFFSEC-COMPANY,DC=offsec,DC=lan""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1150""},{""@Name"":""TargetUserName"",""#text"":""Group11""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1144""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""SubjectUserName"",""#text"":""lambda-user""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x8084443""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
