RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1934511,2022-01-24 17:03:24.2249381,1102,Info,Microsoft-Windows-Eventlog,Security,712,740,fs03vuln.offsec.lan,0,,Event log cleared,OFFSEC\admmig,,SID: (S-1-5-21-4230534742-2542757381-3142984815-1111),,,,,,,False,"EVTX-to-MITRE-Attack\TA0003-Persistence\T1136-Create account\ID472, 4728 Hidden user creation.evtx",0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-21-4230534742-2542757381-3142984815-1111"",""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""SubjectLogonId"":""0x14F509E2""}}}"
2,1934512,2022-01-24 17:03:24.7948418,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,5104,fs03vuln.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0x8CC,Parent PID: 0x12AC,"Mandatory label: ",Target User: \,,C:\TOOLS\CreateHiddenAccount_upx_v0.2.exe CreateHiddenAccount_upx_v0.2.exe  -u 3teamssixf -p Passw0rd,False,"EVTX-to-MITRE-Attack\TA0003-Persistence\T1136-Create account\ID472, 4728 Hidden user creation.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x14F509E2""},{""@Name"":""NewProcessId"",""#text"":""0x8CC""},{""@Name"":""NewProcessName"",""#text"":""C:\\TOOLS\\CreateHiddenAccount_upx_v0.2.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1937""},{""@Name"":""ProcessId"",""#text"":""0x12AC""},{""@Name"":""CommandLine"",""#text"":""CreateHiddenAccount_upx_v0.2.exe  -u 3teamssixf -p Passw0rd""}]}}"
3,1934513,2022-01-24 17:03:24.8452381,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,4488,fs03vuln.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0xD08,Parent PID: 0x8CC,"Mandatory label: ",Target User: \,,C:\Windows\System32\netdom.exe netdom query pdc,False,"EVTX-to-MITRE-Attack\TA0003-Persistence\T1136-Create account\ID472, 4728 Hidden user creation.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x14F509E2""},{""@Name"":""NewProcessId"",""#text"":""0xD08""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\netdom.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1937""},{""@Name"":""ProcessId"",""#text"":""0x8CC""},{""@Name"":""CommandLine"",""#text"":""netdom query pdc""}]}}"
4,1934514,2022-01-24 17:03:25.0015622,4656,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,488,fs03vuln.offsec.lan,0,,A handle to an object was requested,OFFSEC\admmig,,ObjectType: SAM_DOMAIN,ObjectName: FS03VULN,HandleId: 0xE9A9291C30,TransactionId: 00000000-0000-0000-0000-000000000000,"AccessList: Unknown code (%%5392, %%5396, %%5401, )",PrivilegeList: -,C:\Windows\System32\lsass.exe (PID: 0x1E0),False,"EVTX-to-MITRE-Attack\TA0003-Persistence\T1136-Create account\ID472, 4728 Hidden user creation.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x14F509E2""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_DOMAIN""},{""@Name"":""ObjectName"",""#text"":""FS03VULN""},{""@Name"":""HandleId"",""#text"":""0xE9A9291C30""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%5392, %%5396, %%5401, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0x211""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x1E0""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""},{""@Name"":""ResourceAttributes"",""#text"":""-""}]}}"
5,1934515,2022-01-24 17:03:25.0015622,4728,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,1496,fs03vuln.offsec.lan,0,,A member was added to a security-enabled global group,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,Target: FS03VULN\None (S-1-5-21-2721507831-1374043488-2540227515-513),Member: -,MemberSid: S-1-5-21-2721507831-1374043488-2540227515-1008,SubjectLogonId: 0x14F509E2,,,,False,"EVTX-to-MITRE-Attack\TA0003-Persistence\T1136-Create account\ID472, 4728 Hidden user creation.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""-""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-2721507831-1374043488-2540227515-1008""},{""@Name"":""TargetUserName"",""#text"":""None""},{""@Name"":""TargetDomainName"",""#text"":""FS03VULN""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-2721507831-1374043488-2540227515-513""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x14F509E2""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
6,1934516,2022-01-24 17:03:25.0025617,4720,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,1496,fs03vuln.offsec.lan,0,,A new account was created,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,Target: FS03VULN\3teamssixf$ (S-1-5-21-2721507831-1374043488-2540227515-1008),,,,,,,False,"EVTX-to-MITRE-Attack\TA0003-Persistence\T1136-Create account\ID472, 4728 Hidden user creation.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""3teamssixf$""},{""@Name"":""TargetDomainName"",""#text"":""FS03VULN""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-2721507831-1374043488-2540227515-1008""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x14F509E2""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""SamAccountName"",""#text"":""3teamssixf$""},{""@Name"":""DisplayName"",""#text"":""%%1793""},{""@Name"":""UserPrincipalName"",""#text"":""-""},{""@Name"":""HomeDirectory"",""#text"":""%%1793""},{""@Name"":""HomePath"",""#text"":""%%1793""},{""@Name"":""ScriptPath"",""#text"":""%%1793""},{""@Name"":""ProfilePath"",""#text"":""%%1793""},{""@Name"":""UserWorkstations"",""#text"":""%%1793""},{""@Name"":""PasswordLastSet"",""#text"":""%%1794""},{""@Name"":""AccountExpires"",""#text"":""%%1794""},{""@Name"":""PrimaryGroupId"",""#text"":""513""},{""@Name"":""AllowedToDelegateTo"",""#text"":""-""},{""@Name"":""OldUacValue"",""#text"":""0x0""},{""@Name"":""NewUacValue"",""#text"":""0x15""},{""@Name"":""UserAccountControl"",""#text"":"", %%2080, %%2082, %%2084""},{""@Name"":""UserParameters"",""#text"":""%%1793""},{""@Name"":""SidHistory"",""#text"":""-""},{""@Name"":""LogonHours"",""#text"":""%%1797""}]}}"
7,1934517,2022-01-24 17:03:25.0025617,4722,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,1496,fs03vuln.offsec.lan,0,,A user account was enabled,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,Target: FS03VULN\3teamssixf$ (S-1-5-21-2721507831-1374043488-2540227515-1008),SubjectLogonId: 0x14F509E2,,,,,,False,"EVTX-to-MITRE-Attack\TA0003-Persistence\T1136-Create account\ID472, 4728 Hidden user creation.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""3teamssixf$""},{""@Name"":""TargetDomainName"",""#text"":""FS03VULN""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-2721507831-1374043488-2540227515-1008""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x14F509E2""}]}}"
8,1934518,2022-01-24 17:03:25.0025617,4738,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,1496,fs03vuln.offsec.lan,0,,A user account was changed,OFFSEC\admmig,,Target: FS03VULN\3teamssixf$,"Changed Attribute SamAccountName: 3teamssixf$ DisplayName: 3teamssixf$ UserPrincipalName: - HomeDirectory: %%1793 HomePath: %%1793 ScriptPath: %%1793 ProfilePath: %%1793 UserWorkstations: %%1793 PasswordLastSet: 1/24/2022 5:03:25 PM AccountExpires: %%1794 PrimaryGroupId: 513 AllowedToDelegateTo: - OldUacValue: 0x15 NewUacValue: 0x210 UserAccountControl: , %%2048, %%2050, %%2089 UserParameters: - SidHistory: - LogonHours: %%1797",,,,,,False,"EVTX-to-MITRE-Attack\TA0003-Persistence\T1136-Create account\ID472, 4728 Hidden user creation.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""Dummy"",""#text"":""-""},{""@Name"":""TargetUserName"",""#text"":""3teamssixf$""},{""@Name"":""TargetDomainName"",""#text"":""FS03VULN""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-2721507831-1374043488-2540227515-1008""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x14F509E2""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""SamAccountName"",""#text"":""3teamssixf$""},{""@Name"":""DisplayName"",""#text"":""3teamssixf$""},{""@Name"":""UserPrincipalName"",""#text"":""-""},{""@Name"":""HomeDirectory"",""#text"":""%%1793""},{""@Name"":""HomePath"",""#text"":""%%1793""},{""@Name"":""ScriptPath"",""#text"":""%%1793""},{""@Name"":""ProfilePath"",""#text"":""%%1793""},{""@Name"":""UserWorkstations"",""#text"":""%%1793""},{""@Name"":""PasswordLastSet"",""#text"":""1/24/2022 5:03:25 PM""},{""@Name"":""AccountExpires"",""#text"":""%%1794""},{""@Name"":""PrimaryGroupId"",""#text"":""513""},{""@Name"":""AllowedToDelegateTo"",""#text"":""-""},{""@Name"":""OldUacValue"",""#text"":""0x15""},{""@Name"":""NewUacValue"",""#text"":""0x210""},{""@Name"":""UserAccountControl"",""#text"":"", %%2048, %%2050, %%2089""},{""@Name"":""UserParameters"",""#text"":""-""},{""@Name"":""SidHistory"",""#text"":""-""},{""@Name"":""LogonHours"",""#text"":""%%1797""}]}}"
9,1934519,2022-01-24 17:03:25.0025617,4724,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,1496,fs03vuln.offsec.lan,0,,An attempt was made to reset an account's password,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,Target: FS03VULN\3teamssixf$ (S-1-5-21-2721507831-1374043488-2540227515-1008),SubjectLogonId: 0x14F509E2,,,,,,False,"EVTX-to-MITRE-Attack\TA0003-Persistence\T1136-Create account\ID472, 4728 Hidden user creation.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""3teamssixf$""},{""@Name"":""TargetDomainName"",""#text"":""FS03VULN""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-2721507831-1374043488-2540227515-1008""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x14F509E2""}]}}"
10,1934520,2022-01-24 17:03:25.0048768,4732,LogAlways,Microsoft-Windows-Security-Auditing,Security,480,1496,fs03vuln.offsec.lan,0,,A member was added to a security-enabled local group,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,Target: Builtin\Administrators (S-1-5-32-544),SubjectLogonId: 0x14F509E2,MemberName: -,MemberSid: S-1-5-21-2721507831-1374043488-2540227515-1008,PrivilegeList: -,,,False,"EVTX-to-MITRE-Attack\TA0003-Persistence\T1136-Create account\ID472, 4728 Hidden user creation.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""MemberName"",""#text"":""-""},{""@Name"":""MemberSid"",""#text"":""S-1-5-21-2721507831-1374043488-2540227515-1008""},{""@Name"":""TargetUserName"",""#text"":""Administrators""},{""@Name"":""TargetDomainName"",""#text"":""Builtin""},{""@Name"":""TargetSid"",""#text"":""S-1-5-32-544""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x14F509E2""},{""@Name"":""PrivilegeList"",""#text"":""-""}]}}"
