RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,471,2021-10-21 17:38:36.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1197-BITS jobs\ID800-4103-4104-PowerShell BITS job started.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""RequiredAssemblies=Join-Path $psScriptRoot \""Microsoft.BackgroundIntelligentTransfer.Management.Interop.dll\""\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=21\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=2bc3f2aa-3ec3-49cc-a618-e2d1232518fb\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=e3cd9014-9076-4ada-ac80-9055ed3282c1\n\tPipelineId=7\n\tScriptName=C:\\windows\\system32\\windowspowershell\\v1.0\\Modules\\BitsTransfer\\BitsTransfer.psd1\n\tCommandLine=RequiredAssemblies=Join-Path $psScriptRoot \""Microsoft.BackgroundIntelligentTransfer.Management.Interop.dll\""\n, CommandInvocation(Join-Path): \""Join-Path\""\nParameterBinding(Join-Path): name=\""Path\""; value=\""C:\\windows\\system32\\windowspowershell\\v1.0\\Modules\\BitsTransfer\""\nParameterBinding(Join-Path): name=\""ChildPath\""; value=\""Microsoft.BackgroundIntelligentTransfer.Management.Interop.dll\""\n"",""Binary"":""""}}"
2,1736,2021-10-21 17:38:36.7114620,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3336,3892,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ",ScriptBlockText: Start-BitsTransfer -Priority foreground -Source https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1197/T1197.md -Destination C:\Users\bits.ps1,,,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1197-BITS jobs\ID800-4103-4104-PowerShell BITS job started.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""Start-BitsTransfer -Priority foreground -Source https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1197/T1197.md -Destination C:\\Users\\bits.ps1""},{""@Name"":""ScriptBlockId"",""#text"":""76350588-4aa4-4047-9ecb-9b285c4fa71b""}]}}"
3,1737,2021-10-21 17:38:36.7426383,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3336,3892,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ","ScriptBlockText: @{, GUID=""{8FA5064B-8479-4c5c-86EA-0D311FE48875}"", Author=""Microsoft Corporation"", CompanyName=""Microsoft Corporation"", Copyright=""© Microsoft Corporation. All rights reserved."", ModuleVersion=""1.0.0.0"", PowerShellVersion=""2.0"", CLRVersion=""2.0"", NestedModules=""Microsoft.BackgroundIntelligentTransfer.Management"", FormatsToProcess=""BitsTransfer.Format.ps1xml"", RequiredAssemblies=Join-Path $psScriptRoot ""Microsoft.BackgroundIntelligentTransfer.Management.Interop.dll"", CmdletsToExport=""Add-BitsFile"",""Complete-BitsTransfer"",""Get-BitsTransfer"",""Remove-BitsTransfer"",""Resume-BitsTransfer"",""Set-BitsTransfer"",""Start-BitsTransfer"",""Suspend-BitsTransfer"", }, ",,,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1197-BITS jobs\ID800-4103-4104-PowerShell BITS job started.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""@{, GUID=\""{8FA5064B-8479-4c5c-86EA-0D311FE48875}\"", Author=\""Microsoft Corporation\"", CompanyName=\""Microsoft Corporation\"", Copyright=\""© Microsoft Corporation. All rights reserved.\"", ModuleVersion=\""1.0.0.0\"", PowerShellVersion=\""2.0\"", CLRVersion=\""2.0\"", NestedModules=\""Microsoft.BackgroundIntelligentTransfer.Management\"", FormatsToProcess=\""BitsTransfer.Format.ps1xml\"", RequiredAssemblies=Join-Path $psScriptRoot \""Microsoft.BackgroundIntelligentTransfer.Management.Interop.dll\"", CmdletsToExport=\""Add-BitsFile\"",\""Complete-BitsTransfer\"",\""Get-BitsTransfer\"",\""Remove-BitsTransfer\"",\""Resume-BitsTransfer\"",\""Set-BitsTransfer\"",\""Start-BitsTransfer\"",\""Suspend-BitsTransfer\"", }, ""},{""@Name"":""ScriptBlockId"",""#text"":""8e076078-190c-467f-93ed-9ebfdf8a31af""}]}}"
4,1738,2021-10-21 17:38:36.7426383,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3336,3892,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,"        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 2bc3f2aa-3ec3-49cc-a618-e2d1232518fb,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = e3cd9014-9076-4ada-ac80-9055ed3282c1,         Pipeline ID = 7,         Command Name = Join-Path,         Command Type = Cmdlet,         Script Name = C:\windows\system32\windowspowershell\v1.0\Modules\BitsTransfer\BitsTransfer.psd1,         Command Path = ,         Sequence Number = 22,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",,Command Name: Join-Path,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Script Name: C:\windows\system32\windowspowershell\v1.0\Modules\BitsTransfer\BitsTransfer.psd1,"ConnectedUser:         Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 2bc3f2aa-3ec3-49cc-a618-e2d1232518fb,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = e3cd9014-9076-4ada-ac80-9055ed3282c1,         Pipeline ID = 7,         Command Name = Join-Path,         Command Type = Cmdlet,         Script Name = C:\windows\system32\windowspowershell\v1.0\Modules\BitsTransfer\BitsTransfer.psd1,         Command Path = ,         Sequence Number = 22,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",Host Name: ConsoleHost,"Payload: CommandInvocation(Join-Path): ""Join-Path"", ParameterBinding(Join-Path): name=""Path""; value=""C:\windows\system32\windowspowershell\v1.0\Modules\BitsTransfer"", ParameterBinding(Join-Path): name=""ChildPath""; value=""Microsoft.BackgroundIntelligentTransfer.Management.Interop.dll"", ",,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1197-BITS jobs\ID800-4103-4104-PowerShell BITS job started.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 2bc3f2aa-3ec3-49cc-a618-e2d1232518fb,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = e3cd9014-9076-4ada-ac80-9055ed3282c1,         Pipeline ID = 7,         Command Name = Join-Path,         Command Type = Cmdlet,         Script Name = C:\\windows\\system32\\windowspowershell\\v1.0\\Modules\\BitsTransfer\\BitsTransfer.psd1,         Command Path = ,         Sequence Number = 22,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Join-Path): \""Join-Path\"", ParameterBinding(Join-Path): name=\""Path\""; value=\""C:\\windows\\system32\\windowspowershell\\v1.0\\Modules\\BitsTransfer\"", ParameterBinding(Join-Path): name=\""ChildPath\""; value=\""Microsoft.BackgroundIntelligentTransfer.Management.Interop.dll\"", ""}]}}"
5,472,2021-10-21 17:38:37.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1197-BITS jobs\ID800-4103-4104-PowerShell BITS job started.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Start-BitsTransfer -Priority foreground -Source https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1197/T1197.md -Destination C:\\Users\\bits.ps1, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=23\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=2bc3f2aa-3ec3-49cc-a618-e2d1232518fb\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=e3cd9014-9076-4ada-ac80-9055ed3282c1\n\tPipelineId=6\n\tScriptName=\n\tCommandLine=Start-BitsTransfer -Priority foreground -Source https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1197/T1197.md -Destination C:\\Users\\bits.ps1, CommandInvocation(Start-BitsTransfer): \""Start-BitsTransfer\""\nParameterBinding(Start-BitsTransfer): name=\""Priority\""; value=\""foreground\""\nParameterBinding(Start-BitsTransfer): name=\""Source\""; value=\""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1197/T1197.md\""\nParameterBinding(Start-BitsTransfer): name=\""Destination\""; value=\""C:\\Users\\bits.ps1\""\n"",""Binary"":""""}}"
6,473,2021-10-21 17:38:37.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1197-BITS jobs\ID800-4103-4104-PowerShell BITS job started.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""\tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=25\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=2bc3f2aa-3ec3-49cc-a618-e2d1232518fb\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=e3cd9014-9076-4ada-ac80-9055ed3282c1\n\tPipelineId=6\n\tScriptName=\n\tCommandLine=, CommandInvocation(Out-Default): \""Out-Default\""\n"",""Binary"":""""}}"
7,1739,2021-10-21 17:38:37.0847450,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3336,3892,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,"        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 2bc3f2aa-3ec3-49cc-a618-e2d1232518fb,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = e3cd9014-9076-4ada-ac80-9055ed3282c1,         Pipeline ID = 6,         Command Name = Start-BitsTransfer,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 24,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",,Command Name: Start-BitsTransfer,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser:         Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 2bc3f2aa-3ec3-49cc-a618-e2d1232518fb,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = e3cd9014-9076-4ada-ac80-9055ed3282c1,         Pipeline ID = 6,         Command Name = Start-BitsTransfer,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 24,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",Host Name: ConsoleHost,"Payload: CommandInvocation(Start-BitsTransfer): ""Start-BitsTransfer"", ParameterBinding(Start-BitsTransfer): name=""Priority""; value=""foreground"", ParameterBinding(Start-BitsTransfer): name=""Source""; value=""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1197/T1197.md"", ParameterBinding(Start-BitsTransfer): name=""Destination""; value=""C:\Users\bits.ps1"", ",,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1197-BITS jobs\ID800-4103-4104-PowerShell BITS job started.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 2bc3f2aa-3ec3-49cc-a618-e2d1232518fb,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = e3cd9014-9076-4ada-ac80-9055ed3282c1,         Pipeline ID = 6,         Command Name = Start-BitsTransfer,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 24,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Start-BitsTransfer): \""Start-BitsTransfer\"", ParameterBinding(Start-BitsTransfer): name=\""Priority\""; value=\""foreground\"", ParameterBinding(Start-BitsTransfer): name=\""Source\""; value=\""https://raw.githubusercontent.com/redcanaryco/atomic-red-team/master/atomics/T1197/T1197.md\"", ParameterBinding(Start-BitsTransfer): name=\""Destination\""; value=\""C:\\Users\\bits.ps1\"", ""}]}}"
8,1740,2021-10-21 17:38:37.0847450,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3336,3892,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,"        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 2bc3f2aa-3ec3-49cc-a618-e2d1232518fb,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = e3cd9014-9076-4ada-ac80-9055ed3282c1,         Pipeline ID = 6,         Command Name = ,         Command Type = Script,         Script Name = ,         Command Path = ,         Sequence Number = 26,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",,"Command Name: ",Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser:         Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 2bc3f2aa-3ec3-49cc-a618-e2d1232518fb,         Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,         Engine Version = 4.0,         Runspace ID = e3cd9014-9076-4ada-ac80-9055ed3282c1,         Pipeline ID = 6,         Command Name = ,         Command Type = Script,         Script Name = ,         Command Path = ,         Sequence Number = 26,         User = OFFSEC\admmig,         Shell ID = Microsoft.PowerShell, ",Host Name: ConsoleHost,"Payload: CommandInvocation(Out-Default): ""Out-Default"", ",,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1197-BITS jobs\ID800-4103-4104-PowerShell BITS job started.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 4.0,         Host ID = 2bc3f2aa-3ec3-49cc-a618-e2d1232518fb,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 4.0,         Runspace ID = e3cd9014-9076-4ada-ac80-9055ed3282c1,         Pipeline ID = 6,         Command Name = ,         Command Type = Script,         Script Name = ,         Command Path = ,         Sequence Number = 26,         User = OFFSEC\\admmig,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Out-Default): \""Out-Default\"", ""}]}}"
9,1741,2021-10-21 17:38:37.0847450,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3336,4648,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ","ScriptBlockText: ,         [System.Diagnostics.DebuggerHidden()],         param(),         $foundSuggestion = $false,         ,         if($lastError -and,             ($lastError.Exception -is ""System.Management.Automation.CommandNotFoundException"")),         {,             $escapedCommand = [System.Management.Automation.WildcardPattern]::Escape($lastError.TargetObject),             $foundSuggestion = @(Get-Command ($ExecutionContext.SessionState.Path.Combine(""."", $escapedCommand)) -ErrorAction Ignore).Count -gt 0,         },         $foundSuggestion,         ",,,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1197-BITS jobs\ID800-4103-4104-PowerShell BITS job started.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":"",         [System.Diagnostics.DebuggerHidden()],         param(),         $foundSuggestion = $false,         ,         if($lastError -and,             ($lastError.Exception -is \""System.Management.Automation.CommandNotFoundException\"")),         {,             $escapedCommand = [System.Management.Automation.WildcardPattern]::Escape($lastError.TargetObject),             $foundSuggestion = @(Get-Command ($ExecutionContext.SessionState.Path.Combine(\"".\"", $escapedCommand)) -ErrorAction Ignore).Count -gt 0,         },         $foundSuggestion,         ""},{""@Name"":""ScriptBlockId"",""#text"":""6b72b20d-7411-4ab5-ab34-b9390cb58858""}]}}"
10,1742,2021-10-21 17:38:37.0847450,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,3336,4648,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ","ScriptBlockText: ""The command $($lastError.TargetObject) was not found, but does exist in the current location. Windows PowerShell does not load commands from the current location by default. If you trust this command, instead type `"".\$($lastError.TargetObject)`"". See `""get-help about_Command_Precedence`"" for more details.""",,,,,,False,EVTX-to-MITRE-Attack\TA0003-Persistence\T1197-BITS jobs\ID800-4103-4104-PowerShell BITS job started.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""\""The command $($lastError.TargetObject) was not found, but does exist in the current location. Windows PowerShell does not load commands from the current location by default. If you trust this command, instead type `\"".\\$($lastError.TargetObject)`\"". See `\""get-help about_Command_Precedence`\"" for more details.\""""},{""@Name"":""ScriptBlockId"",""#text"":""73dc84dd-f5ad-491d-bdcd-fb366790a46c""}]}}"
