RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1239001,2020-07-12 20:23:27.4285298,4704,LogAlways,Microsoft-Windows-Security-Auditing,Security,464,2980,fs02.offsec.lan,0,,A user right was assigned,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,TargetSid: S-1-5-21-4230534742-2542757381-3142984815-1158,PrivilegeList: SeCreateTokenPrivilege,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1134-Access Token Manipulation\ID4704-4705-User righ assigned to account.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x202DAC8""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""PrivilegeList"",""#text"":""SeCreateTokenPrivilege""}]}}"
2,1239002,2020-07-12 20:23:39.9739274,4705,LogAlways,Microsoft-Windows-Security-Auditing,Security,464,2980,fs02.offsec.lan,0,,A user right was removed,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,TargetSid: S-1-5-21-4230534742-2542757381-3142984815-1158,PrivilegeList: SeCreateTokenPrivilege,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1134-Access Token Manipulation\ID4704-4705-User righ assigned to account.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x202DAC8""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""PrivilegeList"",""#text"":""SeCreateTokenPrivilege""}]}}"
3,1239099,2020-07-12 20:45:30.2471013,4704,LogAlways,Microsoft-Windows-Security-Auditing,Security,464,992,fs02.offsec.lan,0,,A user right was assigned,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,TargetSid: S-1-5-21-4230534742-2542757381-3142984815-1158,PrivilegeList: SeAssignPrimaryTokenPrivilege,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1134-Access Token Manipulation\ID4704-4705-User righ assigned to account.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x202DAC8""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""PrivilegeList"",""#text"":""SeAssignPrimaryTokenPrivilege""}]}}"
4,1239100,2020-07-12 20:45:37.3988010,4705,LogAlways,Microsoft-Windows-Security-Auditing,Security,464,992,fs02.offsec.lan,0,,A user right was removed,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,TargetSid: S-1-5-21-4230534742-2542757381-3142984815-1158,PrivilegeList: SeAssignPrimaryTokenPrivilege,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1134-Access Token Manipulation\ID4704-4705-User righ assigned to account.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x202DAC8""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""PrivilegeList"",""#text"":""SeAssignPrimaryTokenPrivilege""}]}}"
5,1239101,2020-07-12 20:46:20.8137636,4704,LogAlways,Microsoft-Windows-Security-Auditing,Security,464,992,fs02.offsec.lan,0,,A user right was assigned,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,TargetSid: S-1-5-21-4230534742-2542757381-3142984815-1158,PrivilegeList: SeCreateSymbolicLinkPrivilege,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1134-Access Token Manipulation\ID4704-4705-User righ assigned to account.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x202DAC8""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""PrivilegeList"",""#text"":""SeCreateSymbolicLinkPrivilege""}]}}"
6,1239102,2020-07-12 20:46:23.8614248,4705,LogAlways,Microsoft-Windows-Security-Auditing,Security,464,992,fs02.offsec.lan,0,,A user right was removed,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,TargetSid: S-1-5-21-4230534742-2542757381-3142984815-1158,PrivilegeList: SeCreateSymbolicLinkPrivilege,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1134-Access Token Manipulation\ID4704-4705-User righ assigned to account.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x202DAC8""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""PrivilegeList"",""#text"":""SeCreateSymbolicLinkPrivilege""}]}}"
7,1239135,2020-07-12 20:52:41.8253192,4705,LogAlways,Microsoft-Windows-Security-Auditing,Security,464,3908,fs02.offsec.lan,0,,A user right was removed,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,TargetSid: S-1-5-21-4230534742-2542757381-3142984815-1610,PrivilegeList: SeCreatePagefilePrivilege,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1134-Access Token Manipulation\ID4704-4705-User righ assigned to account.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x202DAC8""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1610""},{""@Name"":""PrivilegeList"",""#text"":""SeCreatePagefilePrivilege""}]}}"
8,1239136,2020-07-12 20:52:54.9232987,4704,LogAlways,Microsoft-Windows-Security-Auditing,Security,464,3908,fs02.offsec.lan,0,,A user right was assigned,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,TargetSid: S-1-5-21-4230534742-2542757381-3142984815-1158,PrivilegeList: SeDebugPrivilege,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1134-Access Token Manipulation\ID4704-4705-User righ assigned to account.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x202DAC8""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""PrivilegeList"",""#text"":""SeDebugPrivilege""}]}}"
9,1239137,2020-07-12 20:52:58.0061345,4705,LogAlways,Microsoft-Windows-Security-Auditing,Security,464,3908,fs02.offsec.lan,0,,A user right was removed,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,TargetSid: S-1-5-21-4230534742-2542757381-3142984815-1158,PrivilegeList: SeDebugPrivilege,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1134-Access Token Manipulation\ID4704-4705-User righ assigned to account.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x202DAC8""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""PrivilegeList"",""#text"":""SeDebugPrivilege""}]}}"
10,1239141,2020-07-12 20:55:28.9800153,4704,LogAlways,Microsoft-Windows-Security-Auditing,Security,464,992,fs02.offsec.lan,0,,A user right was assigned,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,TargetSid: S-1-5-21-4230534742-2542757381-3142984815-1158,PrivilegeList: SeImpersonatePrivilege,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1134-Access Token Manipulation\ID4704-4705-User righ assigned to account.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x202DAC8""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1158""},{""@Name"":""PrivilegeList"",""#text"":""SeImpersonatePrivilege""}]}}"
