RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,111660452,2021-02-22 22:47:38.9988523,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,12772,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{f30e3bc2-9ff0-11d1-b603-0000f80367c1},ObjectName: %{244db979-f8ae-4695-9e37-2104a17a967f},"AccessList: Unknown code (%%7685, )",AccessMask: Unknown code (0x20),,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1484.001-Domain Policy Modification-Group Policy Modification\ID5136-4662 sensitive GPO edited.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x24E2CBF6""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{f30e3bc2-9ff0-11d1-b603-0000f80367c1}""},{""@Name"":""ObjectName"",""#text"":""%{244db979-f8ae-4695-9e37-2104a17a967f}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7685, ""},{""@Name"":""AccessMask"",""#text"":""0x20""},{""@Name"":""Properties"",""#text"":""%%7685, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {bf967a76-0de6-11d0-a285-00aa003049e2}, {f30e3bc2-9ff0-11d1-b603-0000f80367c1}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
2,111660461,2021-02-22 22:47:43.6450515,5136,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,4060,rootdc1.offsec.lan,0,,A directory service object was modified,OFFSEC\admmig,,DSName: offsec.lan,"ObjectDN: CN={127328D6-A8A8-49E3-BA71-410C945F42CE},CN=POLICIES,CN=SYSTEM,DC=OFFSEC,DC=LAN",ObjectClass: groupPolicyContainer,AttributeLDAPDisplayName: versionNumber,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1484.001-Domain Policy Modification-Group Policy Modification\ID5136-4662 sensitive GPO edited.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""OpCorrelationID"",""#text"":""90949b97-6477-4d47-ab9d-e291f4fe8e34""},{""@Name"":""AppCorrelationID"",""#text"":""-""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x24E2CBF6""},{""@Name"":""DSName"",""#text"":""offsec.lan""},{""@Name"":""DSType"",""#text"":""%%14676""},{""@Name"":""ObjectDN"",""#text"":""CN={127328D6-A8A8-49E3-BA71-410C945F42CE},CN=POLICIES,CN=SYSTEM,DC=OFFSEC,DC=LAN""},{""@Name"":""ObjectGUID"",""#text"":""244db979-f8ae-4695-9e37-2104a17a967f""},{""@Name"":""ObjectClass"",""#text"":""groupPolicyContainer""},{""@Name"":""AttributeLDAPDisplayName"",""#text"":""versionNumber""},{""@Name"":""AttributeSyntaxOID"",""#text"":""2.5.5.9""},{""@Name"":""AttributeValue"",""#text"":""1""},{""@Name"":""OperationType"",""#text"":""%%14675""}]}}"
3,111660462,2021-02-22 22:47:43.6452710,5136,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,15032,rootdc1.offsec.lan,0,,A directory service object was modified,OFFSEC\admmig,,DSName: offsec.lan,"ObjectDN: CN={127328D6-A8A8-49E3-BA71-410C945F42CE},CN=POLICIES,CN=SYSTEM,DC=OFFSEC,DC=LAN",ObjectClass: groupPolicyContainer,AttributeLDAPDisplayName: versionNumber,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1484.001-Domain Policy Modification-Group Policy Modification\ID5136-4662 sensitive GPO edited.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""OpCorrelationID"",""#text"":""90949b97-6477-4d47-ab9d-e291f4fe8e34""},{""@Name"":""AppCorrelationID"",""#text"":""-""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x24E2CBF6""},{""@Name"":""DSName"",""#text"":""offsec.lan""},{""@Name"":""DSType"",""#text"":""%%14676""},{""@Name"":""ObjectDN"",""#text"":""CN={127328D6-A8A8-49E3-BA71-410C945F42CE},CN=POLICIES,CN=SYSTEM,DC=OFFSEC,DC=LAN""},{""@Name"":""ObjectGUID"",""#text"":""244db979-f8ae-4695-9e37-2104a17a967f""},{""@Name"":""ObjectClass"",""#text"":""groupPolicyContainer""},{""@Name"":""AttributeLDAPDisplayName"",""#text"":""versionNumber""},{""@Name"":""AttributeSyntaxOID"",""#text"":""2.5.5.9""},{""@Name"":""AttributeValue"",""#text"":""2""},{""@Name"":""OperationType"",""#text"":""%%14674""}]}}"
4,111660719,2021-02-22 22:50:32.6535844,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,4060,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\FS02$,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{aaf7533a-9112-4d0f-8cb4-a2c40aed4741},AccessList: Unknown code (-),AccessMask: Unknown code (0x0),,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1484.001-Domain Policy Modification-Group Policy Modification\ID5136-4662 sensitive GPO edited.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1105""},{""@Name"":""SubjectUserName"",""#text"":""FS02$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x24E33DF2""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{aaf7533a-9112-4d0f-8cb4-a2c40aed4741}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0x0""},{""@Name"":""Properties"",""#text"":""---, {bf967a86-0de6-11d0-a285-00aa003049e2}, %%7688, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
5,111660722,2021-02-22 22:50:32.6673245,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,12772,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\FS02$,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{aaf7533a-9112-4d0f-8cb4-a2c40aed4741},AccessList: Unknown code (-),AccessMask: Unknown code (0x0),,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1484.001-Domain Policy Modification-Group Policy Modification\ID5136-4662 sensitive GPO edited.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1105""},{""@Name"":""SubjectUserName"",""#text"":""FS02$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x24E33E0B""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{aaf7533a-9112-4d0f-8cb4-a2c40aed4741}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0x0""},{""@Name"":""Properties"",""#text"":""---, {bf967a86-0de6-11d0-a285-00aa003049e2}, %%7688, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
6,111660727,2021-02-22 22:50:32.7926547,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,4060,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\FS02$,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{aaf7533a-9112-4d0f-8cb4-a2c40aed4741},AccessList: Unknown code (-),AccessMask: Unknown code (0x0),,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1484.001-Domain Policy Modification-Group Policy Modification\ID5136-4662 sensitive GPO edited.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1105""},{""@Name"":""SubjectUserName"",""#text"":""FS02$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x24E33E2A""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{aaf7533a-9112-4d0f-8cb4-a2c40aed4741}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0x0""},{""@Name"":""Properties"",""#text"":""---, {bf967a86-0de6-11d0-a285-00aa003049e2}, %%7688, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
7,111660730,2021-02-22 22:50:32.8026452,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,12772,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\FS02$,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{aaf7533a-9112-4d0f-8cb4-a2c40aed4741},AccessList: Unknown code (-),AccessMask: Unknown code (0x0),,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1484.001-Domain Policy Modification-Group Policy Modification\ID5136-4662 sensitive GPO edited.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1105""},{""@Name"":""SubjectUserName"",""#text"":""FS02$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x24E33E43""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{aaf7533a-9112-4d0f-8cb4-a2c40aed4741}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0x0""},{""@Name"":""Properties"",""#text"":""---, {bf967a86-0de6-11d0-a285-00aa003049e2}, %%7688, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
8,111660775,2021-02-22 22:50:43.6866128,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,12772,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\ROOTDC1$,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{832b1c45-2f6e-4c82-be40-d461e377f560},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1484.001-Domain Policy Modification-Group Policy Modification\ID5136-4662 sensitive GPO edited.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ROOTDC1$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x24E3497D""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{832b1c45-2f6e-4c82-be40-d461e377f560}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {bf967a86-0de6-11d0-a285-00aa003049e2}, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {aa4e1a6d-550d-4e05-8c35-4afcb917a9fe}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
9,111660779,2021-02-22 22:50:43.6986785,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,4060,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\ROOTDC1$,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{832b1c45-2f6e-4c82-be40-d461e377f560},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1484.001-Domain Policy Modification-Group Policy Modification\ID5136-4662 sensitive GPO edited.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ROOTDC1$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x24E34AF9""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{832b1c45-2f6e-4c82-be40-d461e377f560}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {bf967a86-0de6-11d0-a285-00aa003049e2}, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {aa4e1a6d-550d-4e05-8c35-4afcb917a9fe}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
10,111660801,2021-02-22 22:50:44.2028998,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,14852,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\ROOTDC1$,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{832b1c45-2f6e-4c82-be40-d461e377f560},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1484.001-Domain Policy Modification-Group Policy Modification\ID5136-4662 sensitive GPO edited.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ROOTDC1$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x24E35D12""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{832b1c45-2f6e-4c82-be40-d461e377f560}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {bf967a86-0de6-11d0-a285-00aa003049e2}, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {aa4e1a6d-550d-4e05-8c35-4afcb917a9fe}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
