RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,465458,2021-04-26 10:04:23.1898640,1102,Info,Microsoft-Windows-Eventlog,Security,960,1780,srvdefender01.offsec.lan,0,,Event log cleared,OFFSEC\admmig,,SID: (S-1-5-21-4230534742-2542757381-3142984815-1111),,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1546-Image File Execution Options Injection\ID4656-Failed sethc replacement by CMD.evtx,0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-21-4230534742-2542757381-3142984815-1111"",""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""SubjectLogonId"":""0x2B5F6BF""}}}"
2,465459,2021-04-26 10:04:28.7945345,4656,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6924,srvdefender01.offsec.lan,0,,A handle to an object was requested,OFFSEC\admmig,,ObjectType: File,ObjectName: C:\Windows\System32\sethc.exe,HandleId: 0x0,TransactionId: 00000000-0000-0000-0000-000000000000,"AccessList: Unknown code (%%1537, %%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, )",PrivilegeList: -,C:\Windows\System32\cmd.exe (PID: 0x141C),False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1546-Image File Execution Options Injection\ID4656-Failed sethc replacement by CMD.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2B5F6BF""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""C:\\Windows\\System32\\sethc.exe""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""%%1537:, %%1805, %%1538:, %%1801, D:(A;;0x1200a9;;;BA), %%1541:, %%1801, D:(A;;0x1200a9;;;BA), %%4416:, %%1801, D:(A;;0x1200a9;;;BA), %%4417:, %%1805, %%4418:, %%1805, %%4419:, %%1801, D:(A;;0x1200a9;;;BA), %%4420:, %%1805, %%4423:, %%1811, D:(A;;0x1301bf;;;BA), %%4424:, %%1805, ""},{""@Name"":""AccessMask"",""#text"":""0x13019F""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x141C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ResourceAttributes"",""#text"":""-""}]}}"
3,465460,2021-04-26 10:04:28.7946408,4656,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6924,srvdefender01.offsec.lan,0,,A handle to an object was requested,OFFSEC\admmig,,ObjectType: File,ObjectName: C:\Windows\System32\sethc.exe,HandleId: 0x0,TransactionId: 00000000-0000-0000-0000-000000000000,"AccessList: Unknown code (%%1538, %%1541, %%4417, %%4418, %%4420, %%4423, %%4424, )",PrivilegeList: -,C:\Windows\System32\cmd.exe (PID: 0x141C),False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1546-Image File Execution Options Injection\ID4656-Failed sethc replacement by CMD.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2B5F6BF""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""C:\\Windows\\System32\\sethc.exe""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4417, %%4418, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""%%1538:, %%1801, D:(A;;0x1200a9;;;BA), %%1541:, %%1801, D:(A;;0x1200a9;;;BA), %%4417:, %%1805, %%4418:, %%1805, %%4420:, %%1805, %%4423:, %%1811, D:(A;;0x1301bf;;;BA), %%4424:, %%1805, ""},{""@Name"":""AccessMask"",""#text"":""0x120196""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x141C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ResourceAttributes"",""#text"":""-""}]}}"
4,465461,2021-04-26 10:04:28.7946934,4656,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6924,srvdefender01.offsec.lan,0,,A handle to an object was requested,OFFSEC\admmig,,ObjectType: File,ObjectName: C:\Windows\System32\sethc.exe,HandleId: 0x0,TransactionId: 00000000-0000-0000-0000-000000000000,"AccessList: Unknown code (%%1537, %%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, )",PrivilegeList: -,C:\Windows\System32\cmd.exe (PID: 0x141C),False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1546-Image File Execution Options Injection\ID4656-Failed sethc replacement by CMD.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2B5F6BF""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""C:\\Windows\\System32\\sethc.exe""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""%%1537:, %%1805, %%1538:, %%1801, D:(A;;0x1200a9;;;BA), %%1541:, %%1801, D:(A;;0x1200a9;;;BA), %%4416:, %%1801, D:(A;;0x1200a9;;;BA), %%4417:, %%1805, %%4418:, %%1805, %%4419:, %%1801, D:(A;;0x1200a9;;;BA), %%4420:, %%1805, %%4423:, %%1811, D:(A;;0x1301bf;;;BA), %%4424:, %%1805, ""},{""@Name"":""AccessMask"",""#text"":""0x13019F""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x141C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ResourceAttributes"",""#text"":""-""}]}}"
5,465462,2021-04-26 10:04:28.7947969,4656,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6924,srvdefender01.offsec.lan,0,,A handle to an object was requested,OFFSEC\admmig,,ObjectType: File,ObjectName: C:\Windows\System32\sethc.exe,HandleId: 0x0,TransactionId: 00000000-0000-0000-0000-000000000000,"AccessList: Unknown code (%%1538, %%1541, %%4417, %%4418, %%4420, %%4423, %%4424, )",PrivilegeList: -,C:\Windows\System32\cmd.exe (PID: 0x141C),False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1546-Image File Execution Options Injection\ID4656-Failed sethc replacement by CMD.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2B5F6BF""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""C:\\Windows\\System32\\sethc.exe""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4417, %%4418, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""%%1538:, %%1801, D:(A;;0x1200a9;;;BA), %%1541:, %%1801, D:(A;;0x1200a9;;;BA), %%4417:, %%1805, %%4418:, %%1805, %%4420:, %%1805, %%4423:, %%1811, D:(A;;0x1301bf;;;BA), %%4424:, %%1805, ""},{""@Name"":""AccessMask"",""#text"":""0x120196""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x141C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ResourceAttributes"",""#text"":""-""}]}}"
6,465463,2021-04-26 10:04:28.7950219,4656,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6924,srvdefender01.offsec.lan,0,,A handle to an object was requested,OFFSEC\admmig,,ObjectType: File,ObjectName: C:\Windows\System32\sethc.exe,HandleId: 0x0,TransactionId: 00000000-0000-0000-0000-000000000000,"AccessList: Unknown code (%%1537, %%1538, %%1539, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, )",PrivilegeList: -,C:\Windows\System32\cmd.exe (PID: 0x141C),False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1546-Image File Execution Options Injection\ID4656-Failed sethc replacement by CMD.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2B5F6BF""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""C:\\Windows\\System32\\sethc.exe""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1541, %%4416, %%4417, %%4418, %%4419, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""%%1537:, %%1805, %%1538:, %%1801, D:(A;;0x1200a9;;;BA), %%1539:, %%1805, %%1541:, %%1801, D:(A;;0x1200a9;;;BA), %%4416:, %%1801, D:(A;;0x1200a9;;;BA), %%4417:, %%1805, %%4418:, %%1805, %%4419:, %%1801, D:(A;;0x1200a9;;;BA), %%4420:, %%1805, %%4423:, %%1811, D:(A;;0x1301bf;;;BA), %%4424:, %%1805, ""},{""@Name"":""AccessMask"",""#text"":""0x17019F""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x141C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ResourceAttributes"",""#text"":""-""}]}}"
7,465464,2021-04-26 10:04:28.7951342,4656,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6924,srvdefender01.offsec.lan,0,,A handle to an object was requested,OFFSEC\admmig,,ObjectType: File,ObjectName: C:\Windows\System32\sethc.exe,HandleId: 0x0,TransactionId: 00000000-0000-0000-0000-000000000000,"AccessList: Unknown code (%%1537, %%1538, %%1539, %%1541, %%4416, %%4417, %%4418, %%4420, %%4423, %%4424, )",PrivilegeList: -,C:\Windows\System32\cmd.exe (PID: 0x141C),False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1546-Image File Execution Options Injection\ID4656-Failed sethc replacement by CMD.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2B5F6BF""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""C:\\Windows\\System32\\sethc.exe""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1541, %%4416, %%4417, %%4418, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""%%1537:, %%1805, %%1538:, %%1801, D:(A;;0x1200a9;;;BA), %%1539:, %%1805, %%1541:, %%1801, D:(A;;0x1200a9;;;BA), %%4416:, %%1801, D:(A;;0x1200a9;;;BA), %%4417:, %%1805, %%4418:, %%1805, %%4420:, %%1805, %%4423:, %%1811, D:(A;;0x1301bf;;;BA), %%4424:, %%1805, ""},{""@Name"":""AccessMask"",""#text"":""0x170197""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x141C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ResourceAttributes"",""#text"":""-""}]}}"
8,465465,2021-04-26 10:04:28.7952419,4656,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6924,srvdefender01.offsec.lan,0,,A handle to an object was requested,OFFSEC\admmig,,ObjectType: File,ObjectName: C:\Windows\System32\sethc.exe,HandleId: 0x0,TransactionId: 00000000-0000-0000-0000-000000000000,"AccessList: Unknown code (%%1537, %%1538, %%1539, %%1541, %%4417, %%4418, %%4420, %%4423, %%4424, )",PrivilegeList: -,C:\Windows\System32\cmd.exe (PID: 0x141C),False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1546-Image File Execution Options Injection\ID4656-Failed sethc replacement by CMD.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2B5F6BF""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""C:\\Windows\\System32\\sethc.exe""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1541, %%4417, %%4418, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""%%1537:, %%1805, %%1538:, %%1801, D:(A;;0x1200a9;;;BA), %%1539:, %%1805, %%1541:, %%1801, D:(A;;0x1200a9;;;BA), %%4417:, %%1805, %%4418:, %%1805, %%4420:, %%1805, %%4423:, %%1811, D:(A;;0x1301bf;;;BA), %%4424:, %%1805, ""},{""@Name"":""AccessMask"",""#text"":""0x170196""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x141C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ResourceAttributes"",""#text"":""-""}]}}"
9,465466,2021-04-26 10:04:28.7953542,4656,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6924,srvdefender01.offsec.lan,0,,A handle to an object was requested,OFFSEC\admmig,,ObjectType: File,ObjectName: C:\Windows\System32\sethc.exe,HandleId: 0x0,TransactionId: 00000000-0000-0000-0000-000000000000,"AccessList: Unknown code (%%1537, %%1538, %%1539, %%1541, %%4416, %%4417, %%4418, %%4420, %%4423, %%4424, )",PrivilegeList: -,C:\Windows\System32\cmd.exe (PID: 0x141C),False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1546-Image File Execution Options Injection\ID4656-Failed sethc replacement by CMD.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2B5F6BF""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""C:\\Windows\\System32\\sethc.exe""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1541, %%4416, %%4417, %%4418, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""%%1537:, %%1805, %%1538:, %%1801, D:(A;;0x1200a9;;;BA), %%1539:, %%1805, %%1541:, %%1801, D:(A;;0x1200a9;;;BA), %%4416:, %%1801, D:(A;;0x1200a9;;;BA), %%4417:, %%1805, %%4418:, %%1805, %%4420:, %%1805, %%4423:, %%1811, D:(A;;0x1301bf;;;BA), %%4424:, %%1805, ""},{""@Name"":""AccessMask"",""#text"":""0x170197""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x141C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ResourceAttributes"",""#text"":""-""}]}}"
10,465467,2021-04-26 10:04:28.7954707,4656,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6924,srvdefender01.offsec.lan,0,,A handle to an object was requested,OFFSEC\admmig,,ObjectType: File,ObjectName: C:\Windows\System32\sethc.exe,HandleId: 0x0,TransactionId: 00000000-0000-0000-0000-000000000000,"AccessList: Unknown code (%%1537, %%1538, %%1539, %%1541, %%4416, %%4417, %%4418, %%4420, %%4423, %%4424, )",PrivilegeList: -,C:\Windows\System32\cmd.exe (PID: 0x141C),False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1546-Image File Execution Options Injection\ID4656-Failed sethc replacement by CMD.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2B5F6BF""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""C:\\Windows\\System32\\sethc.exe""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1541, %%4416, %%4417, %%4418, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""%%1537:, %%1805, %%1538:, %%1801, D:(A;;0x1200a9;;;BA), %%1539:, %%1805, %%1541:, %%1801, D:(A;;0x1200a9;;;BA), %%4416:, %%1801, D:(A;;0x1200a9;;;BA), %%4417:, %%1805, %%4418:, %%1805, %%4420:, %%1805, %%4423:, %%1811, D:(A;;0x1301bf;;;BA), %%4424:, %%1805, ""},{""@Name"":""AccessMask"",""#text"":""0x170197""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x141C""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""ResourceAttributes"",""#text"":""-""}]}}"
