RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,4,2021-10-27 10:09:16.2809298,823,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Admin,2552,4012,fs03vuln.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID316,300,301,316,823,848-Mimispool printer server instal.evtx",0x8000000000020000,0,"{""UserData"":{""ChangingDefaultPrinter"":{""DefaultPrinterSelectedBySpooler"":""1"",""OldDefaultPrinter"":""-"",""NewDefaultPrinter"":""Kiwi Legit Printer"",""Status"":""0x0"",""Module"":""spoolsv.exe""}}}"
2,5,2021-10-27 10:12:33.4642419,823,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Admin,2992,3944,fs03vuln.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID316,300,301,316,823,848-Mimispool printer server instal.evtx",0x8000000000020000,0,"{""UserData"":{""ChangingDefaultPrinter"":{""DefaultPrinterSelectedBySpooler"":""1"",""OldDefaultPrinter"":""-"",""NewDefaultPrinter"":""Microsoft XPS Document Writer (redirected 2),winspool,TS002"",""Status"":""0x7A"",""Module"":""winspool.drv""}}}"
3,6,2021-10-27 10:12:47.3235757,823,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Admin,2552,2760,fs03vuln.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID316,300,301,316,823,848-Mimispool printer server instal.evtx",0x8000000000020000,0,"{""UserData"":{""ChangingDefaultPrinter"":{""DefaultPrinterSelectedBySpooler"":""1"",""OldDefaultPrinter"":""-"",""NewDefaultPrinter"":""Kiwi Legit Printer"",""Status"":""0x0"",""Module"":""spoolsv.exe""}}}"
4,150,2021-10-27 10:14:21.3699768,302,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,2552,4028,fs03vuln.offsec.lan,0,S-1-5-18,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID316,300,301,316,823,848-Mimispool printer server instal.evtx",0x4000000000000820,0,"{""UserData"":{""PrinterDeletionPending"":{""Param1"":""Kiwi Legit Printer""}}}"
5,151,2021-10-27 10:14:21.3699768,849,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,2552,4028,fs03vuln.offsec.lan,0,S-1-5-18,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID316,300,301,316,823,848-Mimispool printer server instal.evtx",0x4000000000000020,0,"{""UserData"":{""PrinterSharing"":{""PrinterName"":""Kiwi Legit Printer"",""ShareName"":""Kiwi Legit Printer""}}}"
6,152,2021-10-27 10:14:21.3699768,301,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,2552,4028,fs03vuln.offsec.lan,0,S-1-5-18,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID316,300,301,316,823,848-Mimispool printer server instal.evtx",0x4000000000000820,0,"{""UserData"":{""PrinterDeleted"":{""Param1"":""Kiwi Legit Printer""}}}"
7,153,2021-10-27 10:14:27.3099495,316,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,2552,4028,fs03vuln.offsec.lan,0,S-1-5-18,Adding a printer driver,,,PrinterDriver: Generic / Text Only,OperatingSystem: Windows x64 Version-3,,,,,"UNIDRV.DLL, UNIDRVUI.DLL, TTY.GPD, UNIDRV.HLP, TTYRES.DLL, TTY.INI, TTY.DLL, TTYUI.DLL, TTYUI.HLP, UNIRES.DLL, STDNAMES.GPD, STDDTYPE.GDL, STDSCHEM.GDL, STDSCHMX.GDL",False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID316,300,301,316,823,848-Mimispool printer server instal.evtx",0x4000000000000900,0,"{""UserData"":{""DriverAdded"":{""Param1"":""Generic / Text Only"",""Param2"":""Windows x64"",""Param3"":""Version-3"",""Param4"":""UNIDRV.DLL, UNIDRVUI.DLL, TTY.GPD, UNIDRV.HLP, TTYRES.DLL, TTY.INI, TTY.DLL, TTYUI.DLL, TTYUI.HLP, UNIRES.DLL, STDNAMES.GPD, STDDTYPE.GDL, STDSCHEM.GDL, STDSCHMX.GDL""}}}"
8,7,2021-10-27 10:14:27.4036996,823,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Admin,2552,4028,fs03vuln.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID316,300,301,316,823,848-Mimispool printer server instal.evtx",0x8000000000020000,0,"{""UserData"":{""ChangingDefaultPrinter"":{""DefaultPrinterSelectedBySpooler"":""1"",""OldDefaultPrinter"":"""",""NewDefaultPrinter"":""Kiwi Legit Printer,winspool,FILE:"",""Status"":""0x0"",""Module"":""spoolsv.exe""}}}"
9,154,2021-10-27 10:14:27.4662005,848,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,2552,4028,fs03vuln.offsec.lan,0,S-1-5-18,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID316,300,301,316,823,848-Mimispool printer server instal.evtx",0x4000000000000020,0,"{""UserData"":{""PrinterSharing"":{""PrinterName"":""Kiwi Legit Printer"",""ShareName"":""Kiwi Legit Printer""}}}"
10,8,2021-10-27 10:14:27.5599502,823,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Admin,2552,4028,fs03vuln.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID316,300,301,316,823,848-Mimispool printer server instal.evtx",0x8000000000020000,0,"{""UserData"":{""ChangingDefaultPrinter"":{""DefaultPrinterSelectedBySpooler"":""1"",""OldDefaultPrinter"":""-"",""NewDefaultPrinter"":""Kiwi Legit Printer"",""Status"":""0x0"",""Module"":""spoolsv.exe""}}}"
