RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2021-10-27 10:28:26.1510830,316,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,1048,3836,FS03.offsec.lan,0,S-1-5-18,Adding a printer driver,,,PrinterDriver: Generic / Text Only,OperatingSystem: Windows x64 Version-3,,,,,"UNIDRV.DLL, UNIDRVUI.DLL, TTY.GPD, UNIDRV.HLP, TTYRES.DLL, TTY.INI, TTY.DLL, TTYUI.DLL, TTYUI.HLP, UNIRES.DLL, STDNAMES.GPD, STDDTYPE.GDL, STDSCHEM.GDL, STDSCHMX.GDL",False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x4000000000000900,0,"{""UserData"":{""DriverAdded"":{""Param1"":""Generic / Text Only"",""Param2"":""Windows x64"",""Param3"":""Version-3"",""Param4"":""UNIDRV.DLL, UNIDRVUI.DLL, TTY.GPD, UNIDRV.HLP, TTYRES.DLL, TTY.INI, TTY.DLL, TTYUI.DLL, TTYUI.HLP, UNIRES.DLL, STDNAMES.GPD, STDDTYPE.GDL, STDSCHEM.GDL, STDSCHMX.GDL""}}}"
2,2,2021-10-27 10:28:26.2292129,300,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,1048,3836,FS03.offsec.lan,0,S-1-5-18,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x4000000000000820,0,"{""UserData"":{""PrinterCreated"":{""Param1"":""{BABBC1A0-F75A-44B0-92BC-57E20CEDA1D8}""}}}"
3,3,2021-10-27 10:28:26.2292129,304,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,1048,3836,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x4000000000000820,0,"{""UserData"":{""PrinterUnPaused"":{""Param1"":""{BABBC1A0-F75A-44B0-92BC-57E20CEDA1D8}""}}}"
4,4,2021-10-27 10:28:26.2292129,306,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,1048,3836,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x4000000000000820,0,"{""UserData"":{""PrinterSet"":{""Param1"":""{BABBC1A0-F75A-44B0-92BC-57E20CEDA1D8}""}}}"
5,5,2021-10-27 10:28:26.2448345,306,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,1048,3836,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x4000000000000820,0,"{""UserData"":{""PrinterSet"":{""Param1"":""{BABBC1A0-F75A-44B0-92BC-57E20CEDA1D8}""}}}"
6,10,2021-10-27 10:28:26.2604608,354,Error,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Admin,1048,3836,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x8000000000000800,0,"{""UserData"":{""InitFailed"":{""Param1"":""\\\\fs03vuln\\Kiwi Legit Printer"",""Param2"":""\\\\fs03vuln\\print$\\W32X86\\3\\mimispool.dll"",""Param3"":""2. The system cannot find the file specified., ""}}}"
7,6,2021-10-27 10:28:26.2604608,306,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,1048,3836,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x4000000000000820,0,"{""UserData"":{""PrinterSet"":{""Param1"":""{BABBC1A0-F75A-44B0-92BC-57E20CEDA1D8}""}}}"
8,11,2021-10-27 10:28:26.3073368,823,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Admin,1048,3836,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x8000000000020000,0,"{""UserData"":{""ChangingDefaultPrinter"":{""DefaultPrinterSelectedBySpooler"":""1"",""OldDefaultPrinter"":""-"",""NewDefaultPrinter"":""\\\\fs03vuln\\Kiwi Legit Printer"",""Status"":""0x0"",""Module"":""spoolsv.exe""}}}"
9,12,2021-10-27 10:28:26.3229603,808,Error,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Admin,1656,1572,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x8000000000020000,0,"{""UserData"":{""LoadPluginFailed"":{""PluginDllName"":""C:\\Windows\\system32\\spool\\DRIVERS\\x64\\3mimispool.dll"",""ErrorCode"":""0x7E"",""Context"":""110""}}}"
10,13,2021-10-27 10:28:26.4167141,808,Error,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Admin,1656,1572,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x8000000000020000,0,"{""UserData"":{""LoadPluginFailed"":{""PluginDllName"":""C:\\Windows\\system32\\spool\\DRIVERS\\x64\\3mimispool.dll"",""ErrorCode"":""0x7E"",""Context"":""110""}}}"
11,7,2021-10-27 10:28:26.4323372,302,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,1048,2496,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x4000000000000820,0,"{""UserData"":{""PrinterDeletionPending"":{""Param1"":""{BABBC1A0-F75A-44B0-92BC-57E20CEDA1D8}""}}}"
12,8,2021-10-27 10:28:26.4635878,302,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,1048,2496,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x4000000000000820,0,"{""UserData"":{""PrinterDeletionPending"":{""Param1"":""{BABBC1A0-F75A-44B0-92BC-57E20CEDA1D8},1""}}}"
13,9,2021-10-27 10:28:26.4635878,301,Info,Microsoft-Windows-PrintService,Microsoft-Windows-PrintService/Operational,1048,2496,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID354-808-Mimispool printer installation (PrintNightmare).evtx,0x4000000000000820,0,"{""UserData"":{""PrinterDeleted"":{""Param1"":""{BABBC1A0-F75A-44B0-92BC-57E20CEDA1D8}""}}}"
