RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,293884,2021-11-03 08:34:27.9783762,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1368,FS03.offsec.lan,0,,A new process has been created,OFFSEC\FS03$,,"Parent process: ",PID: 0xEF4,Parent PID: 0x1E4,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\cmd.exe c:\windows\system32\cmd.exe /c powershell -command ""Get-Service ""seg1"" | select -Expand DisplayName |out-file -append tmp_payload.txt""",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1027-Obfuscated Files or Information\ID4688-Obfuscated payload transfer via service name - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xEF4""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x1E4""},{""@Name"":""CommandLine"",""#text"":""c:\\windows\\system32\\cmd.exe /c powershell -command \""Get-Service \""seg1\"" | select -Expand DisplayName |out-file -append tmp_payload.txt\""""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
2,293885,2021-11-03 08:34:27.9939874,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1368,FS03.offsec.lan,0,,A new process has been created,OFFSEC\FS03$,,"Parent process: ",PID: 0xC10,Parent PID: 0xEF4,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe powershell  -command ""Get-Service ""seg1"" | select -Expand DisplayName |out-file -append tmp_payload.txt""",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1027-Obfuscated Files or Information\ID4688-Obfuscated payload transfer via service name - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xC10""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0xEF4""},{""@Name"":""CommandLine"",""#text"":""powershell  -command \""Get-Service \""seg1\"" | select -Expand DisplayName |out-file -append tmp_payload.txt\""""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
3,293886,2021-11-03 08:34:27.9939874,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1368,FS03.offsec.lan,0,,A new process has been created,OFFSEC\FS03$,,"Parent process: ",PID: 0xD14,Parent PID: 0xC10,"Mandatory label: ",Target User: -\-,,C:\Windows\System32\conhost.exe \??\C:\Windows\system32\conhost.exe 0xffffffff,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1027-Obfuscated Files or Information\ID4688-Obfuscated payload transfer via service name - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xD14""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0xC10""},{""@Name"":""CommandLine"",""#text"":""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
4,293907,2021-11-03 08:34:29.4471136,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1452,FS03.offsec.lan,0,,A new process has been created,OFFSEC\FS03$,,"Parent process: ",PID: 0x9D0,Parent PID: 0x1E4,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\cmd.exe c:\windows\system32\cmd.exe /c powershell -command ""Get-Service ""seg2"" | select -Expand DisplayName |out-file -append tmp_payload.txt""",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1027-Obfuscated Files or Information\ID4688-Obfuscated payload transfer via service name - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x9D0""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x1E4""},{""@Name"":""CommandLine"",""#text"":""c:\\windows\\system32\\cmd.exe /c powershell -command \""Get-Service \""seg2\"" | select -Expand DisplayName |out-file -append tmp_payload.txt\""""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
5,293908,2021-11-03 08:34:29.4471136,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1452,FS03.offsec.lan,0,,A new process has been created,OFFSEC\FS03$,,"Parent process: ",PID: 0xAB8,Parent PID: 0x9D0,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe powershell  -command ""Get-Service ""seg2"" | select -Expand DisplayName |out-file -append tmp_payload.txt""",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1027-Obfuscated Files or Information\ID4688-Obfuscated payload transfer via service name - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xAB8""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x9D0""},{""@Name"":""CommandLine"",""#text"":""powershell  -command \""Get-Service \""seg2\"" | select -Expand DisplayName |out-file -append tmp_payload.txt\""""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
6,293909,2021-11-03 08:34:29.4471136,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1452,FS03.offsec.lan,0,,A new process has been created,OFFSEC\FS03$,,"Parent process: ",PID: 0x218,Parent PID: 0xAB8,"Mandatory label: ",Target User: -\-,,C:\Windows\System32\conhost.exe \??\C:\Windows\system32\conhost.exe 0xffffffff,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1027-Obfuscated Files or Information\ID4688-Obfuscated payload transfer via service name - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x218""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0xAB8""},{""@Name"":""CommandLine"",""#text"":""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
7,293927,2021-11-03 08:34:30.8887246,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2880,FS03.offsec.lan,0,,A new process has been created,OFFSEC\FS03$,,"Parent process: ",PID: 0x7C0,Parent PID: 0x1E4,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\cmd.exe c:\windows\system32\cmd.exe /c powershell -command ""Get-Service ""seg3"" | select -Expand DisplayName |out-file -append tmp_payload.txt""",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1027-Obfuscated Files or Information\ID4688-Obfuscated payload transfer via service name - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x7C0""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x1E4""},{""@Name"":""CommandLine"",""#text"":""c:\\windows\\system32\\cmd.exe /c powershell -command \""Get-Service \""seg3\"" | select -Expand DisplayName |out-file -append tmp_payload.txt\""""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
8,293928,2021-11-03 08:34:30.8887246,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2880,FS03.offsec.lan,0,,A new process has been created,OFFSEC\FS03$,,"Parent process: ",PID: 0xEBC,Parent PID: 0x7C0,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe powershell  -command ""Get-Service ""seg3"" | select -Expand DisplayName |out-file -append tmp_payload.txt""",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1027-Obfuscated Files or Information\ID4688-Obfuscated payload transfer via service name - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xEBC""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x7C0""},{""@Name"":""CommandLine"",""#text"":""powershell  -command \""Get-Service \""seg3\"" | select -Expand DisplayName |out-file -append tmp_payload.txt\""""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
9,293929,2021-11-03 08:34:30.8887246,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2880,FS03.offsec.lan,0,,A new process has been created,OFFSEC\FS03$,,"Parent process: ",PID: 0xE7C,Parent PID: 0xEBC,"Mandatory label: ",Target User: -\-,,C:\Windows\System32\conhost.exe \??\C:\Windows\system32\conhost.exe 0xffffffff,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1027-Obfuscated Files or Information\ID4688-Obfuscated payload transfer via service name - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xE7C""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0xEBC""},{""@Name"":""CommandLine"",""#text"":""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
10,293947,2021-11-03 08:34:32.3395231,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3396,FS03.offsec.lan,0,,A new process has been created,OFFSEC\FS03$,,"Parent process: ",PID: 0x874,Parent PID: 0x1E4,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\cmd.exe c:\windows\system32\cmd.exe /c powershell -command ""Get-Service ""seg4"" | select -Expand DisplayName |out-file -append tmp_payload.txt""",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1027-Obfuscated Files or Information\ID4688-Obfuscated payload transfer via service name - Tchopper.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS03$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x874""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x1E4""},{""@Name"":""CommandLine"",""#text"":""c:\\windows\\system32\\cmd.exe /c powershell -command \""Get-Service \""seg4\"" | select -Expand DisplayName |out-file -append tmp_payload.txt\""""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
