RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,5073,2021-10-25 18:04:30.3344711,104,Info,Microsoft-Windows-Eventlog,System,712,1912,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Event log cleared,OFFSEC\admmig,,The System log file was cleared,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID104-1102-Event log cleared.evtx,Classic,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""Channel"":""System"",""BackupPath"":""""}}}"
2,109054,2021-10-25 18:09:51.8756570,1102,Info,Microsoft-Windows-Eventlog,Security,712,748,FS03.offsec.lan,0,,Event log cleared,OFFSEC\admmig,,SID: (S-1-5-21-4230534742-2542757381-3142984815-1111),,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID104-1102-Event log cleared.evtx,0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-21-4230534742-2542757381-3142984815-1111"",""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""SubjectLogonId"":""0x123550""}}}"
3,5074,2021-10-25 18:11:09.0020102,104,Info,Microsoft-Windows-Eventlog,System,712,1912,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Event log cleared,OFFSEC\admmig,,The Application log file was cleared,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID104-1102-Event log cleared.evtx,Classic,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""Channel"":""Application"",""BackupPath"":""""}}}"
4,5075,2021-10-25 18:11:09.0801299,104,Info,Microsoft-Windows-Eventlog,System,712,1692,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Event log cleared,OFFSEC\admmig,,The ForwardedEvents log file was cleared,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID104-1102-Event log cleared.evtx,Classic,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""Channel"":""ForwardedEvents"",""BackupPath"":""""}}}"
5,5076,2021-10-25 18:11:09.0957560,104,Info,Microsoft-Windows-Eventlog,System,712,1692,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Event log cleared,OFFSEC\admmig,,The HardwareEvents log file was cleared,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID104-1102-Event log cleared.evtx,Classic,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""Channel"":""HardwareEvents"",""BackupPath"":""""}}}"
6,5077,2021-10-25 18:11:09.1270070,104,Info,Microsoft-Windows-Eventlog,System,712,1692,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Event log cleared,OFFSEC\admmig,,The Internet Explorer log file was cleared,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID104-1102-Event log cleared.evtx,Classic,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""Channel"":""Internet Explorer"",""BackupPath"":""""}}}"
7,5078,2021-10-25 18:11:09.1426322,104,Info,Microsoft-Windows-Eventlog,System,712,1692,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Event log cleared,OFFSEC\admmig,,The Key Management Service log file was cleared,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID104-1102-Event log cleared.evtx,Classic,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""Channel"":""Key Management Service"",""BackupPath"":""""}}}"
8,5079,2021-10-25 18:11:09.2150168,104,Info,Microsoft-Windows-Eventlog,System,712,1912,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Event log cleared,OFFSEC\admmig,,The Microsoft-Management-UI/Admin log file was cleared,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID104-1102-Event log cleared.evtx,Classic,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""Channel"":""Microsoft-Management-UI/Admin"",""BackupPath"":""""}}}"
9,5080,2021-10-25 18:11:09.2931379,104,Info,Microsoft-Windows-Eventlog,System,712,1912,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Event log cleared,OFFSEC\admmig,,The Microsoft-Rdms-UI/Admin log file was cleared,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID104-1102-Event log cleared.evtx,Classic,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""Channel"":""Microsoft-Rdms-UI/Admin"",""BackupPath"":""""}}}"
10,5081,2021-10-25 18:11:09.3400187,104,Info,Microsoft-Windows-Eventlog,System,712,1912,FS03.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Event log cleared,OFFSEC\admmig,,The Microsoft-Rdms-UI/Operational log file was cleared,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID104-1102-Event log cleared.evtx,Classic,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""Channel"":""Microsoft-Rdms-UI/Operational"",""BackupPath"":""""}}}"
