RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1145216,2020-07-09 19:07:25.6591372,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1520,fs02.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0xA04,Parent PID: 0x8C,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\wevtutil.exe ""C:\Windows\system32\wevtutil.exe""  cl RTWorkQueueTheading",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID4688-Clear event log attempt (native).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1CAF291""},{""@Name"":""NewProcessId"",""#text"":""0xA04""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\wevtutil.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x8C""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\wevtutil.exe\""  cl RTWorkQueueTheading""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
2,1145217,2020-07-09 19:07:25.6747633,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1520,fs02.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0x494,Parent PID: 0xA04,"Mandatory label: ",Target User: -\-,,C:\Windows\System32\conhost.exe \??\C:\Windows\system32\conhost.exe 0xffffffff,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID4688-Clear event log attempt (native).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1CAF291""},{""@Name"":""NewProcessId"",""#text"":""0x494""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0xA04""},{""@Name"":""CommandLine"",""#text"":""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
3,1145219,2020-07-09 19:07:25.7060146,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1520,fs02.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0xB1C,Parent PID: 0x8C,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\wevtutil.exe ""C:\Windows\system32\wevtutil.exe""  cl Security",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID4688-Clear event log attempt (native).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1CAF291""},{""@Name"":""NewProcessId"",""#text"":""0xB1C""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\wevtutil.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x8C""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\wevtutil.exe\""  cl Security""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
4,1145220,2020-07-09 19:07:25.7060146,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1520,fs02.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0x684,Parent PID: 0xB1C,"Mandatory label: ",Target User: -\-,,C:\Windows\System32\conhost.exe \??\C:\Windows\system32\conhost.exe 0xffffffff,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID4688-Clear event log attempt (native).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1CAF291""},{""@Name"":""NewProcessId"",""#text"":""0x684""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0xB1C""},{""@Name"":""CommandLine"",""#text"":""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
5,1145222,2020-07-09 19:07:25.7372663,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1520,fs02.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0x6E8,Parent PID: 0x8C,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\wevtutil.exe ""C:\Windows\system32\wevtutil.exe""  cl Setup",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID4688-Clear event log attempt (native).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1CAF291""},{""@Name"":""NewProcessId"",""#text"":""0x6E8""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\wevtutil.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x8C""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\wevtutil.exe\""  cl Setup""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
6,1145223,2020-07-09 19:07:25.7372663,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1520,fs02.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0x108,Parent PID: 0x6E8,"Mandatory label: ",Target User: -\-,,C:\Windows\System32\conhost.exe \??\C:\Windows\system32\conhost.exe 0xffffffff,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID4688-Clear event log attempt (native).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1CAF291""},{""@Name"":""NewProcessId"",""#text"":""0x108""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x6E8""},{""@Name"":""CommandLine"",""#text"":""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
7,1145225,2020-07-09 19:07:25.7841493,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1520,fs02.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0x6C4,Parent PID: 0x8C,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\wevtutil.exe ""C:\Windows\system32\wevtutil.exe""  cl SmbWmiAnalytic",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID4688-Clear event log attempt (native).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1CAF291""},{""@Name"":""NewProcessId"",""#text"":""0x6C4""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\wevtutil.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x8C""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\wevtutil.exe\""  cl SmbWmiAnalytic""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
8,1145226,2020-07-09 19:07:25.7997670,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1520,fs02.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0x658,Parent PID: 0x6C4,"Mandatory label: ",Target User: -\-,,C:\Windows\System32\conhost.exe \??\C:\Windows\system32\conhost.exe 0xffffffff,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID4688-Clear event log attempt (native).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1CAF291""},{""@Name"":""NewProcessId"",""#text"":""0x658""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x6C4""},{""@Name"":""CommandLine"",""#text"":""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
9,1145228,2020-07-09 19:07:25.8310174,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1520,fs02.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0x978,Parent PID: 0x8C,"Mandatory label: ",Target User: -\-,,"C:\Windows\System32\wevtutil.exe ""C:\Windows\system32\wevtutil.exe""  cl System",False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID4688-Clear event log attempt (native).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1CAF291""},{""@Name"":""NewProcessId"",""#text"":""0x978""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\wevtutil.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x8C""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\system32\\wevtutil.exe\""  cl System""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
10,1145229,2020-07-09 19:07:25.8310174,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1520,fs02.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,"Parent process: ",PID: 0x900,Parent PID: 0x978,"Mandatory label: ",Target User: -\-,,C:\Windows\System32\conhost.exe \??\C:\Windows\system32\conhost.exe 0xffffffff,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1070.001-Clear Windows event logs\ID4688-Clear event log attempt (native).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1CAF291""},{""@Name"":""NewProcessId"",""#text"":""0x900""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x978""},{""@Name"":""CommandLine"",""#text"":""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""}]}}"
