RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,825497,2021-12-09 18:50:47.9805604,1102,Info,Microsoft-Windows-Eventlog,Security,728,692,FS03.offsec.lan,0,,Event log cleared,OFFSEC\admmig,,SID: (S-1-5-21-4230534742-2542757381-3142984815-1111),,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1112-Modify registry\ID4624,4670,4688,4674-Registry permission change via WMI (DAMP).evtx",0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-21-4230534742-2542757381-3142984815-1111"",""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""SubjectLogonId"":""0x29EF899""}}}"
2,825498,2021-12-09 18:50:55.3336803,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,508,2964,FS03.offsec.lan,0,,Administrative logon,OFFSEC\hack1 (S-1-5-21-4230534742-2542757381-3142984815-1234),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege",LogonId: 0x2A2D4D5,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1112-Modify registry\ID4624,4670,4688,4674-Registry permission change via WMI (DAMP).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1234""},{""@Name"":""SubjectUserName"",""#text"":""hack1""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2A2D4D5""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege""}]}}"
3,825499,2021-12-09 18:50:55.3493540,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,508,2964,FS03.offsec.lan,0,,Successful logon,-\-,- (10.23.42.38),Target: OFFSEC\hack1,LogonType 3,LogonId: 0x2A2D4D5,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1112-Modify registry\ID4624,4670,4688,4674-Registry permission change via WMI (DAMP).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1234""},{""@Name"":""TargetUserName"",""#text"":""hack1""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x2A2D4D5""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""d47b01a7-9697-93b9-9eca-7a82720a50fa""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.42.38""},{""@Name"":""IpPort"",""#text"":""54421""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""}]}}"
4,825500,2021-12-09 18:50:55.3493540,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,508,2964,FS03.offsec.lan,0,,Administrative logon,OFFSEC\hack1 (S-1-5-21-4230534742-2542757381-3142984815-1234),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege",LogonId: 0x2A2D4ED,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1112-Modify registry\ID4624,4670,4688,4674-Registry permission change via WMI (DAMP).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1234""},{""@Name"":""SubjectUserName"",""#text"":""hack1""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2A2D4ED""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege""}]}}"
5,825501,2021-12-09 18:50:55.3493540,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,508,2964,FS03.offsec.lan,0,,Successful logon,-\-,- (10.23.42.38),Target: OFFSEC\hack1,LogonType 3,LogonId: 0x2A2D4ED,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1112-Modify registry\ID4624,4670,4688,4674-Registry permission change via WMI (DAMP).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1234""},{""@Name"":""TargetUserName"",""#text"":""hack1""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x2A2D4ED""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""d47b01a7-9697-93b9-9eca-7a82720a50fa""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.42.38""},{""@Name"":""IpPort"",""#text"":""54423""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1832""}]}}"
6,825502,2021-12-09 18:50:55.3493540,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,508,2964,FS03.offsec.lan,0,,Administrative logon,OFFSEC\hack1 (S-1-5-21-4230534742-2542757381-3142984815-1234),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege",LogonId: 0x2A2D4FE,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1112-Modify registry\ID4624,4670,4688,4674-Registry permission change via WMI (DAMP).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1234""},{""@Name"":""SubjectUserName"",""#text"":""hack1""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2A2D4FE""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege""}]}}"
7,825503,2021-12-09 18:50:55.3493540,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,508,2964,FS03.offsec.lan,0,,Successful logon,-\-,- (10.23.42.38),Target: OFFSEC\hack1,LogonType 3,LogonId: 0x2A2D4FE,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1112-Modify registry\ID4624,4670,4688,4674-Registry permission change via WMI (DAMP).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1234""},{""@Name"":""TargetUserName"",""#text"":""hack1""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x2A2D4FE""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""d47b01a7-9697-93b9-9eca-7a82720a50fa""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.42.38""},{""@Name"":""IpPort"",""#text"":""54423""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""}]}}"
8,825504,2021-12-09 18:50:55.3493540,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,508,2964,FS03.offsec.lan,0,,Administrative logon,OFFSEC\hack1 (S-1-5-21-4230534742-2542757381-3142984815-1234),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege",LogonId: 0x2A2D51F,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1112-Modify registry\ID4624,4670,4688,4674-Registry permission change via WMI (DAMP).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1234""},{""@Name"":""SubjectUserName"",""#text"":""hack1""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2A2D51F""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege""}]}}"
9,825505,2021-12-09 18:50:55.3493540,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,508,2964,FS03.offsec.lan,0,,Successful logon,-\-,- (10.23.42.38),Target: OFFSEC\hack1,LogonType 3,LogonId: 0x2A2D51F,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1112-Modify registry\ID4624,4670,4688,4674-Registry permission change via WMI (DAMP).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1234""},{""@Name"":""TargetUserName"",""#text"":""hack1""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x2A2D51F""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""d47b01a7-9697-93b9-9eca-7a82720a50fa""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.42.38""},{""@Name"":""IpPort"",""#text"":""54424""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1832""}]}}"
10,825506,2021-12-09 18:50:55.3493540,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,508,2964,FS03.offsec.lan,0,,Administrative logon,OFFSEC\hack1 (S-1-5-21-4230534742-2542757381-3142984815-1234),,"PrivilegeList: SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege",LogonId: 0x2A2D532,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1112-Modify registry\ID4624,4670,4688,4674-Registry permission change via WMI (DAMP).evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1234""},{""@Name"":""SubjectUserName"",""#text"":""hack1""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x2A2D532""},{""@Name"":""PrivilegeList"",""#text"":""SeSecurityPrivilege, SeBackupPrivilege, SeRestorePrivilege, SeTakeOwnershipPrivilege, SeDebugPrivilege, SeSystemEnvironmentPrivilege, SeLoadDriverPrivilege, SeImpersonatePrivilege""}]}}"
