RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,125592801,2021-03-26 20:41:38.7711238,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,560,608,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{f780acc0-56f0-11d1-a9c6-0000f80367c1},ObjectName: %{665d6fdb-b06f-4d36-9da5-9b8dbaafeb2a},"AccessList: Unknown code (%%7680, )",AccessMask: Unknown code (0x1),,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1207-Rogue domain controller\ID4662-Sensitive attributes accessed (DCshadow).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x882D87""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{f780acc0-56f0-11d1-a9c6-0000f80367c1}""},{""@Name"":""ObjectName"",""#text"":""%{665d6fdb-b06f-4d36-9da5-9b8dbaafeb2a}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7680, ""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""Properties"",""#text"":""%%7680, {bf967a92-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""CN=JUMP01,CN=Servers,CN=OFFSEC-PREMISE,CN=Sites,CN=Configuration,DC=offsec,DC=lan""},{""@Name"":""AdditionalInfo2"",""#text"":""%{2cb2fa54-a21a-4e2f-b7af-a82a56d9d690}""}]}}"
2,125592807,2021-03-26 20:41:38.9888980,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,560,608,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{19195a5b-6da0-11d0-afd3-00c04fd930c9},ObjectName: %{0b32719a-29a5-4ad5-b9dc-56200eba0ce0},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1207-Rogue domain controller\ID4662-Sensitive attributes accessed (DCshadow).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x882E4A""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{19195a5b-6da0-11d0-afd3-00c04fd930c9}""},{""@Name"":""ObjectName"",""#text"":""%{0b32719a-29a5-4ad5-b9dc-56200eba0ce0}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {9923a32a-3607-11d2-b9be-0000f87a36b2}, {19195a5b-6da0-11d0-afd3-00c04fd930c9}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
3,125592809,2021-03-26 20:41:39.0169040,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,560,3376,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{19195a5b-6da0-11d0-afd3-00c04fd930c9},ObjectName: %{0b32719a-29a5-4ad5-b9dc-56200eba0ce0},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1207-Rogue domain controller\ID4662-Sensitive attributes accessed (DCshadow).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x882E4A""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{19195a5b-6da0-11d0-afd3-00c04fd930c9}""},{""@Name"":""ObjectName"",""#text"":""%{0b32719a-29a5-4ad5-b9dc-56200eba0ce0}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {1131f6ac-9c07-11d1-f79f-00c04fc2dcd2}, {19195a5b-6da0-11d0-afd3-00c04fd930c9}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
4,125592907,2021-03-26 20:42:21.0970922,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,560,2248,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{19195a5b-6da0-11d0-afd3-00c04fd930c9},ObjectName: %{0b32719a-29a5-4ad5-b9dc-56200eba0ce0},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1207-Rogue domain controller\ID4662-Sensitive attributes accessed (DCshadow).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x882E4A""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{19195a5b-6da0-11d0-afd3-00c04fd930c9}""},{""@Name"":""ObjectName"",""#text"":""%{0b32719a-29a5-4ad5-b9dc-56200eba0ce0}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {1131f6ac-9c07-11d1-f79f-00c04fc2dcd2}, {19195a5b-6da0-11d0-afd3-00c04fd930c9}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
5,125592909,2021-03-26 20:42:21.1038668,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,560,2248,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{f0f8ffab-1191-11d0-a060-00aa006c33ed},ObjectName: %{097b2e16-f2c3-44ef-b300-ec7e11e2a9f2},"AccessList: Unknown code (%%1537, )",AccessMask: Unknown code (0x10000),,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1207-Rogue domain controller\ID4662-Sensitive attributes accessed (DCshadow).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x882D87""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{f0f8ffab-1191-11d0-a060-00aa006c33ed}""},{""@Name"":""ObjectName"",""#text"":""%{097b2e16-f2c3-44ef-b300-ec7e11e2a9f2}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%1537, ""},{""@Name"":""AccessMask"",""#text"":""0x10000""},{""@Name"":""Properties"",""#text"":""%%1537, {f0f8ffab-1191-11d0-a060-00aa006c33ed}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
6,125592910,2021-03-26 20:42:21.1320941,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,560,3376,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\admmig,,ObjectServer: DS,ObjectType: %{bf967a92-0de6-11d0-a285-00aa003049e2},ObjectName: %{2cb2fa54-a21a-4e2f-b7af-a82a56d9d690},"AccessList: Unknown code (%%1537, )",AccessMask: Unknown code (0x10000),,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1207-Rogue domain controller\ID4662-Sensitive attributes accessed (DCshadow).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x882D87""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a92-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{2cb2fa54-a21a-4e2f-b7af-a82a56d9d690}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%1537, ""},{""@Name"":""AccessMask"",""#text"":""0x10000""},{""@Name"":""Properties"",""#text"":""%%1537, {bf967a92-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
7,125592984,2021-03-26 20:42:48.2193068,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,560,652,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\ROOTDC1$,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{832b1c45-2f6e-4c82-be40-d461e377f560},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1207-Rogue domain controller\ID4662-Sensitive attributes accessed (DCshadow).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ROOTDC1$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x88659C""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{832b1c45-2f6e-4c82-be40-d461e377f560}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {bf967a86-0de6-11d0-a285-00aa003049e2}, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {aa4e1a6d-550d-4e05-8c35-4afcb917a9fe}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
8,125592988,2021-03-26 20:42:48.2313099,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,560,3376,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\ROOTDC1$,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{832b1c45-2f6e-4c82-be40-d461e377f560},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1207-Rogue domain controller\ID4662-Sensitive attributes accessed (DCshadow).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ROOTDC1$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x886718""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{832b1c45-2f6e-4c82-be40-d461e377f560}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {bf967a86-0de6-11d0-a285-00aa003049e2}, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {aa4e1a6d-550d-4e05-8c35-4afcb917a9fe}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
9,125593032,2021-03-26 20:42:48.6898665,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,560,3376,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\ROOTDC1$,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{832b1c45-2f6e-4c82-be40-d461e377f560},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1207-Rogue domain controller\ID4662-Sensitive attributes accessed (DCshadow).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ROOTDC1$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x88793F""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{832b1c45-2f6e-4c82-be40-d461e377f560}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {bf967a86-0de6-11d0-a285-00aa003049e2}, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {aa4e1a6d-550d-4e05-8c35-4afcb917a9fe}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
10,125593036,2021-03-26 20:42:48.7015873,4662,LogAlways,Microsoft-Windows-Security-Auditing,Security,560,3376,rootdc1.offsec.lan,0,,Operation performed on an object,OFFSEC\ROOTDC1$,,ObjectServer: DS,ObjectType: %{bf967a86-0de6-11d0-a285-00aa003049e2},ObjectName: %{832b1c45-2f6e-4c82-be40-d461e377f560},"AccessList: Unknown code (%%7688, )",AccessMask: Unknown code (0x100),,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1207-Rogue domain controller\ID4662-Sensitive attributes accessed (DCshadow).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""ROOTDC1$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x887ABB""},{""@Name"":""ObjectServer"",""#text"":""DS""},{""@Name"":""ObjectType"",""#text"":""%{bf967a86-0de6-11d0-a285-00aa003049e2}""},{""@Name"":""ObjectName"",""#text"":""%{832b1c45-2f6e-4c82-be40-d461e377f560}""},{""@Name"":""OperationType"",""#text"":""Object Access""},{""@Name"":""HandleId"",""#text"":""0x0""},{""@Name"":""AccessList"",""#text"":""%%7688, ""},{""@Name"":""AccessMask"",""#text"":""0x100""},{""@Name"":""Properties"",""#text"":""%%7688, {bf967a86-0de6-11d0-a285-00aa003049e2}, {91e647de-d96f-4b70-9557-d63ff4f3ccd8}, {6617e4ac-a2f1-43ab-b60c-11fbd1facf05}, {b3f93023-9239-4f7c-b99c-6745d87adbc2}, {b8dfa744-31dc-4ef1-ac7c-84baf7ef9da7}, {b7ff5a38-0818-42b0-8110-d3d154c97f24}, {771727b1-31b8-4cdf-ae62-4fe39fadf89e}, {aa4e1a6d-550d-4e05-8c35-4afcb917a9fe}, {612cb747-c0e8-4f92-9221-fdd5f15b550d}, ""},{""@Name"":""AdditionalInfo"",""#text"":""-""},{""@Name"":""AdditionalInfo2""}]}}"
