RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,133,2022-04-29 08:58:21.4075398,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,8940,7716,WIN,0,S-1-5-18,RegistryEvent (Value Set),WIN\Admin,,"ProcessID: 4720, ProcessGUID: 668ea4ef-a6d3-626b-4601-000000001400","RuleName: technique_id=T1543,technique_name=Service Creation",Image: C:\Windows\system32\cmd.exe,EventType: SetValue,TargetObject: HKLM\System\CurrentControlSet\Services\bam\UserSettings\S-1-5-21-113448046-927799223-410490820-1001\\Device\HarddiskVolume4\Windows\System32\regsvr32.exe,Details: Binary Data,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1553- Subvert Trust Controls\ID12-13 SIP provider registration.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1543,technique_name=Service Creation""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2022-04-29 08:58:21.406""},{""@Name"":""ProcessGuid"",""#text"":""668ea4ef-a6d3-626b-4601-000000001400""},{""@Name"":""ProcessId"",""#text"":""4720""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\cmd.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\System\\CurrentControlSet\\Services\\bam\\UserSettings\\S-1-5-21-113448046-927799223-410490820-1001\\\\Device\\HarddiskVolume4\\Windows\\System32\\regsvr32.exe""},{""@Name"":""Details"",""#text"":""Binary Data""},{""@Name"":""User"",""#text"":""WIN\\Admin""}]}}"
2,135,2022-04-29 08:58:21.4327552,12,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,8940,7716,WIN,0,S-1-5-18,RegistryEvent (Object create and delete),WIN\Admin,,"ProcessID: 2760, ProcessGUID: 668ea4ef-a8ad-626b-9601-000000001400","RuleName: technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking",Image: C:\Windows\system32\regsvr32.exe,EventType: CreateKey,TargetObject: HKLM\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllPutSignedDataMsg\{E59B6E68-3312-4738-961F-DB9405B2DDCB},,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1553- Subvert Trust Controls\ID12-13 SIP provider registration.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking""},{""@Name"":""EventType"",""#text"":""CreateKey""},{""@Name"":""UtcTime"",""#text"":""2022-04-29 08:58:21.422""},{""@Name"":""ProcessGuid"",""#text"":""668ea4ef-a8ad-626b-9601-000000001400""},{""@Name"":""ProcessId"",""#text"":""2760""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\regsvr32.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Cryptography\\OID\\EncodingType 0\\CryptSIPDllPutSignedDataMsg\\{E59B6E68-3312-4738-961F-DB9405B2DDCB}""},{""@Name"":""User"",""#text"":""WIN\\Admin""}]}}"
3,136,2022-04-29 08:58:21.4328760,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,8940,7716,WIN,0,S-1-5-18,RegistryEvent (Value Set),WIN\Admin,,"ProcessID: 2760, ProcessGUID: 668ea4ef-a8ad-626b-9601-000000001400","RuleName: technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking",Image: C:\Windows\system32\regsvr32.exe,EventType: SetValue,TargetObject: HKLM\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllPutSignedDataMsg\{E59B6E68-3312-4738-961F-DB9405B2DDCB}\Dll,Details: C:\Users\Admin\source\repos\PoCSubjectInterfacePackage\x64\Debug\MySIP.dll,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1553- Subvert Trust Controls\ID12-13 SIP provider registration.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2022-04-29 08:58:21.422""},{""@Name"":""ProcessGuid"",""#text"":""668ea4ef-a8ad-626b-9601-000000001400""},{""@Name"":""ProcessId"",""#text"":""2760""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\regsvr32.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Cryptography\\OID\\EncodingType 0\\CryptSIPDllPutSignedDataMsg\\{E59B6E68-3312-4738-961F-DB9405B2DDCB}\\Dll""},{""@Name"":""Details"",""#text"":""C:\\Users\\Admin\\source\\repos\\PoCSubjectInterfacePackage\\x64\\Debug\\MySIP.dll""},{""@Name"":""User"",""#text"":""WIN\\Admin""}]}}"
4,137,2022-04-29 08:58:21.4329872,12,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,8940,7716,WIN,0,S-1-5-18,RegistryEvent (Object create and delete),WIN\Admin,,"ProcessID: 2760, ProcessGUID: 668ea4ef-a8ad-626b-9601-000000001400","RuleName: technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking",Image: C:\Windows\system32\regsvr32.exe,EventType: CreateKey,TargetObject: HKLM\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllPutSignedDataMsg\{E59B6E68-3312-4738-961F-DB9405B2DDCB},,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1553- Subvert Trust Controls\ID12-13 SIP provider registration.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking""},{""@Name"":""EventType"",""#text"":""CreateKey""},{""@Name"":""UtcTime"",""#text"":""2022-04-29 08:58:21.422""},{""@Name"":""ProcessGuid"",""#text"":""668ea4ef-a8ad-626b-9601-000000001400""},{""@Name"":""ProcessId"",""#text"":""2760""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\regsvr32.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Cryptography\\OID\\EncodingType 0\\CryptSIPDllPutSignedDataMsg\\{E59B6E68-3312-4738-961F-DB9405B2DDCB}""},{""@Name"":""User"",""#text"":""WIN\\Admin""}]}}"
5,138,2022-04-29 08:58:21.4330905,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,8940,7716,WIN,0,S-1-5-18,RegistryEvent (Value Set),WIN\Admin,,"ProcessID: 2760, ProcessGUID: 668ea4ef-a8ad-626b-9601-000000001400","RuleName: technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking",Image: C:\Windows\system32\regsvr32.exe,EventType: SetValue,TargetObject: HKLM\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllPutSignedDataMsg\{E59B6E68-3312-4738-961F-DB9405B2DDCB}\FuncName,Details: MyPutSignature,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1553- Subvert Trust Controls\ID12-13 SIP provider registration.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2022-04-29 08:58:21.422""},{""@Name"":""ProcessGuid"",""#text"":""668ea4ef-a8ad-626b-9601-000000001400""},{""@Name"":""ProcessId"",""#text"":""2760""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\regsvr32.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Cryptography\\OID\\EncodingType 0\\CryptSIPDllPutSignedDataMsg\\{E59B6E68-3312-4738-961F-DB9405B2DDCB}\\FuncName""},{""@Name"":""Details"",""#text"":""MyPutSignature""},{""@Name"":""User"",""#text"":""WIN\\Admin""}]}}"
6,139,2022-04-29 08:58:21.4331954,12,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,8940,7716,WIN,0,S-1-5-18,RegistryEvent (Object create and delete),WIN\Admin,,"ProcessID: 2760, ProcessGUID: 668ea4ef-a8ad-626b-9601-000000001400","RuleName: technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking",Image: C:\Windows\system32\regsvr32.exe,EventType: CreateKey,TargetObject: HKLM\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{E59B6E68-3312-4738-961F-DB9405B2DDCB},,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1553- Subvert Trust Controls\ID12-13 SIP provider registration.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking""},{""@Name"":""EventType"",""#text"":""CreateKey""},{""@Name"":""UtcTime"",""#text"":""2022-04-29 08:58:21.422""},{""@Name"":""ProcessGuid"",""#text"":""668ea4ef-a8ad-626b-9601-000000001400""},{""@Name"":""ProcessId"",""#text"":""2760""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\regsvr32.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Cryptography\\OID\\EncodingType 0\\CryptSIPDllGetSignedDataMsg\\{E59B6E68-3312-4738-961F-DB9405B2DDCB}""},{""@Name"":""User"",""#text"":""WIN\\Admin""}]}}"
7,140,2022-04-29 08:58:21.4333021,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,8940,7716,WIN,0,S-1-5-18,RegistryEvent (Value Set),WIN\Admin,,"ProcessID: 2760, ProcessGUID: 668ea4ef-a8ad-626b-9601-000000001400","RuleName: technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking",Image: C:\Windows\system32\regsvr32.exe,EventType: SetValue,TargetObject: HKLM\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{E59B6E68-3312-4738-961F-DB9405B2DDCB}\Dll,Details: C:\Users\Admin\source\repos\PoCSubjectInterfacePackage\x64\Debug\MySIP.dll,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1553- Subvert Trust Controls\ID12-13 SIP provider registration.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2022-04-29 08:58:21.422""},{""@Name"":""ProcessGuid"",""#text"":""668ea4ef-a8ad-626b-9601-000000001400""},{""@Name"":""ProcessId"",""#text"":""2760""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\regsvr32.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Cryptography\\OID\\EncodingType 0\\CryptSIPDllGetSignedDataMsg\\{E59B6E68-3312-4738-961F-DB9405B2DDCB}\\Dll""},{""@Name"":""Details"",""#text"":""C:\\Users\\Admin\\source\\repos\\PoCSubjectInterfacePackage\\x64\\Debug\\MySIP.dll""},{""@Name"":""User"",""#text"":""WIN\\Admin""}]}}"
8,141,2022-04-29 08:58:21.4333912,12,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,8940,7716,WIN,0,S-1-5-18,RegistryEvent (Object create and delete),WIN\Admin,,"ProcessID: 2760, ProcessGUID: 668ea4ef-a8ad-626b-9601-000000001400","RuleName: technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking",Image: C:\Windows\system32\regsvr32.exe,EventType: CreateKey,TargetObject: HKLM\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{E59B6E68-3312-4738-961F-DB9405B2DDCB},,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1553- Subvert Trust Controls\ID12-13 SIP provider registration.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking""},{""@Name"":""EventType"",""#text"":""CreateKey""},{""@Name"":""UtcTime"",""#text"":""2022-04-29 08:58:21.422""},{""@Name"":""ProcessGuid"",""#text"":""668ea4ef-a8ad-626b-9601-000000001400""},{""@Name"":""ProcessId"",""#text"":""2760""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\regsvr32.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Cryptography\\OID\\EncodingType 0\\CryptSIPDllGetSignedDataMsg\\{E59B6E68-3312-4738-961F-DB9405B2DDCB}""},{""@Name"":""User"",""#text"":""WIN\\Admin""}]}}"
9,142,2022-04-29 08:58:21.4334905,13,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,8940,7716,WIN,0,S-1-5-18,RegistryEvent (Value Set),WIN\Admin,,"ProcessID: 2760, ProcessGUID: 668ea4ef-a8ad-626b-9601-000000001400","RuleName: technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking",Image: C:\Windows\system32\regsvr32.exe,EventType: SetValue,TargetObject: HKLM\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{E59B6E68-3312-4738-961F-DB9405B2DDCB}\FuncName,Details: GetLegitMSSignature,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1553- Subvert Trust Controls\ID12-13 SIP provider registration.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking""},{""@Name"":""EventType"",""#text"":""SetValue""},{""@Name"":""UtcTime"",""#text"":""2022-04-29 08:58:21.422""},{""@Name"":""ProcessGuid"",""#text"":""668ea4ef-a8ad-626b-9601-000000001400""},{""@Name"":""ProcessId"",""#text"":""2760""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\regsvr32.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Cryptography\\OID\\EncodingType 0\\CryptSIPDllGetSignedDataMsg\\{E59B6E68-3312-4738-961F-DB9405B2DDCB}\\FuncName""},{""@Name"":""Details"",""#text"":""GetLegitMSSignature""},{""@Name"":""User"",""#text"":""WIN\\Admin""}]}}"
10,143,2022-04-29 08:58:21.4335796,12,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,8940,7716,WIN,0,S-1-5-18,RegistryEvent (Object create and delete),WIN\Admin,,"ProcessID: 2760, ProcessGUID: 668ea4ef-a8ad-626b-9601-000000001400","RuleName: technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking",Image: C:\Windows\system32\regsvr32.exe,EventType: CreateKey,TargetObject: HKLM\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllRemoveSignedDataMsg\{E59B6E68-3312-4738-961F-DB9405B2DDCB},,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1553- Subvert Trust Controls\ID12-13 SIP provider registration.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1553.003,technique_name=SIP and Trust Provider Hijacking""},{""@Name"":""EventType"",""#text"":""CreateKey""},{""@Name"":""UtcTime"",""#text"":""2022-04-29 08:58:21.422""},{""@Name"":""ProcessGuid"",""#text"":""668ea4ef-a8ad-626b-9601-000000001400""},{""@Name"":""ProcessId"",""#text"":""2760""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\regsvr32.exe""},{""@Name"":""TargetObject"",""#text"":""HKLM\\SOFTWARE\\Microsoft\\Cryptography\\OID\\EncodingType 0\\CryptSIPDllRemoveSignedDataMsg\\{E59B6E68-3312-4738-961F-DB9405B2DDCB}""},{""@Name"":""User"",""#text"":""WIN\\Admin""}]}}"
