RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,149979,2022-09-24 19:53:36.3275228,5379,LogAlways,Microsoft-Windows-Security-Auditing,Security,804,9188,GUAPOS-PC,0,,Credential Manager credentials were read,FOXTWO,,SID: S-1-5-21-3960598978-2723104146-531989891-1001,Domain: GUAPOS-PC,LogonID: 0xDA54B,CountOfCredentialsReturned: 9,,ActivityID: b2946cf1-cf76-0001-5c6d-94b276cfd801,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1555.004-Windows Credential Manager\ID 5376, 5379, 5382, 5381, 5382 credential manager and vault.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-3960598978-2723104146-531989891-1001""},{""@Name"":""SubjectUserName"",""#text"":""FOXTWO""},{""@Name"":""SubjectDomainName"",""#text"":""GUAPOS-PC""},{""@Name"":""SubjectLogonId"",""#text"":""0xDA54B""},{""@Name"":""TargetName""},{""@Name"":""Type"",""#text"":""0""},{""@Name"":""CountOfCredentialsReturned"",""#text"":""9""},{""@Name"":""ReadOperation"",""#text"":""%%8100""},{""@Name"":""ReturnCode"",""#text"":""0""},{""@Name"":""ProcessCreationTime"",""#text"":""2022-09-23 18:02:59.9739011""},{""@Name"":""ClientProcessId"",""#text"":""804""}]}}"
2,149980,2022-09-24 19:53:36.3280065,5381,LogAlways,Microsoft-Windows-Security-Auditing,Security,804,920,GUAPOS-PC,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1555.004-Windows Credential Manager\ID 5376, 5379, 5382, 5381, 5382 credential manager and vault.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-3960598978-2723104146-531989891-1001""},{""@Name"":""SubjectUserName"",""#text"":""FOXTWO""},{""@Name"":""SubjectDomainName"",""#text"":""GUAPOS-PC""},{""@Name"":""SubjectLogonId"",""#text"":""0xDA54B""},{""@Name"":""Flags"",""#text"":""512""},{""@Name"":""CountOfCredentialsReturned"",""#text"":""0""},{""@Name"":""ProcessCreationTime"",""#text"":""2022-09-24 19:52:46.5952970""},{""@Name"":""ClientProcessId"",""#text"":""12440""}]}}"
3,149981,2022-09-24 19:53:36.3283150,5379,LogAlways,Microsoft-Windows-Security-Auditing,Security,804,920,GUAPOS-PC,0,,Credential Manager credentials were read,FOXTWO,,SID: S-1-5-21-3960598978-2723104146-531989891-1001,Domain: GUAPOS-PC,LogonID: 0xDA54B,CountOfCredentialsReturned: 9,,ActivityID: b2946cf1-cf76-0001-5c6d-94b276cfd801,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1555.004-Windows Credential Manager\ID 5376, 5379, 5382, 5381, 5382 credential manager and vault.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-3960598978-2723104146-531989891-1001""},{""@Name"":""SubjectUserName"",""#text"":""FOXTWO""},{""@Name"":""SubjectDomainName"",""#text"":""GUAPOS-PC""},{""@Name"":""SubjectLogonId"",""#text"":""0xDA54B""},{""@Name"":""TargetName""},{""@Name"":""Type"",""#text"":""0""},{""@Name"":""CountOfCredentialsReturned"",""#text"":""9""},{""@Name"":""ReadOperation"",""#text"":""%%8100""},{""@Name"":""ReturnCode"",""#text"":""0""},{""@Name"":""ProcessCreationTime"",""#text"":""2022-09-24 19:52:46.5952970""},{""@Name"":""ClientProcessId"",""#text"":""12440""}]}}"
4,149982,2022-09-24 19:53:50.7481218,5379,LogAlways,Microsoft-Windows-Security-Auditing,Security,804,9188,GUAPOS-PC,0,,Credential Manager credentials were read,FOXTWO,,SID: S-1-5-21-3960598978-2723104146-531989891-1001,Domain: GUAPOS-PC,LogonID: 0xDA54B,CountOfCredentialsReturned: 9,,ActivityID: b2946cf1-cf76-0001-5c6d-94b276cfd801,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1555.004-Windows Credential Manager\ID 5376, 5379, 5382, 5381, 5382 credential manager and vault.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-3960598978-2723104146-531989891-1001""},{""@Name"":""SubjectUserName"",""#text"":""FOXTWO""},{""@Name"":""SubjectDomainName"",""#text"":""GUAPOS-PC""},{""@Name"":""SubjectLogonId"",""#text"":""0xDA54B""},{""@Name"":""TargetName""},{""@Name"":""Type"",""#text"":""0""},{""@Name"":""CountOfCredentialsReturned"",""#text"":""9""},{""@Name"":""ReadOperation"",""#text"":""%%8100""},{""@Name"":""ReturnCode"",""#text"":""0""},{""@Name"":""ProcessCreationTime"",""#text"":""2022-09-23 18:02:59.9739011""},{""@Name"":""ClientProcessId"",""#text"":""804""}]}}"
5,149983,2022-09-24 19:53:50.7485960,5381,LogAlways,Microsoft-Windows-Security-Auditing,Security,804,920,GUAPOS-PC,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1555.004-Windows Credential Manager\ID 5376, 5379, 5382, 5381, 5382 credential manager and vault.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-3960598978-2723104146-531989891-1001""},{""@Name"":""SubjectUserName"",""#text"":""FOXTWO""},{""@Name"":""SubjectDomainName"",""#text"":""GUAPOS-PC""},{""@Name"":""SubjectLogonId"",""#text"":""0xDA54B""},{""@Name"":""Flags"",""#text"":""512""},{""@Name"":""CountOfCredentialsReturned"",""#text"":""0""},{""@Name"":""ProcessCreationTime"",""#text"":""2022-09-24 19:52:46.5952970""},{""@Name"":""ClientProcessId"",""#text"":""12440""}]}}"
6,149984,2022-09-24 19:53:50.7489074,5379,LogAlways,Microsoft-Windows-Security-Auditing,Security,804,920,GUAPOS-PC,0,,Credential Manager credentials were read,FOXTWO,,SID: S-1-5-21-3960598978-2723104146-531989891-1001,Domain: GUAPOS-PC,LogonID: 0xDA54B,CountOfCredentialsReturned: 9,,ActivityID: b2946cf1-cf76-0001-5c6d-94b276cfd801,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1555.004-Windows Credential Manager\ID 5376, 5379, 5382, 5381, 5382 credential manager and vault.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-3960598978-2723104146-531989891-1001""},{""@Name"":""SubjectUserName"",""#text"":""FOXTWO""},{""@Name"":""SubjectDomainName"",""#text"":""GUAPOS-PC""},{""@Name"":""SubjectLogonId"",""#text"":""0xDA54B""},{""@Name"":""TargetName""},{""@Name"":""Type"",""#text"":""0""},{""@Name"":""CountOfCredentialsReturned"",""#text"":""9""},{""@Name"":""ReadOperation"",""#text"":""%%8100""},{""@Name"":""ReturnCode"",""#text"":""0""},{""@Name"":""ProcessCreationTime"",""#text"":""2022-09-24 19:52:46.5952970""},{""@Name"":""ClientProcessId"",""#text"":""12440""}]}}"
7,149992,2022-09-24 19:55:48.2868394,5381,LogAlways,Microsoft-Windows-Security-Auditing,Security,804,5788,GUAPOS-PC,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1555.004-Windows Credential Manager\ID 5376, 5379, 5382, 5381, 5382 credential manager and vault.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-3960598978-2723104146-531989891-1005""},{""@Name"":""SubjectUserName"",""#text"":""admin""},{""@Name"":""SubjectDomainName"",""#text"":""GUAPOS-PC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5BCC667""},{""@Name"":""Flags"",""#text"":""0""},{""@Name"":""CountOfCredentialsReturned"",""#text"":""0""},{""@Name"":""ProcessCreationTime"",""#text"":""2022-09-24 19:42:45.4113715""},{""@Name"":""ClientProcessId"",""#text"":""7756""}]}}"
8,149994,2022-09-24 19:55:55.0144128,5379,LogAlways,Microsoft-Windows-Security-Auditing,Security,804,5788,GUAPOS-PC,0,,Credential Manager credentials were read,FOXTWO,,SID: S-1-5-21-3960598978-2723104146-531989891-1001,Domain: GUAPOS-PC,LogonID: 0xDA54B,CountOfCredentialsReturned: 0,,ActivityID: b2946cf1-cf76-0001-5c6d-94b276cfd801,MicrosoftOffice16_Data:live:cid=*,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1555.004-Windows Credential Manager\ID 5376, 5379, 5382, 5381, 5382 credential manager and vault.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-3960598978-2723104146-531989891-1001""},{""@Name"":""SubjectUserName"",""#text"":""FOXTWO""},{""@Name"":""SubjectDomainName"",""#text"":""GUAPOS-PC""},{""@Name"":""SubjectLogonId"",""#text"":""0xDA54B""},{""@Name"":""TargetName"",""#text"":""MicrosoftOffice16_Data:live:cid=*""},{""@Name"":""Type"",""#text"":""0""},{""@Name"":""CountOfCredentialsReturned"",""#text"":""0""},{""@Name"":""ReadOperation"",""#text"":""%%8100""},{""@Name"":""ReturnCode"",""#text"":""3221226021""},{""@Name"":""ProcessCreationTime"",""#text"":""2022-09-24 19:55:53.6398676""},{""@Name"":""ClientProcessId"",""#text"":""2912""}]}}"
9,149997,2022-09-24 19:56:35.5014491,5381,LogAlways,Microsoft-Windows-Security-Auditing,Security,804,5788,GUAPOS-PC,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1555.004-Windows Credential Manager\ID 5376, 5379, 5382, 5381, 5382 credential manager and vault.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-3960598978-2723104146-531989891-1005""},{""@Name"":""SubjectUserName"",""#text"":""admin""},{""@Name"":""SubjectDomainName"",""#text"":""GUAPOS-PC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5BCC667""},{""@Name"":""Flags"",""#text"":""0""},{""@Name"":""CountOfCredentialsReturned"",""#text"":""0""},{""@Name"":""ProcessCreationTime"",""#text"":""2022-09-24 19:42:45.4113715""},{""@Name"":""ClientProcessId"",""#text"":""7756""}]}}"
10,149998,2022-09-24 19:56:42.1800455,5381,LogAlways,Microsoft-Windows-Security-Auditing,Security,804,5788,GUAPOS-PC,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1555.004-Windows Credential Manager\ID 5376, 5379, 5382, 5381, 5382 credential manager and vault.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-3960598978-2723104146-531989891-1005""},{""@Name"":""SubjectUserName"",""#text"":""admin""},{""@Name"":""SubjectDomainName"",""#text"":""GUAPOS-PC""},{""@Name"":""SubjectLogonId"",""#text"":""0x5BCC667""},{""@Name"":""Flags"",""#text"":""0""},{""@Name"":""CountOfCredentialsReturned"",""#text"":""0""},{""@Name"":""ProcessCreationTime"",""#text"":""2022-09-24 19:42:45.4113715""},{""@Name"":""ClientProcessId"",""#text"":""7756""}]}}"
