RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,21,2022-04-04 09:34:23.1029271,8,LogAlways,Microsoft-Windows-Servicing,Setup,14668,19008,N900B7FFD.kapsch.co.at,0,S-1-5-18,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.001-Impair Defenses-Disable or Modify tool\ID8-Module Virtualization disabled (Credential Guard).evtx,Classic,0,"{""UserData"":{""CbsUpdateChangeState"":{""UpdateName"":""Windows-Defender-Default-Definitions"",""PackageIdentifier"":""Windows-Defender-Client"",""ErrorCode"":"""",""Client"":""DISM Package Manager Provider""}}}"
2,22,2022-04-04 09:34:28.5584324,10,LogAlways,Microsoft-Windows-Servicing,Setup,14668,19008,N900B7FFD.kapsch.co.at,0,S-1-5-18,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.001-Impair Defenses-Disable or Modify tool\ID8-Module Virtualization disabled (Credential Guard).evtx,Classic,0,"{""UserData"":{""CbsUpdateChangeState"":{""UpdateName"":""Windows-Defender-Default-Definitions"",""PackageIdentifier"":""Windows-Defender-Client"",""ErrorCode"":""0x0"",""Client"":""DISM Package Manager Provider""}}}"
3,23,2022-04-12 07:16:31.7217541,8,LogAlways,Microsoft-Windows-Servicing,Setup,12148,16708,N900B7FFD.kapsch.co.at,0,S-1-5-18,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.001-Impair Defenses-Disable or Modify tool\ID8-Module Virtualization disabled (Credential Guard).evtx,Classic,0,"{""UserData"":{""CbsUpdateChangeState"":{""UpdateName"":""Printing-PrintToPDFServices-Features"",""PackageIdentifier"":""Microsoft-Windows-Printing-PrintToPDFServices"",""ErrorCode"":"""",""Client"":""Windows Optional Component Manager""}}}"
4,24,2022-04-12 07:16:31.7217818,8,LogAlways,Microsoft-Windows-Servicing,Setup,12148,16708,N900B7FFD.kapsch.co.at,0,S-1-5-18,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.001-Impair Defenses-Disable or Modify tool\ID8-Module Virtualization disabled (Credential Guard).evtx,Classic,0,"{""UserData"":{""CbsUpdateChangeState"":{""UpdateName"":""Printing-XPSServices-Features"",""PackageIdentifier"":""Microsoft-Windows-Printing-XPSServices"",""ErrorCode"":"""",""Client"":""Windows Optional Component Manager""}}}"
5,25,2022-04-12 07:16:31.7262421,8,LogAlways,Microsoft-Windows-Servicing,Setup,12148,16708,N900B7FFD.kapsch.co.at,0,S-1-5-18,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.001-Impair Defenses-Disable or Modify tool\ID8-Module Virtualization disabled (Credential Guard).evtx,Classic,0,"{""UserData"":{""CbsUpdateChangeState"":{""UpdateName"":""MediaPlayback"",""PackageIdentifier"":""Microsoft-Windows-MediaPlayback-OC"",""ErrorCode"":"""",""Client"":""Windows Optional Component Manager""}}}"
6,26,2022-04-12 07:16:31.7262443,8,LogAlways,Microsoft-Windows-Servicing,Setup,12148,16708,N900B7FFD.kapsch.co.at,0,S-1-5-18,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.001-Impair Defenses-Disable or Modify tool\ID8-Module Virtualization disabled (Credential Guard).evtx,Classic,0,"{""UserData"":{""CbsUpdateChangeState"":{""UpdateName"":""WindowsMediaPlayer"",""PackageIdentifier"":""Windows Media Player"",""ErrorCode"":"""",""Client"":""Windows Optional Component Manager""}}}"
7,27,2022-04-12 07:16:31.7263444,8,LogAlways,Microsoft-Windows-Servicing,Setup,12148,16708,N900B7FFD.kapsch.co.at,0,S-1-5-18,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.001-Impair Defenses-Disable or Modify tool\ID8-Module Virtualization disabled (Credential Guard).evtx,Classic,0,"{""UserData"":{""CbsUpdateChangeState"":{""UpdateName"":""MSRDC-Infrastructure"",""PackageIdentifier"":""Microsoft-Windows-RDC"",""ErrorCode"":"""",""Client"":""Windows Optional Component Manager""}}}"
8,28,2022-04-12 07:16:31.7264444,8,LogAlways,Microsoft-Windows-Servicing,Setup,12148,16708,N900B7FFD.kapsch.co.at,0,S-1-5-18,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.001-Impair Defenses-Disable or Modify tool\ID8-Module Virtualization disabled (Credential Guard).evtx,Classic,0,"{""UserData"":{""CbsUpdateChangeState"":{""UpdateName"":""WorkFolders-Client"",""PackageIdentifier"":""Microsoft-Windows-EnterpriseClientSync-Host"",""ErrorCode"":"""",""Client"":""Windows Optional Component Manager""}}}"
9,29,2022-04-12 07:16:31.7264648,8,LogAlways,Microsoft-Windows-Servicing,Setup,12148,16708,N900B7FFD.kapsch.co.at,0,S-1-5-18,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.001-Impair Defenses-Disable or Modify tool\ID8-Module Virtualization disabled (Credential Guard).evtx,Classic,0,"{""UserData"":{""CbsUpdateChangeState"":{""UpdateName"":""Printing-Foundation-Features"",""PackageIdentifier"":""Microsoft-Windows-Printing-Foundation"",""ErrorCode"":"""",""Client"":""Windows Optional Component Manager""}}}"
10,30,2022-04-12 07:16:31.7264855,8,LogAlways,Microsoft-Windows-Servicing,Setup,12148,16708,N900B7FFD.kapsch.co.at,0,S-1-5-18,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.001-Impair Defenses-Disable or Modify tool\ID8-Module Virtualization disabled (Credential Guard).evtx,Classic,0,"{""UserData"":{""CbsUpdateChangeState"":{""UpdateName"":""Printing-Foundation-InternetPrinting-Client"",""PackageIdentifier"":""Microsoft-Windows-Printing-Foundation"",""ErrorCode"":"""",""Client"":""Windows Optional Component Manager""}}}"
