RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,109446,2021-10-25 18:30:36.5159063,4719,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,2872,FS03.offsec.lan,0,,System audit policy was changed,OFFSEC\admmig,,CategoryId: %%8272 SubcategoryId: %%12288,SubcategoryGuid: 0cce9210-69ae-11d9-bed3-505054503030,AuditPolicyChanges: %%8448,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4719-Audit policy deactivation.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x123550""},{""@Name"":""CategoryId"",""#text"":""%%8272""},{""@Name"":""SubcategoryId"",""#text"":""%%12288""},{""@Name"":""SubcategoryGuid"",""#text"":""0cce9210-69ae-11d9-bed3-505054503030""},{""@Name"":""AuditPolicyChanges"",""#text"":""%%8448""}]}}"
2,109447,2021-10-25 18:30:36.5159063,4719,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,2872,FS03.offsec.lan,0,,System audit policy was changed,OFFSEC\admmig,,CategoryId: %%8272 SubcategoryId: %%12289,SubcategoryGuid: 0cce9211-69ae-11d9-bed3-505054503030,"AuditPolicyChanges: %%8448, %%8450",,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4719-Audit policy deactivation.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x123550""},{""@Name"":""CategoryId"",""#text"":""%%8272""},{""@Name"":""SubcategoryId"",""#text"":""%%12289""},{""@Name"":""SubcategoryGuid"",""#text"":""0cce9211-69ae-11d9-bed3-505054503030""},{""@Name"":""AuditPolicyChanges"",""#text"":""%%8448, %%8450""}]}}"
3,109448,2021-10-25 18:30:36.5159063,4719,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,2872,FS03.offsec.lan,0,,System audit policy was changed,OFFSEC\admmig,,CategoryId: %%8272 SubcategoryId: %%12290,SubcategoryGuid: 0cce9212-69ae-11d9-bed3-505054503030,"AuditPolicyChanges: %%8448, %%8450",,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4719-Audit policy deactivation.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x123550""},{""@Name"":""CategoryId"",""#text"":""%%8272""},{""@Name"":""SubcategoryId"",""#text"":""%%12290""},{""@Name"":""SubcategoryGuid"",""#text"":""0cce9212-69ae-11d9-bed3-505054503030""},{""@Name"":""AuditPolicyChanges"",""#text"":""%%8448, %%8450""}]}}"
4,109449,2021-10-25 18:30:36.5159063,4719,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,2872,FS03.offsec.lan,0,,System audit policy was changed,OFFSEC\admmig,,CategoryId: %%8272 SubcategoryId: %%12292,SubcategoryGuid: 0cce9214-69ae-11d9-bed3-505054503030,"AuditPolicyChanges: %%8448, %%8450",,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4719-Audit policy deactivation.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x123550""},{""@Name"":""CategoryId"",""#text"":""%%8272""},{""@Name"":""SubcategoryId"",""#text"":""%%12292""},{""@Name"":""SubcategoryGuid"",""#text"":""0cce9214-69ae-11d9-bed3-505054503030""},{""@Name"":""AuditPolicyChanges"",""#text"":""%%8448, %%8450""}]}}"
5,109450,2021-10-25 18:30:36.5159063,4719,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,2872,FS03.offsec.lan,0,,System audit policy was changed,OFFSEC\admmig,,CategoryId: %%8273 SubcategoryId: %%12544,SubcategoryGuid: 0cce9215-69ae-11d9-bed3-505054503030,"AuditPolicyChanges: %%8448, %%8450",,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4719-Audit policy deactivation.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x123550""},{""@Name"":""CategoryId"",""#text"":""%%8273""},{""@Name"":""SubcategoryId"",""#text"":""%%12544""},{""@Name"":""SubcategoryGuid"",""#text"":""0cce9215-69ae-11d9-bed3-505054503030""},{""@Name"":""AuditPolicyChanges"",""#text"":""%%8448, %%8450""}]}}"
6,109451,2021-10-25 18:30:36.5159063,4719,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,2872,FS03.offsec.lan,0,,System audit policy was changed,OFFSEC\admmig,,CategoryId: %%8273 SubcategoryId: %%12546,SubcategoryGuid: 0cce9217-69ae-11d9-bed3-505054503030,"AuditPolicyChanges: %%8448, %%8450",,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4719-Audit policy deactivation.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x123550""},{""@Name"":""CategoryId"",""#text"":""%%8273""},{""@Name"":""SubcategoryId"",""#text"":""%%12546""},{""@Name"":""SubcategoryGuid"",""#text"":""0cce9217-69ae-11d9-bed3-505054503030""},{""@Name"":""AuditPolicyChanges"",""#text"":""%%8448, %%8450""}]}}"
7,109452,2021-10-25 18:30:36.5159063,4719,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,2872,FS03.offsec.lan,0,,System audit policy was changed,OFFSEC\admmig,,CategoryId: %%8273 SubcategoryId: %%12548,SubcategoryGuid: 0cce921b-69ae-11d9-bed3-505054503030,"AuditPolicyChanges: %%8448, %%8450",,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4719-Audit policy deactivation.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x123550""},{""@Name"":""CategoryId"",""#text"":""%%8273""},{""@Name"":""SubcategoryId"",""#text"":""%%12548""},{""@Name"":""SubcategoryGuid"",""#text"":""0cce921b-69ae-11d9-bed3-505054503030""},{""@Name"":""AuditPolicyChanges"",""#text"":""%%8448, %%8450""}]}}"
8,109453,2021-10-25 18:30:36.5159063,4719,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,2872,FS03.offsec.lan,0,,System audit policy was changed,OFFSEC\admmig,,CategoryId: %%8273 SubcategoryId: %%12551,SubcategoryGuid: 0cce921c-69ae-11d9-bed3-505054503030,"AuditPolicyChanges: %%8448, %%8450",,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4719-Audit policy deactivation.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x123550""},{""@Name"":""CategoryId"",""#text"":""%%8273""},{""@Name"":""SubcategoryId"",""#text"":""%%12551""},{""@Name"":""SubcategoryGuid"",""#text"":""0cce921c-69ae-11d9-bed3-505054503030""},{""@Name"":""AuditPolicyChanges"",""#text"":""%%8448, %%8450""}]}}"
9,109454,2021-10-25 18:30:36.5159063,4719,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,2872,FS03.offsec.lan,0,,System audit policy was changed,OFFSEC\admmig,,CategoryId: %%8274 SubcategoryId: %%12800,SubcategoryGuid: 0cce921d-69ae-11d9-bed3-505054503030,"AuditPolicyChanges: %%8448, %%8450",,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4719-Audit policy deactivation.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x123550""},{""@Name"":""CategoryId"",""#text"":""%%8274""},{""@Name"":""SubcategoryId"",""#text"":""%%12800""},{""@Name"":""SubcategoryGuid"",""#text"":""0cce921d-69ae-11d9-bed3-505054503030""},{""@Name"":""AuditPolicyChanges"",""#text"":""%%8448, %%8450""}]}}"
10,109455,2021-10-25 18:30:36.5159063,4719,LogAlways,Microsoft-Windows-Security-Auditing,Security,492,2872,FS03.offsec.lan,0,,System audit policy was changed,OFFSEC\admmig,,CategoryId: %%8274 SubcategoryId: %%12801,SubcategoryGuid: 0cce921e-69ae-11d9-bed3-505054503030,AuditPolicyChanges: %%8448,,,,,False,EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4719-Audit policy deactivation.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x123550""},{""@Name"":""CategoryId"",""#text"":""%%8274""},{""@Name"":""SubcategoryId"",""#text"":""%%12801""},{""@Name"":""SubcategoryGuid"",""#text"":""0cce921e-69ae-11d9-bed3-505054503030""},{""@Name"":""AuditPolicyChanges"",""#text"":""%%8448""}]}}"
