RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,375285,2024-09-03 07:46:42.8200094,5124,LogAlways,Microsoft-Windows-Security-Auditing,Security,640,1192,CDCWPKI01.rootblue.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4885,4876,4877,5123,5124-ADCS PKI OCSP.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""NewSecuritySettings"",""#text"":"", Allow(0x00000101), BUILTIN\\Administrators, OCSP Administrator, Read, Allow(0x00000101), ROOTBLUE\\Cloneable Domain Controllers, OCSP Administrator, Read, Allow(0x00000300), IIS APPPOOL\\OCSPISAPIAppPool, Read, OCSP Requestor, ""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-392370121-190461309-2151315433-1108""},{""@Name"":""SubjectUserName"",""#text"":""domadm""},{""@Name"":""SubjectDomainName"",""#text"":""ROOTBLUE""},{""@Name"":""SubjectLogonId"",""#text"":""0x91861A6""}]}}"
2,375291,2024-09-03 07:47:40.1324990,5124,LogAlways,Microsoft-Windows-Security-Auditing,Security,640,5752,CDCWPKI01.rootblue.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4885,4876,4877,5123,5124-ADCS PKI OCSP.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""NewSecuritySettings"",""#text"":"", Allow(0x00000101), BUILTIN\\Administrators, OCSP Administrator, Read, Allow(0x00000300), IIS APPPOOL\\OCSPISAPIAppPool, Read, OCSP Requestor, ""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-392370121-190461309-2151315433-1108""},{""@Name"":""SubjectUserName"",""#text"":""domadm""},{""@Name"":""SubjectDomainName"",""#text"":""ROOTBLUE""},{""@Name"":""SubjectLogonId"",""#text"":""0x91861A6""}]}}"
3,375292,2024-09-03 07:48:18.6282450,5123,LogAlways,Microsoft-Windows-Security-Auditing,Security,640,5752,CDCWPKI01.rootblue.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4885,4876,4877,5123,5124-ADCS PKI OCSP.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""PropertyName"",""#text"":""MaxNumOfCacheEntries""},{""@Name"":""NewValue"",""#text"":""5002""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-392370121-190461309-2151315433-1108""},{""@Name"":""SubjectUserName"",""#text"":""domadm""},{""@Name"":""SubjectDomainName"",""#text"":""ROOTBLUE""},{""@Name"":""SubjectLogonId"",""#text"":""0x91861A6""}]}}"
4,375293,2024-09-03 07:48:18.6284396,5123,LogAlways,Microsoft-Windows-Security-Auditing,Security,640,5752,CDCWPKI01.rootblue.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4885,4876,4877,5123,5124-ADCS PKI OCSP.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""PropertyName"",""#text"":""NumOfThreads""},{""@Name"":""NewValue"",""#text"":""512""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-392370121-190461309-2151315433-1108""},{""@Name"":""SubjectUserName"",""#text"":""domadm""},{""@Name"":""SubjectDomainName"",""#text"":""ROOTBLUE""},{""@Name"":""SubjectLogonId"",""#text"":""0x91861A6""}]}}"
5,375299,2024-09-03 07:48:54.4435532,5123,LogAlways,Microsoft-Windows-Security-Auditing,Security,640,5752,CDCWPKI01.rootblue.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4885,4876,4877,5123,5124-ADCS PKI OCSP.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""PropertyName"",""#text"":""AuditFilter""},{""@Name"":""NewValue"",""#text"":""7""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-392370121-190461309-2151315433-1108""},{""@Name"":""SubjectUserName"",""#text"":""domadm""},{""@Name"":""SubjectDomainName"",""#text"":""ROOTBLUE""},{""@Name"":""SubjectLogonId"",""#text"":""0x91861A6""}]}}"
6,375300,2024-09-03 07:49:06.9893061,5123,LogAlways,Microsoft-Windows-Security-Auditing,Security,640,5752,CDCWPKI01.rootblue.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4885,4876,4877,5123,5124-ADCS PKI OCSP.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""PropertyName"",""#text"":""AuditFilter""},{""@Name"":""NewValue"",""#text"":""0""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-392370121-190461309-2151315433-1108""},{""@Name"":""SubjectUserName"",""#text"":""domadm""},{""@Name"":""SubjectDomainName"",""#text"":""ROOTBLUE""},{""@Name"":""SubjectLogonId"",""#text"":""0x91861A6""}]}}"
7,375313,2024-09-03 07:51:23.5163056,5124,LogAlways,Microsoft-Windows-Security-Auditing,Security,640,6232,CDCWPKI01.rootblue.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4885,4876,4877,5123,5124-ADCS PKI OCSP.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""NewSecuritySettings"",""#text"":"", Allow(0x00000101), BUILTIN\\Administrators, OCSP Administrator, Read, Allow(0x00000101), ROOTBLUE\\Hacker_Group, OCSP Administrator, Read, Allow(0x00000300), IIS APPPOOL\\OCSPISAPIAppPool, Read, OCSP Requestor, ""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-392370121-190461309-2151315433-1108""},{""@Name"":""SubjectUserName"",""#text"":""domadm""},{""@Name"":""SubjectDomainName"",""#text"":""ROOTBLUE""},{""@Name"":""SubjectLogonId"",""#text"":""0x91861A6""}]}}"
8,375387,2024-09-03 08:01:32.9529718,5124,LogAlways,Microsoft-Windows-Security-Auditing,Security,640,7036,CDCWPKI01.rootblue.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4885,4876,4877,5123,5124-ADCS PKI OCSP.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""NewSecuritySettings"",""#text"":"", Allow(0x00000101), BUILTIN\\Administrators, OCSP Administrator, Read, Allow(0x00000300), IIS APPPOOL\\OCSPISAPIAppPool, Read, OCSP Requestor, ""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-392370121-190461309-2151315433-1108""},{""@Name"":""SubjectUserName"",""#text"":""domadm""},{""@Name"":""SubjectDomainName"",""#text"":""ROOTBLUE""},{""@Name"":""SubjectLogonId"",""#text"":""0x91861A6""}]}}"
9,375393,2024-09-03 08:02:28.9965012,5124,LogAlways,Microsoft-Windows-Security-Auditing,Security,640,7036,CDCWPKI01.rootblue.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4885,4876,4877,5123,5124-ADCS PKI OCSP.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""NewSecuritySettings"",""#text"":"", Allow(0x00000101), BUILTIN\\Administrators, OCSP Administrator, Read, Allow(0x00000101), ROOTBLUE\\Hacker_Group, OCSP Administrator, Read, Allow(0x00000300), IIS APPPOOL\\OCSPISAPIAppPool, Read, OCSP Requestor, ""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-392370121-190461309-2151315433-1108""},{""@Name"":""SubjectUserName"",""#text"":""domadm""},{""@Name"":""SubjectDomainName"",""#text"":""ROOTBLUE""},{""@Name"":""SubjectLogonId"",""#text"":""0x91861A6""}]}}"
10,375405,2024-09-03 08:04:23.1889389,5124,LogAlways,Microsoft-Windows-Security-Auditing,Security,640,5752,CDCWPKI01.rootblue.lan,0,,,,,,,,,,,,False,"EVTX-to-MITRE-Attack\TA0005-Defense Evasion\T1562.002-Disable Windows Event Logging\ID4885,4876,4877,5123,5124-ADCS PKI OCSP.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""NewSecuritySettings"",""#text"":"", Allow(0x00000301), ROOTBLUE\\Hacker_Group, OCSP Administrator, Read, OCSP Requestor, Allow(0x00000101), BUILTIN\\Administrators, OCSP Administrator, Read, Allow(0x00000300), IIS APPPOOL\\OCSPISAPIAppPool, Read, OCSP Requestor, ""},{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-392370121-190461309-2151315433-1108""},{""@Name"":""SubjectUserName"",""#text"":""domadm""},{""@Name"":""SubjectDomainName"",""#text"":""ROOTBLUE""},{""@Name"":""SubjectLogonId"",""#text"":""0x91861A6""}]}}"
