RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,11286,2023-09-25 20:39:50.8223974,4625,LogAlways,Microsoft-Windows-Security-Auditing,Security,760,804,WIN,0,,Failed logon,WIN\Admin,WIN (-),Target: WIN\Admin,LogonType 2,FailureReason1: the cause is either a bad username or authentication information,FailureReason2: user name is correct but the password is wrong,,,C:\Users\Admin\Desktop\AccountRestore.bin\AccountRestore.exe,False,"EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID 4776,4625-AccountRestore local bruteforce.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-113448046-927799223-410490820-1001""},{""@Name"":""SubjectUserName"",""#text"":""Admin""},{""@Name"":""SubjectDomainName"",""#text"":""WIN""},{""@Name"":""SubjectLogonId"",""#text"":""0x393F6D""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""Admin""},{""@Name"":""TargetDomainName"",""#text"":""WIN""},{""@Name"":""Status"",""#text"":""0xC000006D""},{""@Name"":""FailureReason"",""#text"":""%%2313""},{""@Name"":""SubStatus"",""#text"":""0xC000006A""},{""@Name"":""LogonType"",""#text"":""2""},{""@Name"":""LogonProcessName"",""#text"":""Advapi  ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""WIN""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x1B0C""},{""@Name"":""ProcessName"",""#text"":""C:\\Users\\Admin\\Desktop\\AccountRestore.bin\\AccountRestore.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
2,11288,2023-09-25 20:39:50.8226438,4625,LogAlways,Microsoft-Windows-Security-Auditing,Security,760,1732,WIN,0,,Failed logon,WIN\Admin,WIN (-),Target: WIN\Administrator,LogonType 2,FailureReason1: the cause is either a bad username or authentication information,FailureReason2: user name is correct but the password is wrong,,,C:\Users\Admin\Desktop\AccountRestore.bin\AccountRestore.exe,False,"EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID 4776,4625-AccountRestore local bruteforce.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-113448046-927799223-410490820-1001""},{""@Name"":""SubjectUserName"",""#text"":""Admin""},{""@Name"":""SubjectDomainName"",""#text"":""WIN""},{""@Name"":""SubjectLogonId"",""#text"":""0x393F6D""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""Administrator""},{""@Name"":""TargetDomainName"",""#text"":""WIN""},{""@Name"":""Status"",""#text"":""0xC000006D""},{""@Name"":""FailureReason"",""#text"":""%%2313""},{""@Name"":""SubStatus"",""#text"":""0xC000006A""},{""@Name"":""LogonType"",""#text"":""2""},{""@Name"":""LogonProcessName"",""#text"":""Advapi  ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""WIN""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x1B0C""},{""@Name"":""ProcessName"",""#text"":""C:\\Users\\Admin\\Desktop\\AccountRestore.bin\\AccountRestore.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
3,11289,2023-09-25 20:39:50.8226556,4625,LogAlways,Microsoft-Windows-Security-Auditing,Security,760,8324,WIN,0,,Failed logon,WIN\Admin,WIN (-),Target: WIN\Administrator,LogonType 2,FailureReason1: the cause is either a bad username or authentication information,FailureReason2: user name is correct but the password is wrong,,,C:\Users\Admin\Desktop\AccountRestore.bin\AccountRestore.exe,False,"EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID 4776,4625-AccountRestore local bruteforce.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-113448046-927799223-410490820-1001""},{""@Name"":""SubjectUserName"",""#text"":""Admin""},{""@Name"":""SubjectDomainName"",""#text"":""WIN""},{""@Name"":""SubjectLogonId"",""#text"":""0x393F6D""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""Administrator""},{""@Name"":""TargetDomainName"",""#text"":""WIN""},{""@Name"":""Status"",""#text"":""0xC000006D""},{""@Name"":""FailureReason"",""#text"":""%%2313""},{""@Name"":""SubStatus"",""#text"":""0xC000006A""},{""@Name"":""LogonType"",""#text"":""2""},{""@Name"":""LogonProcessName"",""#text"":""Advapi  ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""WIN""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x1B0C""},{""@Name"":""ProcessName"",""#text"":""C:\\Users\\Admin\\Desktop\\AccountRestore.bin\\AccountRestore.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
4,11291,2023-09-25 20:39:50.8243573,4625,LogAlways,Microsoft-Windows-Security-Auditing,Security,760,5036,WIN,0,,Failed logon,WIN\Admin,WIN (-),Target: WIN\Administrator,LogonType 2,FailureReason1: the cause is either a bad username or authentication information,FailureReason2: user name is correct but the password is wrong,,,C:\Users\Admin\Desktop\AccountRestore.bin\AccountRestore.exe,False,"EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID 4776,4625-AccountRestore local bruteforce.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-113448046-927799223-410490820-1001""},{""@Name"":""SubjectUserName"",""#text"":""Admin""},{""@Name"":""SubjectDomainName"",""#text"":""WIN""},{""@Name"":""SubjectLogonId"",""#text"":""0x393F6D""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""Administrator""},{""@Name"":""TargetDomainName"",""#text"":""WIN""},{""@Name"":""Status"",""#text"":""0xC000006D""},{""@Name"":""FailureReason"",""#text"":""%%2313""},{""@Name"":""SubStatus"",""#text"":""0xC000006A""},{""@Name"":""LogonType"",""#text"":""2""},{""@Name"":""LogonProcessName"",""#text"":""Advapi  ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""WIN""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x1B0C""},{""@Name"":""ProcessName"",""#text"":""C:\\Users\\Admin\\Desktop\\AccountRestore.bin\\AccountRestore.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
5,11293,2023-09-25 20:39:50.8248474,4625,LogAlways,Microsoft-Windows-Security-Auditing,Security,760,1732,WIN,0,,Failed logon,WIN\Admin,WIN (-),Target: WIN\Administrator,LogonType 2,FailureReason1: the cause is either a bad username or authentication information,FailureReason2: user name is correct but the password is wrong,,,C:\Users\Admin\Desktop\AccountRestore.bin\AccountRestore.exe,False,"EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID 4776,4625-AccountRestore local bruteforce.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-113448046-927799223-410490820-1001""},{""@Name"":""SubjectUserName"",""#text"":""Admin""},{""@Name"":""SubjectDomainName"",""#text"":""WIN""},{""@Name"":""SubjectLogonId"",""#text"":""0x393F6D""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""Administrator""},{""@Name"":""TargetDomainName"",""#text"":""WIN""},{""@Name"":""Status"",""#text"":""0xC000006D""},{""@Name"":""FailureReason"",""#text"":""%%2313""},{""@Name"":""SubStatus"",""#text"":""0xC000006A""},{""@Name"":""LogonType"",""#text"":""2""},{""@Name"":""LogonProcessName"",""#text"":""Advapi  ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""WIN""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x1B0C""},{""@Name"":""ProcessName"",""#text"":""C:\\Users\\Admin\\Desktop\\AccountRestore.bin\\AccountRestore.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
6,11295,2023-09-25 20:39:50.8250282,4625,LogAlways,Microsoft-Windows-Security-Auditing,Security,760,8324,WIN,0,,Failed logon,WIN\Admin,WIN (-),Target: WIN\Admin,LogonType 2,FailureReason1: the cause is either a bad username or authentication information,FailureReason2: user name is correct but the password is wrong,,,C:\Users\Admin\Desktop\AccountRestore.bin\AccountRestore.exe,False,"EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID 4776,4625-AccountRestore local bruteforce.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-113448046-927799223-410490820-1001""},{""@Name"":""SubjectUserName"",""#text"":""Admin""},{""@Name"":""SubjectDomainName"",""#text"":""WIN""},{""@Name"":""SubjectLogonId"",""#text"":""0x393F6D""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""Admin""},{""@Name"":""TargetDomainName"",""#text"":""WIN""},{""@Name"":""Status"",""#text"":""0xC000006D""},{""@Name"":""FailureReason"",""#text"":""%%2313""},{""@Name"":""SubStatus"",""#text"":""0xC000006A""},{""@Name"":""LogonType"",""#text"":""2""},{""@Name"":""LogonProcessName"",""#text"":""Advapi  ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""WIN""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x1B0C""},{""@Name"":""ProcessName"",""#text"":""C:\\Users\\Admin\\Desktop\\AccountRestore.bin\\AccountRestore.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
7,11297,2023-09-25 20:39:50.8252277,4625,LogAlways,Microsoft-Windows-Security-Auditing,Security,760,5036,WIN,0,,Failed logon,WIN\Admin,WIN (-),Target: WIN\Administrator,LogonType 2,FailureReason1: the cause is either a bad username or authentication information,FailureReason2: user name is correct but the password is wrong,,,C:\Users\Admin\Desktop\AccountRestore.bin\AccountRestore.exe,False,"EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID 4776,4625-AccountRestore local bruteforce.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-113448046-927799223-410490820-1001""},{""@Name"":""SubjectUserName"",""#text"":""Admin""},{""@Name"":""SubjectDomainName"",""#text"":""WIN""},{""@Name"":""SubjectLogonId"",""#text"":""0x393F6D""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""Administrator""},{""@Name"":""TargetDomainName"",""#text"":""WIN""},{""@Name"":""Status"",""#text"":""0xC000006D""},{""@Name"":""FailureReason"",""#text"":""%%2313""},{""@Name"":""SubStatus"",""#text"":""0xC000006A""},{""@Name"":""LogonType"",""#text"":""2""},{""@Name"":""LogonProcessName"",""#text"":""Advapi  ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""WIN""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x1B0C""},{""@Name"":""ProcessName"",""#text"":""C:\\Users\\Admin\\Desktop\\AccountRestore.bin\\AccountRestore.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
8,11299,2023-09-25 20:39:50.8263420,4625,LogAlways,Microsoft-Windows-Security-Auditing,Security,760,5036,WIN,0,,Failed logon,WIN\Admin,WIN (-),Target: WIN\Administrator,LogonType 2,FailureReason1: the cause is either a bad username or authentication information,FailureReason2: user name is correct but the password is wrong,,,C:\Users\Admin\Desktop\AccountRestore.bin\AccountRestore.exe,False,"EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID 4776,4625-AccountRestore local bruteforce.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-113448046-927799223-410490820-1001""},{""@Name"":""SubjectUserName"",""#text"":""Admin""},{""@Name"":""SubjectDomainName"",""#text"":""WIN""},{""@Name"":""SubjectLogonId"",""#text"":""0x393F6D""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""Administrator""},{""@Name"":""TargetDomainName"",""#text"":""WIN""},{""@Name"":""Status"",""#text"":""0xC000006D""},{""@Name"":""FailureReason"",""#text"":""%%2313""},{""@Name"":""SubStatus"",""#text"":""0xC000006A""},{""@Name"":""LogonType"",""#text"":""2""},{""@Name"":""LogonProcessName"",""#text"":""Advapi  ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""WIN""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x1B0C""},{""@Name"":""ProcessName"",""#text"":""C:\\Users\\Admin\\Desktop\\AccountRestore.bin\\AccountRestore.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
9,11301,2023-09-25 20:39:50.8271147,4625,LogAlways,Microsoft-Windows-Security-Auditing,Security,760,5036,WIN,0,,Failed logon,WIN\Admin,WIN (-),Target: WIN\Administrator,LogonType 2,FailureReason1: the cause is either a bad username or authentication information,FailureReason2: user name is correct but the password is wrong,,,C:\Users\Admin\Desktop\AccountRestore.bin\AccountRestore.exe,False,"EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID 4776,4625-AccountRestore local bruteforce.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-113448046-927799223-410490820-1001""},{""@Name"":""SubjectUserName"",""#text"":""Admin""},{""@Name"":""SubjectDomainName"",""#text"":""WIN""},{""@Name"":""SubjectLogonId"",""#text"":""0x393F6D""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""Administrator""},{""@Name"":""TargetDomainName"",""#text"":""WIN""},{""@Name"":""Status"",""#text"":""0xC000006D""},{""@Name"":""FailureReason"",""#text"":""%%2313""},{""@Name"":""SubStatus"",""#text"":""0xC000006A""},{""@Name"":""LogonType"",""#text"":""2""},{""@Name"":""LogonProcessName"",""#text"":""Advapi  ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""WIN""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x1B0C""},{""@Name"":""ProcessName"",""#text"":""C:\\Users\\Admin\\Desktop\\AccountRestore.bin\\AccountRestore.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
10,11303,2023-09-25 20:39:50.8278245,4625,LogAlways,Microsoft-Windows-Security-Auditing,Security,760,5036,WIN,0,,Failed logon,WIN\Admin,WIN (-),Target: WIN\Administrator,LogonType 2,FailureReason1: the cause is either a bad username or authentication information,FailureReason2: user name is correct but the password is wrong,,,C:\Users\Admin\Desktop\AccountRestore.bin\AccountRestore.exe,False,"EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID 4776,4625-AccountRestore local bruteforce.evtx",Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-113448046-927799223-410490820-1001""},{""@Name"":""SubjectUserName"",""#text"":""Admin""},{""@Name"":""SubjectDomainName"",""#text"":""WIN""},{""@Name"":""SubjectLogonId"",""#text"":""0x393F6D""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""Administrator""},{""@Name"":""TargetDomainName"",""#text"":""WIN""},{""@Name"":""Status"",""#text"":""0xC000006D""},{""@Name"":""FailureReason"",""#text"":""%%2313""},{""@Name"":""SubStatus"",""#text"":""0xC000006A""},{""@Name"":""LogonType"",""#text"":""2""},{""@Name"":""LogonProcessName"",""#text"":""Advapi  ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""WIN""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x1B0C""},{""@Name"":""ProcessName"",""#text"":""C:\\Users\\Admin\\Desktop\\AccountRestore.bin\\AccountRestore.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
