RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,70545,2020-08-01 21:17:27.1115826,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login with non existing accounts.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-08-01 21:17:24.4196259\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:9700BDC7-BD3E-4D83-82AF-24126A5691FE\nsession_server_principal_name:\nserver_principal_name:b\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'b'. Reason: Could not find a login matching the name provided. [CLIENT: 10.23.123.11]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;5&lt;/state&gt;&lt;address&gt;10.23.123.11&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
2,70546,2020-08-01 21:17:27.1115826,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login with non existing accounts.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-08-01 21:17:24.4196259\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:02D0B5E7-8C49-46CC-852D-10BB7201B736\nsession_server_principal_name:\nserver_principal_name:q\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'q'. Reason: Could not find a login matching the name provided. [CLIENT: 10.23.123.11]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;5&lt;/state&gt;&lt;address&gt;10.23.123.11&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
3,70547,2020-08-01 21:17:27.1115826,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login with non existing accounts.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-08-01 21:17:24.4196259\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:EE20870D-C03D-4DA0-B274-5D32C76071FD\nsession_server_principal_name:\nserver_principal_name:c\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'c'. Reason: Could not find a login matching the name provided. [CLIENT: 10.23.123.11]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;5&lt;/state&gt;&lt;address&gt;10.23.123.11&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
4,70548,2020-08-01 21:17:27.1115826,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login with non existing accounts.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-08-01 21:17:24.4196259\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:9B2F0B45-846E-42C8-A6AD-285F6F55309B\nsession_server_principal_name:\nserver_principal_name:c\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'c'. Reason: Could not find a login matching the name provided. [CLIENT: 10.23.123.11]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;5&lt;/state&gt;&lt;address&gt;10.23.123.11&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
5,70549,2020-08-01 21:17:27.1115826,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login with non existing accounts.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-08-01 21:17:24.4196259\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:BC6B9FF7-5F53-422E-A546-65705BCBFBCF\nsession_server_principal_name:\nserver_principal_name:c\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'c'. Reason: Could not find a login matching the name provided. [CLIENT: 10.23.123.11]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;5&lt;/state&gt;&lt;address&gt;10.23.123.11&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
6,70550,2020-08-01 21:17:27.1115826,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login with non existing accounts.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-08-01 21:17:24.4196259\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:88EC8010-BED6-4743-A767-521C22202F64\nsession_server_principal_name:\nserver_principal_name:q\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'q'. Reason: Could not find a login matching the name provided. [CLIENT: 10.23.123.11]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;5&lt;/state&gt;&lt;address&gt;10.23.123.11&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
7,70551,2020-08-01 21:17:27.1115826,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login with non existing accounts.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-08-01 21:17:24.4196259\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:9943E669-0E3D-480A-82D9-3DB7D46B26F5\nsession_server_principal_name:\nserver_principal_name:b\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'b'. Reason: Could not find a login matching the name provided. [CLIENT: 10.23.123.11]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;5&lt;/state&gt;&lt;address&gt;10.23.123.11&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
8,70552,2020-08-01 21:17:27.1115826,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login with non existing accounts.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-08-01 21:17:24.4196259\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:6D5F963E-879A-4CCD-BD88-F8A29A46C153\nsession_server_principal_name:\nserver_principal_name:sa\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'sa'. Reason: Password did not match that for the login provided. [CLIENT: 10.23.123.11]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;8&lt;/state&gt;&lt;address&gt;10.23.123.11&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
9,70553,2020-08-01 21:17:27.1115826,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login with non existing accounts.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-08-01 21:17:24.4196259\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:D025A294-F08B-49EF-A8C4-23772228B697\nsession_server_principal_name:\nserver_principal_name:admin-hacker\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'admin-hacker'. Reason: Could not find a login matching the name provided. [CLIENT: 10.23.123.11]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;5&lt;/state&gt;&lt;address&gt;10.23.123.11&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
10,70554,2020-08-01 21:17:27.1115826,33205,LogAlways,MSSQL$RADAR,Application,0,0,mssql01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID33205-SQL Server failed login with non existing accounts.evtx,0x90000000000000,0,"{""EventData"":{""Data"":""audit_schema_version:1\nevent_time:2020-08-01 21:17:24.4196259\nsequence_number:1\naction_id:LGIF\nsucceeded:false\nis_column_permission:false\nsession_id:0\nserver_principal_id:0\ndatabase_principal_id:0\ntarget_server_principal_id:0\ntarget_database_principal_id:0\nobject_id:0\nuser_defined_event_id:0\nclass_type:LX\npermission_bitmask:00000000000000000000000000000000\nsequence_group_id:9DA31164-37BE-419B-A3C1-94A9E80C3230\nsession_server_principal_name:\nserver_principal_name:b\nserver_principal_sid:\ndatabase_principal_name:\ntarget_server_principal_name:\ntarget_server_principal_sid:\ntarget_database_principal_name:\nserver_instance_name:MSSQL01\\RADAR\ndatabase_name:\nschema_name:\nobject_name:\nstatement:Login failed for user 'b'. Reason: Could not find a login matching the name provided. [CLIENT: 10.23.123.11]\nadditional_information:&lt;action_info xmlns=\""http://schemas.microsoft.com/sqlserver/2008/sqlaudit_data\""&gt;&lt;pooled_connection&gt;0&lt;/pooled_connection&gt;&lt;error&gt;0x00004818&lt;/error&gt;&lt;state&gt;5&lt;/state&gt;&lt;address&gt;10.23.123.11&lt;/address&gt;&lt;/action_info&gt;\nuser_defined_information:\n"",""Binary"":""""}}"
