RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1861976,2021-05-20 12:49:31.8631818,1102,Info,Microsoft-Windows-Eventlog,Security,948,5600,fs01.offsec.lan,0,,Event log cleared,OFFSEC\admmig,,SID: (S-1-5-21-4230534742-2542757381-3142984815-1111),,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4625-OpenSSH brutforce with non existing users.evtx,0x4020000000000000,0,"{""UserData"":{""LogFileCleared"":{""SubjectUserSid"":""S-1-5-21-4230534742-2542757381-3142984815-1111"",""SubjectUserName"":""admmig"",""SubjectDomainName"":""OFFSEC"",""SubjectLogonId"":""0x3BF2653""}}}"
2,1861977,2021-05-20 12:49:46.6582729,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3868,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Program Files\OpenSSH-Win64\sshd.exe,PID: 0x16D8,Parent PID: 0x11F0,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,"C:\Program Files\OpenSSH-Win64\sshd.exe ""C:\Program Files\OpenSSH-Win64\sshd.exe"" -R",False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4625-OpenSSH brutforce with non existing users.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x16D8""},{""@Name"":""NewProcessName"",""#text"":""C:\\Program Files\\OpenSSH-Win64\\sshd.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x11F0""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Program Files\\OpenSSH-Win64\\sshd.exe\"" -R""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Program Files\\OpenSSH-Win64\\sshd.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
3,1861978,2021-05-20 12:49:46.8484303,4717,LogAlways,Microsoft-Windows-Security-Auditing,Security,576,108,fs01.offsec.lan,0,,System security access was granted to an account,OFFSEC\FS01$ (S-1-5-18),,TargetSID: S-1-5-111-3847866527-469524349-687026318-516638107-1125189541-5848,AccessGranted: SeServiceLogonRight,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4625-OpenSSH brutforce with non existing users.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetSid"",""#text"":""S-1-5-111-3847866527-469524349-687026318-516638107-1125189541-5848""},{""@Name"":""AccessGranted"",""#text"":""SeServiceLogonRight""}]}}"
4,1861979,2021-05-20 12:49:46.8493026,4673,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3868,fs01.offsec.lan,0,,A privileged service was called,OFFSEC\FS01$ (S-1-5-18),,PrivilegeList: SeTcbPrivilege,ObjectServer: NT Local Security Authority / Authentication Service,LogonId: 0x3E7,Service: LsaRegisterLogonProcess(),,,C:\Windows\System32\lsass.exe (PID: 0x240),False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4625-OpenSSH brutforce with non existing users.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""ObjectServer"",""#text"":""NT Local Security Authority / Authentication Service""},{""@Name"":""Service"",""#text"":""LsaRegisterLogonProcess()""},{""@Name"":""PrivilegeList"",""#text"":""SeTcbPrivilege""},{""@Name"":""ProcessId"",""#text"":""0x240""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
5,1861980,2021-05-20 12:49:46.8759907,4648,LogAlways,Microsoft-Windows-Security-Auditing,Security,576,108,fs01.offsec.lan,0,,A logon was attempted using explicit credentials,OFFSEC\FS01$,-:-,Target: VIRTUAL USERS\sshd_5848,TargetServerName: localhost,PID: 0x16D8,TargetInfo: localhost,,,C:\Program Files\OpenSSH-Win64\sshd.exe,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4625-OpenSSH brutforce with non existing users.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetUserName"",""#text"":""sshd_5848""},{""@Name"":""TargetDomainName"",""#text"":""VIRTUAL USERS""},{""@Name"":""TargetLogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TargetServerName"",""#text"":""localhost""},{""@Name"":""TargetInfo"",""#text"":""localhost""},{""@Name"":""ProcessId"",""#text"":""0x16D8""},{""@Name"":""ProcessName"",""#text"":""C:\\Program Files\\OpenSSH-Win64\\sshd.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""}]}}"
6,1861981,2021-05-20 12:49:46.8760918,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,576,108,fs01.offsec.lan,0,,Successful logon,OFFSEC\FS01$,- (-),Target: VIRTUAL USERS\sshd_5848,LogonType 5,LogonId: 0x3C569ED,AuthenticationPackageName: Negotiate,"LogonProcessName: Advapi  ",,C:\Program Files\OpenSSH-Win64\sshd.exe,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4625-OpenSSH brutforce with non existing users.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-111-3847866527-469524349-687026318-516638107-1125189541-5848""},{""@Name"":""TargetUserName"",""#text"":""sshd_5848""},{""@Name"":""TargetDomainName"",""#text"":""VIRTUAL USERS""},{""@Name"":""TargetLogonId"",""#text"":""0x3C569ED""},{""@Name"":""LogonType"",""#text"":""5""},{""@Name"":""LogonProcessName"",""#text"":""Advapi  ""},{""@Name"":""AuthenticationPackageName"",""#text"":""Negotiate""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x16D8""},{""@Name"":""ProcessName"",""#text"":""C:\\Program Files\\OpenSSH-Win64\\sshd.exe""},{""@Name"":""IpAddress"",""#text"":""-""},{""@Name"":""IpPort"",""#text"":""-""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1842""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
7,1861982,2021-05-20 12:49:46.8761123,4627,LogAlways,Microsoft-Windows-Security-Auditing,Security,576,108,fs01.offsec.lan,0,,,,,,,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4625-OpenSSH brutforce with non existing users.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-111-3847866527-469524349-687026318-516638107-1125189541-5848""},{""@Name"":""TargetUserName"",""#text"":""sshd_5848""},{""@Name"":""TargetDomainName"",""#text"":""VIRTUAL USERS""},{""@Name"":""TargetLogonId"",""#text"":""0x3C569ED""},{""@Name"":""LogonType"",""#text"":""5""},{""@Name"":""EventIdx"",""#text"":""1""},{""@Name"":""EventCountTotal"",""#text"":""1""},{""@Name"":""GroupMembership"",""#text"":"", %{S-1-16-12288}, %{S-1-1-0}, %{S-1-5-32-545}, %{S-1-5-6}, %{S-1-2-1}, %{S-1-5-11}, %{S-1-5-15}, %{S-1-2-0}, %{S-1-5-111-0}""}]}}"
8,1861983,2021-05-20 12:49:46.8761188,4672,LogAlways,Microsoft-Windows-Security-Auditing,Security,576,108,fs01.offsec.lan,0,,Administrative logon,VIRTUAL USERS\sshd_5848 (S-1-5-111-3847866527-469524349-687026318-516638107-1125189541-5848),,PrivilegeList: SeImpersonatePrivilege,LogonId: 0x3C569ED,,,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4625-OpenSSH brutforce with non existing users.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-111-3847866527-469524349-687026318-516638107-1125189541-5848""},{""@Name"":""SubjectUserName"",""#text"":""sshd_5848""},{""@Name"":""SubjectDomainName"",""#text"":""VIRTUAL USERS""},{""@Name"":""SubjectLogonId"",""#text"":""0x3C569ED""},{""@Name"":""PrivilegeList"",""#text"":""SeImpersonatePrivilege""}]}}"
9,1861984,2021-05-20 12:49:46.8764888,4718,LogAlways,Microsoft-Windows-Security-Auditing,Security,576,108,fs01.offsec.lan,0,,System security access was removed from an account,OFFSEC\FS01$ (S-1-5-18),,TargetSID: S-1-5-111-3847866527-469524349-687026318-516638107-1125189541-5848,AccessRemoved: SeServiceLogonRight,,,,," (PID: )",False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4625-OpenSSH brutforce with non existing users.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""TargetSid"",""#text"":""S-1-5-111-3847866527-469524349-687026318-516638107-1125189541-5848""},{""@Name"":""AccessRemoved"",""#text"":""SeServiceLogonRight""}]}}"
10,1861985,2021-05-20 12:49:46.8782532,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3868,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Program Files\OpenSSH-Win64\sshd.exe,PID: 0xD20,Parent PID: 0x16D8,Mandatory label: SECURITY_MANDATORY_HIGH_RID,Target User: VIRTUAL USERS\sshd_5848,,"C:\Program Files\OpenSSH-Win64\sshd.exe ""C:\Program Files\OpenSSH-Win64\sshd.exe"" -y",False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4625-OpenSSH brutforce with non existing users.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xD20""},{""@Name"":""NewProcessName"",""#text"":""C:\\Program Files\\OpenSSH-Win64\\sshd.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x16D8""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Program Files\\OpenSSH-Win64\\sshd.exe\"" -y""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""sshd_5848""},{""@Name"":""TargetDomainName"",""#text"":""VIRTUAL USERS""},{""@Name"":""TargetLogonId"",""#text"":""0x3C569ED""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Program Files\\OpenSSH-Win64\\sshd.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-12288""}]}}"
