RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,232648707,2021-12-03 12:06:03.4887136,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,1120,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:48932,Target: OFFSEC.LAN\Administrator,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,"Status: KDC_ERR_CLIENT_REVOKED - Client's credentials have been revoked - This might be because of an explicit disabling or because of other restrictions in place on the account. For example, account disabled, expired, or locked out.",PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos user enumeration (Kerbrute).evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""Administrator""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x12""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""48932""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
2,232648708,2021-12-03 12:06:03.4932071,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,1120,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:48934,Target: OFFSEC.LAN\Guest,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,"Status: KDC_ERR_CLIENT_REVOKED - Client's credentials have been revoked - This might be because of an explicit disabling or because of other restrictions in place on the account. For example, account disabled, expired, or locked out.",PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos user enumeration (Kerbrute).evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""Guest""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x12""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""48934""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
3,232648709,2021-12-03 12:06:03.4978326,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,1120,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:48936,Target: OFFSEC.LAN\DefaultAccount,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,"Status: KDC_ERR_CLIENT_REVOKED - Client's credentials have been revoked - This might be because of an explicit disabling or because of other restrictions in place on the account. For example, account disabled, expired, or locked out.",PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos user enumeration (Kerbrute).evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""DefaultAccount""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x12""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""48936""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
4,232648710,2021-12-03 12:06:03.5104923,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2784,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:48938,Target: OFFSEC.LAN\krbtgt,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,"Status: KDC_ERR_CLIENT_REVOKED - Client's credentials have been revoked - This might be because of an explicit disabling or because of other restrictions in place on the account. For example, account disabled, expired, or locked out.",PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos user enumeration (Kerbrute).evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""krbtgt""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x12""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""48938""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
5,232648711,2021-12-03 12:06:03.8472668,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,1120,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:48942,Target: OFFSEC.LAN\admmig,ServiceName: krbtgt,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-502,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,PreAuthType: PA-ENC-TIMESTAMP - This type is normal for standard password authentication.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos user enumeration (Kerbrute).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""ServiceName"",""#text"":""krbtgt""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-502""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""PreAuthType"",""#text"":""2""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""48942""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
6,232648712,2021-12-03 12:06:04.1931818,4771,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2784,rootdc1.offsec.lan,0,,Kerberos pre-authentication failed,,::ffff:10.23.123.11:48946,Target: svc-ata (S-1-5-21-4230534742-2542757381-3142984815-1119),ServiceName: krbtgt/OFFSEC.LAN,Status: KDC_ERR_PREAUTH_FAILED - Pre-authentication information was invalid - The wrong password was provided.,PreAuthType: PA-ENC-TIMESTAMP - This type is normal for standard password authentication.,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos user enumeration (Kerbrute).evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""svc-ata""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1119""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x18""},{""@Name"":""PreAuthType"",""#text"":""2""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""48946""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
7,232648719,2021-12-03 12:06:04.5642018,4771,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2784,rootdc1.offsec.lan,0,,Kerberos pre-authentication failed,,::ffff:10.23.123.11:48950,Target: svc_nxlog (S-1-5-21-4230534742-2542757381-3142984815-1129),ServiceName: krbtgt/OFFSEC.LAN,Status: KDC_ERR_PREAUTH_FAILED - Pre-authentication information was invalid - The wrong password was provided.,PreAuthType: PA-ENC-TIMESTAMP - This type is normal for standard password authentication.,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos user enumeration (Kerbrute).evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""svc_nxlog""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1129""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x18""},{""@Name"":""PreAuthType"",""#text"":""2""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""48950""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
8,232648720,2021-12-03 12:06:04.9001557,4771,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2784,rootdc1.offsec.lan,0,,Kerberos pre-authentication failed,,::ffff:10.23.123.11:48954,Target: admin-hacker (S-1-5-21-4230534742-2542757381-3142984815-1147),ServiceName: krbtgt/OFFSEC.LAN,Status: KDC_ERR_PREAUTH_FAILED - Pre-authentication information was invalid - The wrong password was provided.,PreAuthType: PA-ENC-TIMESTAMP - This type is normal for standard password authentication.,,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos user enumeration (Kerbrute).evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admin-hacker""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1147""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x18""},{""@Name"":""PreAuthType"",""#text"":""2""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""48954""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
9,232648721,2021-12-03 12:06:04.9041134,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,1120,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:48956,Target: OFFSEC.LAN\Test-ADM,ServiceName: krbtgt/OFFSEC.LAN,ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,"Status: KDC_ERR_CLIENT_REVOKED - Client's credentials have been revoked - This might be because of an explicit disabling or because of other restrictions in place on the account. For example, account disabled, expired, or locked out.",PreAuthType: This type shows in Audit Failure events.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos user enumeration (Kerbrute).evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""Test-ADM""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-0-0""},{""@Name"":""ServiceName"",""#text"":""krbtgt/OFFSEC.LAN""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x12""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""PreAuthType"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""48956""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
10,232648722,2021-12-03 12:06:04.9107426,4768,LogAlways,Microsoft-Windows-Security-Auditing,Security,596,2372,rootdc1.offsec.lan,0,,A Kerberos authentication ticket (TGT) was requested,,::ffff:10.23.123.11:48958,Target: OFFSEC.LAN\admin-test,ServiceName: krbtgt,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-502,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,PreAuthType: Logon without Pre-Authentication.,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1110.xxx-Brut force\ID4768-4771-Kerberos user enumeration (Kerbrute).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admin-test""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1620""},{""@Name"":""ServiceName"",""#text"":""krbtgt""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-502""},{""@Name"":""TicketOptions"",""#text"":""0x50800000""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""PreAuthType"",""#text"":""0""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.123.11""},{""@Name"":""IpPort"",""#text"":""48958""},{""@Name"":""CertIssuerName""},{""@Name"":""CertSerialNumber""},{""@Name"":""CertThumbprint""}]}}"
