RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,24491689,2020-08-02 12:26:03.7027823,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,5400,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:56062,Target: offsec.lan\gold-non-existing-user@offsec.lan,ServiceName: ROOTDC2$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1120,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Golden ticket issued.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""gold-non-existing-user@offsec.lan""},{""@Name"":""TargetDomainName"",""#text"":""offsec.lan""},{""@Name"":""ServiceName"",""#text"":""ROOTDC2$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1120""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""56062""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""b1df5cef-5d64-c02a-0dff-c718df3240de""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
2,24491697,2020-08-02 12:26:11.4378315,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,5400,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:56069,Target: offsec.lan\gold-non-existing-user@offsec.lan,ServiceName: ROOTDC2$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1120,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Golden ticket issued.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""gold-non-existing-user@offsec.lan""},{""@Name"":""TargetDomainName"",""#text"":""offsec.lan""},{""@Name"":""ServiceName"",""#text"":""ROOTDC2$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1120""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""56069""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""0ae4af39-2dcb-973a-04f9-27224101bc40""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
3,24491714,2020-08-02 12:26:20.4247542,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,5400,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:56072,Target: offsec.lan\gold-non-existing-user@offsec.lan,ServiceName: ROOTDC1$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1000,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Golden ticket issued.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""gold-non-existing-user@offsec.lan""},{""@Name"":""TargetDomainName"",""#text"":""offsec.lan""},{""@Name"":""ServiceName"",""#text"":""ROOTDC1$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1000""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""56072""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""d5c03351-7ddb-c3ca-f169-0761c0f89f3e""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
4,24491767,2020-08-02 12:27:02.3872969,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,5400,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:56077,Target: offsec.lan\gold-non-existing-user@offsec.lan,ServiceName: ROOTDC1$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1000,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Golden ticket issued.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""gold-non-existing-user@offsec.lan""},{""@Name"":""TargetDomainName"",""#text"":""offsec.lan""},{""@Name"":""ServiceName"",""#text"":""ROOTDC1$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1000""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""56077""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""b9070d09-dcc6-ca8d-0814-ff8b69b4064c""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
5,24491864,2020-08-02 12:27:19.0563366,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,988,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::1:0,Target: OFFSEC.LAN\ROOTDC1$@OFFSEC.LAN,ServiceName: ROOTDC1$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1000,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Golden ticket issued.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""ROOTDC1$@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""ROOTDC1$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1000""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::1""},{""@Name"":""IpPort"",""#text"":""0""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""92678287-6a01-dcdd-9219-38527326b58a""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
6,24492808,2020-08-02 12:27:19.7427119,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,988,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::1:0,Target: OFFSEC.LAN\ROOTDC1$@OFFSEC.LAN,ServiceName: ROOTDC1$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1000,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Golden ticket issued.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""ROOTDC1$@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""ROOTDC1$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1000""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::1""},{""@Name"":""IpPort"",""#text"":""0""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""92678287-6a01-dcdd-9219-38527326b58a""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
7,24493302,2020-08-02 12:31:20.5660206,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,5400,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:56194,Target: offsec.lan\gold-non-existing-user@offsec.lan,ServiceName: ROOTDC1$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1000,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Golden ticket issued.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""gold-non-existing-user@offsec.lan""},{""@Name"":""TargetDomainName"",""#text"":""offsec.lan""},{""@Name"":""ServiceName"",""#text"":""ROOTDC1$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1000""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""56194""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""53d2f4d0-cab5-9566-d276-17586dbd0cbb""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
8,24493303,2020-08-02 12:31:20.5676008,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,5400,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:56195,Target: offsec.lan\gold-non-existing-user@offsec.lan,ServiceName: krbtgt,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-502,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Golden ticket issued.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""gold-non-existing-user@offsec.lan""},{""@Name"":""TargetDomainName"",""#text"":""offsec.lan""},{""@Name"":""ServiceName"",""#text"":""krbtgt""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-502""},{""@Name"":""TicketOptions"",""#text"":""0x60810010""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""56195""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""53d2f4d0-cab5-9566-d276-17586dbd0cbb""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
9,24493330,2020-08-02 12:31:20.9253645,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,2620,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:56199,Target: offsec.lan\gold-non-existing-user@offsec.lan,ServiceName: FS02$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1105,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Golden ticket issued.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""gold-non-existing-user@offsec.lan""},{""@Name"":""TargetDomainName"",""#text"":""offsec.lan""},{""@Name"":""ServiceName"",""#text"":""FS02$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1105""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""56199""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""53d2f4d0-cab5-9566-d276-17586dbd0cbb""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
10,24493332,2020-08-02 12:31:20.9268646,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,5400,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:56198,Target: offsec.lan\gold-non-existing-user@offsec.lan,ServiceName: MSSQL01$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1123,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Golden ticket issued.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""gold-non-existing-user@offsec.lan""},{""@Name"":""TargetDomainName"",""#text"":""offsec.lan""},{""@Name"":""ServiceName"",""#text"":""MSSQL01$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1123""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""56198""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""53d2f4d0-cab5-9566-d276-17586dbd0cbb""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
