RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,24476804,2020-08-02 11:33:06.5211596,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,2620,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:55179,Target: \,"ServiceName: ",ServiceSid: S-1-0-0,TicketEncryptionType: Audit Failure,"Status: KRB_AP_ERR_SKEW - The clock skew is too great - This error is logged if a client computer sends a timestamp whose value differs from that of the server's timestamp by more than the number of minutes found in the ""Maximum tolerance for computer clock synchronization"" setting in Kerberos policy.",,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Kerberoast ticket with low encryption.evtx,Audit failure,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName""},{""@Name"":""TargetDomainName""},{""@Name"":""ServiceName""},{""@Name"":""ServiceSid"",""#text"":""S-1-0-0""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0xFFFFFFFF""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""55179""},{""@Name"":""Status"",""#text"":""0x25""},{""@Name"":""LogonGuid"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
2,24476805,2020-08-02 11:33:06.5234378,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,2620,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:55180,Target: OFFSEC.LAN\admmig@OFFSEC.LAN,ServiceName: Svc-SQL-DB01,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1171,TicketEncryptionType: RC4-HMAC,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Kerberoast ticket with low encryption.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""Svc-SQL-DB01""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1171""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x17""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""55180""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""ed648110-acf3-7f43-0ccb-256ef183156d""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
3,24477165,2020-08-02 11:37:11.8472983,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,556,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::1:0,Target: OFFSEC.LAN\ROOTDC1$@OFFSEC.LAN,ServiceName: ROOTDC1$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1000,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Kerberoast ticket with low encryption.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""ROOTDC1$@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""ROOTDC1$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1000""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::1""},{""@Name"":""IpPort"",""#text"":""0""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""cbc3e78b-1536-ea74-415a-4dc1d4989a16""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
4,24478113,2020-08-02 11:37:12.5677711,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,3936,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::1:0,Target: OFFSEC.LAN\ROOTDC1$@OFFSEC.LAN,ServiceName: ROOTDC1$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1000,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Kerberoast ticket with low encryption.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""ROOTDC1$@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""ROOTDC1$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1000""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::1""},{""@Name"":""IpPort"",""#text"":""0""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""58c34c13-bf89-aa22-ba63-ba320a04e0f6""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
5,24478165,2020-08-02 11:37:54.8983729,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,2620,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.42.22:54273,Target: OFFSEC.LAN\WEC01$@OFFSEC.LAN,ServiceName: ROOTDC1$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1000,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Kerberoast ticket with low encryption.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""WEC01$@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""ROOTDC1$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1000""},{""@Name"":""TicketOptions"",""#text"":""0x40800000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.42.22""},{""@Name"":""IpPort"",""#text"":""54273""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""790d9d18-b314-17d0-d833-ce58448a3177""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
6,24478170,2020-08-02 11:37:54.9991603,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,2620,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.42.22:54275,Target: OFFSEC.LAN\WEC01$@OFFSEC.LAN,ServiceName: WEC01$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1113,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Kerberoast ticket with low encryption.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""WEC01$@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""WEC01$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1113""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.42.22""},{""@Name"":""IpPort"",""#text"":""54275""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""790d9d18-b314-17d0-d833-ce58448a3177""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
7,24478171,2020-08-02 11:37:55.1422907,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,2620,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.42.22:54277,Target: OFFSEC.LAN\WEC01$@OFFSEC.LAN,ServiceName: ROOTDC2$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1120,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Kerberoast ticket with low encryption.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""WEC01$@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""ROOTDC2$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1120""},{""@Name"":""TicketOptions"",""#text"":""0x40800000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.42.22""},{""@Name"":""IpPort"",""#text"":""54277""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""b31b1fa6-f0c7-a129-fa95-61b9def52544""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
8,24478172,2020-08-02 11:37:55.4835696,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,2620,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.42.22:54279,Target: OFFSEC.LAN\WEC01$@OFFSEC.LAN,ServiceName: ROOTDC1$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1000,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Kerberoast ticket with low encryption.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""WEC01$@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""ROOTDC1$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1000""},{""@Name"":""TicketOptions"",""#text"":""0x40800000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.42.22""},{""@Name"":""IpPort"",""#text"":""54279""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""b31b1fa6-f0c7-a129-fa95-61b9def52544""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
9,24478173,2020-08-02 11:37:55.4846530,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,2620,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.42.22:54280,Target: OFFSEC.LAN\WEC01$@OFFSEC.LAN,ServiceName: krbtgt,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-502,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Kerberoast ticket with low encryption.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""WEC01$@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""krbtgt""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-502""},{""@Name"":""TicketOptions"",""#text"":""0x60810010""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.42.22""},{""@Name"":""IpPort"",""#text"":""54280""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""b31b1fa6-f0c7-a129-fa95-61b9def52544""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
10,24478189,2020-08-02 11:37:55.6258150,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,516,2620,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.42.22:54285,Target: OFFSEC.LAN\WEC01$@OFFSEC.LAN,ServiceName: ROOTDC1$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1000,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0006-Credential Access\T1558-Steal or Forge Kerberos Tickets\ID4769-Kerberoast ticket with low encryption.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""WEC01$@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""ROOTDC1$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1000""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.42.22""},{""@Name"":""IpPort"",""#text"":""54285""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""b31b1fa6-f0c7-a129-fa95-61b9def52544""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
