RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,740,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""if ($(Microsoft.PowerShell.Core\\Get-Command Set-StrictMode -Module Microsoft.PowerShell.Core)) { Microsoft.PowerShell.Core\\Set-StrictMode -Off }\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=21\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=if ($(Microsoft.PowerShell.Core\\Get-Command Set-StrictMode -Module Microsoft.PowerShell.Core)) { Microsoft.PowerShell.Core\\Set-StrictMode -Off }\n, CommandInvocation(Get-Command): \""Get-Command\""\nParameterBinding(Get-Command): name=\""Module\""; value=\""Microsoft.PowerShell.Core\""\nParameterBinding(Get-Command): name=\""Name\""; value=\""Set-StrictMode\""\n"",""Binary"":""""}}"
2,741,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""if ($(Microsoft.PowerShell.Core\\Get-Command Set-StrictMode -Module Microsoft.PowerShell.Core)) { Microsoft.PowerShell.Core\\Set-StrictMode -Off }\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=23\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=if ($(Microsoft.PowerShell.Core\\Get-Command Set-StrictMode -Module Microsoft.PowerShell.Core)) { Microsoft.PowerShell.Core\\Set-StrictMode -Off }\n, CommandInvocation(Set-StrictMode): \""Set-StrictMode\""\nParameterBinding(Set-StrictMode): name=\""Off\""; value=\""True\""\n"",""Binary"":""""}}"
3,742,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""$script:PrivateData = Microsoft.PowerShell.Utility\\New-Object 'System.Collections.Generic.Dictionary[string,string]'\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=25\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=$script:PrivateData = Microsoft.PowerShell.Utility\\New-Object 'System.Collections.Generic.Dictionary[string,string]'\n, CommandInvocation(New-Object): \""New-Object\""\nParameterBinding(New-Object): name=\""TypeName\""; value=\""System.Collections.Generic.Dictionary[string,string]\""\n"",""Binary"":""""}}"
4,743,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft.PowerShell.Core\\Export-ModuleMember -Function @()\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=27\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=Microsoft.PowerShell.Core\\Export-ModuleMember -Function @()\n, CommandInvocation(Export-ModuleMember): \""Export-ModuleMember\""\nParameterBinding(Export-ModuleMember): name=\""Function\""; value=\""\""\n"",""Binary"":""""}}"
5,744,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'New-NetFirewallRule'\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=29\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'New-NetFirewallRule'\n, CommandInvocation(Export-ModuleMember): \""Export-ModuleMember\""\nParameterBinding(Export-ModuleMember): name=\""Function\""; value=\""New-NetFirewallRule\""\n"",""Binary"":""""}}"
6,745,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Show-NetFirewallRule'\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=31\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Show-NetFirewallRule'\n, CommandInvocation(Export-ModuleMember): \""Export-ModuleMember\""\nParameterBinding(Export-ModuleMember): name=\""Function\""; value=\""Show-NetFirewallRule\""\n"",""Binary"":""""}}"
7,746,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Get-NetFirewallRule'\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=33\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Get-NetFirewallRule'\n, CommandInvocation(Export-ModuleMember): \""Export-ModuleMember\""\nParameterBinding(Export-ModuleMember): name=\""Function\""; value=\""Get-NetFirewallRule\""\n"",""Binary"":""""}}"
8,747,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Set-NetFirewallRule'\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=35\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Set-NetFirewallRule'\n, CommandInvocation(Export-ModuleMember): \""Export-ModuleMember\""\nParameterBinding(Export-ModuleMember): name=\""Function\""; value=\""Set-NetFirewallRule\""\n"",""Binary"":""""}}"
9,748,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Remove-NetFirewallRule'\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=37\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Remove-NetFirewallRule'\n, CommandInvocation(Export-ModuleMember): \""Export-ModuleMember\""\nParameterBinding(Export-ModuleMember): name=\""Function\""; value=\""Remove-NetFirewallRule\""\n"",""Binary"":""""}}"
10,749,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Rename-NetFirewallRule'\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=39\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Rename-NetFirewallRule'\n, CommandInvocation(Export-ModuleMember): \""Export-ModuleMember\""\nParameterBinding(Export-ModuleMember): name=\""Function\""; value=\""Rename-NetFirewallRule\""\n"",""Binary"":""""}}"
11,750,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Copy-NetFirewallRule'\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=41\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Copy-NetFirewallRule'\n, CommandInvocation(Export-ModuleMember): \""Export-ModuleMember\""\nParameterBinding(Export-ModuleMember): name=\""Function\""; value=\""Copy-NetFirewallRule\""\n"",""Binary"":""""}}"
12,751,2021-10-25 07:23:05.0000000,800,Info,PowerShell,Windows PowerShell,0,0,FS03.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=4.0
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1016-System Network Configuration Discovery\ID800-4103-4104-Firewall configuration enumerated (PowerShell).evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Enable-NetFirewallRule'\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=43\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=4.0\n\tHostId=ae3b6f96-abd2-46e7-9579-99db2437fdda\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=4.0\n\tRunspaceId=fed00f7d-57af-47e8-85fc-6cb6933b3891\n\tPipelineId=7\n\tScriptName=\n\tCommandLine=Microsoft.PowerShell.Core\\Export-ModuleMember -Function 'Enable-NetFirewallRule'\n, CommandInvocation(Export-ModuleMember): \""Export-ModuleMember\""\nParameterBinding(Export-ModuleMember): name=\""Function\""; value=\""Enable-NetFirewallRule\""\n"",""Binary"":""""}}"
