RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,141120255,2021-05-03 08:16:43.0052278,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3812,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_SERVER,"ObjectName: CN=Server,CN=System,DC=offsec,DC=lan",,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4661-SAM sensitive domain users & groups discovery.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x46920341""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_SERVER""},{""@Name"":""ObjectName"",""#text"":""CN=Server,CN=System,DC=offsec,DC=lan""},{""@Name"":""HandleId"",""#text"":""0x12A91586010""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5376, %%5377, %%5378, %%5379, %%5380, %%5381, %%5382, %%5383, %%5384, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967aad-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x224""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
2,141120256,2021-05-03 08:16:43.0069418,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3812,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_DOMAIN,"ObjectName: DC=offsec,DC=lan",,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4661-SAM sensitive domain users & groups discovery.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x46920341""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_DOMAIN""},{""@Name"":""ObjectName"",""#text"":""DC=offsec,DC=lan""},{""@Name"":""HandleId"",""#text"":""0x12A91585B40""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5392, %%5394, %%5395, %%5396, %%5397, %%5398, %%5399, %%5400, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FD""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {19195a5a-6da0-11d0-afd3-00c04fd930c9}, %%1537, %%1538, %%1539, %%1540, %%5392, %%5394, %%5395, %%5396, %%5397, %%5398, %%5399, %%5400, {c7407360-20bf-11d0-a768-00aa006e0529}, {bf9679a4-0de6-11d0-a285-00aa003049e2}, {bf9679a5-0de6-11d0-a285-00aa003049e2}, {bf9679a6-0de6-11d0-a285-00aa003049e2}, {bf9679bb-0de6-11d0-a285-00aa003049e2}, {bf9679c2-0de6-11d0-a285-00aa003049e2}, {bf9679c3-0de6-11d0-a285-00aa003049e2}, {bf967a09-0de6-11d0-a285-00aa003049e2}, {bf967a0b-0de6-11d0-a285-00aa003049e2}, {b8119fd0-04f6-4762-ab7a-4986c76b3f9a}, {bf967a34-0de6-11d0-a285-00aa003049e2}, {bf967a33-0de6-11d0-a285-00aa003049e2}, {bf9679c5-0de6-11d0-a285-00aa003049e2}, {bf967a61-0de6-11d0-a285-00aa003049e2}, {bf967977-0de6-11d0-a285-00aa003049e2}, {bf96795e-0de6-11d0-a285-00aa003049e2}, {bf9679ea-0de6-11d0-a285-00aa003049e2}, {ab721a52-1e2f-11d0-9819-00aa0040529b}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x224""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
3,141120257,2021-05-03 08:16:43.0082531,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3812,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_GROUP,ObjectName: S-1-5-21-4230534742-2542757381-3142984815-512,,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4661-SAM sensitive domain users & groups discovery.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x46920341""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_GROUP""},{""@Name"":""ObjectName"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-512""},{""@Name"":""HandleId"",""#text"":""0x12A91585670""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5408, %%5409, %%5410, %%5411, %%5412, %%5413, %%5415, %%5416, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01BF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967a9c-0de6-11d0-a285-00aa003049e2}, %%1537, %%1538, %%1539, %%1540, %%5408, %%5409, %%5410, %%5411, %%5412, %%5413, %%5415, %%5416, {bf9679e8-0de6-11d0-a285-00aa003049e2}, {3e0abfd0-126a-11d0-a060-00aa006c33ed}, {bc0ac240-79a9-11d0-9020-00c04fc2d4cf}, {bf9679c0-0de6-11d0-a285-00aa003049e2}, {59ba2f42-79a2-11d0-9020-00c04fc2d3cf}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x224""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
4,141120262,2021-05-03 08:16:43.0143007,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3812,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_SERVER,"ObjectName: CN=Server,CN=System,DC=offsec,DC=lan",,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4661-SAM sensitive domain users & groups discovery.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x46920341""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_SERVER""},{""@Name"":""ObjectName"",""#text"":""CN=Server,CN=System,DC=offsec,DC=lan""},{""@Name"":""HandleId"",""#text"":""0x12A91585670""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5376, %%5377, %%5378, %%5379, %%5380, %%5381, %%5382, %%5383, %%5384, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967aad-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x224""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
5,141120263,2021-05-03 08:16:43.0159200,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3812,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_DOMAIN,"ObjectName: DC=offsec,DC=lan",,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4661-SAM sensitive domain users & groups discovery.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x46920341""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_DOMAIN""},{""@Name"":""ObjectName"",""#text"":""DC=offsec,DC=lan""},{""@Name"":""HandleId"",""#text"":""0x12A91586010""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5392, %%5394, %%5395, %%5396, %%5397, %%5398, %%5399, %%5400, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FD""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {19195a5a-6da0-11d0-afd3-00c04fd930c9}, %%1537, %%1538, %%1539, %%1540, %%5392, %%5394, %%5395, %%5396, %%5397, %%5398, %%5399, %%5400, {c7407360-20bf-11d0-a768-00aa006e0529}, {bf9679a4-0de6-11d0-a285-00aa003049e2}, {bf9679a5-0de6-11d0-a285-00aa003049e2}, {bf9679a6-0de6-11d0-a285-00aa003049e2}, {bf9679bb-0de6-11d0-a285-00aa003049e2}, {bf9679c2-0de6-11d0-a285-00aa003049e2}, {bf9679c3-0de6-11d0-a285-00aa003049e2}, {bf967a09-0de6-11d0-a285-00aa003049e2}, {bf967a0b-0de6-11d0-a285-00aa003049e2}, {b8119fd0-04f6-4762-ab7a-4986c76b3f9a}, {bf967a34-0de6-11d0-a285-00aa003049e2}, {bf967a33-0de6-11d0-a285-00aa003049e2}, {bf9679c5-0de6-11d0-a285-00aa003049e2}, {bf967a61-0de6-11d0-a285-00aa003049e2}, {bf967977-0de6-11d0-a285-00aa003049e2}, {bf96795e-0de6-11d0-a285-00aa003049e2}, {bf9679ea-0de6-11d0-a285-00aa003049e2}, {ab721a52-1e2f-11d0-9819-00aa0040529b}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x224""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
6,141120264,2021-05-03 08:16:43.0170370,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,3812,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_GROUP,ObjectName: S-1-5-21-4230534742-2542757381-3142984815-512,,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4661-SAM sensitive domain users & groups discovery.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x46920341""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_GROUP""},{""@Name"":""ObjectName"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-512""},{""@Name"":""HandleId"",""#text"":""0x12A91585B40""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5408, %%5409, %%5410, %%5411, %%5412, %%5413, %%5415, %%5416, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01BF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967a9c-0de6-11d0-a285-00aa003049e2}, %%1537, %%1538, %%1539, %%1540, %%5408, %%5409, %%5410, %%5411, %%5412, %%5413, %%5415, %%5416, {bf9679e8-0de6-11d0-a285-00aa003049e2}, {3e0abfd0-126a-11d0-a060-00aa006c33ed}, {bc0ac240-79a9-11d0-9020-00c04fc2d4cf}, {bf9679c0-0de6-11d0-a285-00aa003049e2}, {59ba2f42-79a2-11d0-9020-00c04fc2d3cf}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x224""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
7,141120280,2021-05-03 08:16:52.1498821,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1680,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_SERVER,"ObjectName: CN=Server,CN=System,DC=offsec,DC=lan",,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4661-SAM sensitive domain users & groups discovery.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x46920341""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_SERVER""},{""@Name"":""ObjectName"",""#text"":""CN=Server,CN=System,DC=offsec,DC=lan""},{""@Name"":""HandleId"",""#text"":""0x12A8E0B9010""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5376, %%5377, %%5378, %%5379, %%5380, %%5381, %%5382, %%5383, %%5384, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967aad-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x224""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
8,141120281,2021-05-03 08:16:52.1519707,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1680,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_DOMAIN,"ObjectName: DC=offsec,DC=lan",,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4661-SAM sensitive domain users & groups discovery.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x46920341""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_DOMAIN""},{""@Name"":""ObjectName"",""#text"":""DC=offsec,DC=lan""},{""@Name"":""HandleId"",""#text"":""0x12A8E0B94E0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5392, %%5394, %%5395, %%5396, %%5397, %%5398, %%5399, %%5400, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FD""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {19195a5a-6da0-11d0-afd3-00c04fd930c9}, %%1537, %%1538, %%1539, %%1540, %%5392, %%5394, %%5395, %%5396, %%5397, %%5398, %%5399, %%5400, {c7407360-20bf-11d0-a768-00aa006e0529}, {bf9679a4-0de6-11d0-a285-00aa003049e2}, {bf9679a5-0de6-11d0-a285-00aa003049e2}, {bf9679a6-0de6-11d0-a285-00aa003049e2}, {bf9679bb-0de6-11d0-a285-00aa003049e2}, {bf9679c2-0de6-11d0-a285-00aa003049e2}, {bf9679c3-0de6-11d0-a285-00aa003049e2}, {bf967a09-0de6-11d0-a285-00aa003049e2}, {bf967a0b-0de6-11d0-a285-00aa003049e2}, {b8119fd0-04f6-4762-ab7a-4986c76b3f9a}, {bf967a34-0de6-11d0-a285-00aa003049e2}, {bf967a33-0de6-11d0-a285-00aa003049e2}, {bf9679c5-0de6-11d0-a285-00aa003049e2}, {bf967a61-0de6-11d0-a285-00aa003049e2}, {bf967977-0de6-11d0-a285-00aa003049e2}, {bf96795e-0de6-11d0-a285-00aa003049e2}, {bf9679ea-0de6-11d0-a285-00aa003049e2}, {ab721a52-1e2f-11d0-9819-00aa0040529b}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x224""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
9,141120282,2021-05-03 08:16:52.1533067,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1680,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_GROUP,ObjectName: S-1-5-21-4230534742-2542757381-3142984815-513,,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4661-SAM sensitive domain users & groups discovery.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x46920341""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_GROUP""},{""@Name"":""ObjectName"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-513""},{""@Name"":""HandleId"",""#text"":""0x12A8E0B81A0""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5408, %%5409, %%5410, %%5411, %%5412, %%5413, %%5414, %%5415, %%5416, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967a9c-0de6-11d0-a285-00aa003049e2}, %%1537, %%1538, %%1539, %%1540, %%5408, %%5409, %%5410, %%5411, %%5412, %%5413, %%5414, %%5415, %%5416, {bf9679e8-0de6-11d0-a285-00aa003049e2}, {3e0abfd0-126a-11d0-a060-00aa006c33ed}, {bc0ac240-79a9-11d0-9020-00c04fc2d4cf}, {bf9679c0-0de6-11d0-a285-00aa003049e2}, {59ba2f42-79a2-11d0-9020-00c04fc2d3cf}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x224""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
10,141120287,2021-05-03 08:16:52.1591567,4661,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,1680,rootdc1.offsec.lan,0,,Handle requested to an object,OFFSEC\admmig,,ObjectServer: Security Account Manager,ObjectType: SAM_SERVER,"ObjectName: CN=Server,CN=System,DC=offsec,DC=lan",,,,C:\Windows\System32\lsass.exe,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID4661-SAM sensitive domain users & groups discovery.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x46920341""},{""@Name"":""ObjectServer"",""#text"":""Security Account Manager""},{""@Name"":""ObjectType"",""#text"":""SAM_SERVER""},{""@Name"":""ObjectName"",""#text"":""CN=Server,CN=System,DC=offsec,DC=lan""},{""@Name"":""HandleId"",""#text"":""0x12A8E0B9010""},{""@Name"":""TransactionId"",""#text"":""00000000-0000-0000-0000-000000000000""},{""@Name"":""AccessList"",""#text"":""%%1537, %%1538, %%1539, %%1540, %%5376, %%5377, %%5378, %%5379, %%5380, %%5381, %%5382, %%5383, %%5384, ""},{""@Name"":""AccessReason"",""#text"":""-""},{""@Name"":""AccessMask"",""#text"":""0xF01FF""},{""@Name"":""PrivilegeList"",""#text"":""-""},{""@Name"":""Properties"",""#text"":""---, {bf967aad-0de6-11d0-a285-00aa003049e2}, ""},{""@Name"":""RestrictedSidCount"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x224""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\lsass.exe""}]}}"
