RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,15727208,2021-10-31 14:37:10.2460017,800,Info,PowerShell,Windows PowerShell,0,0,jump01.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=5.1.14393.4350
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Domain group discovery via PowerShell.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""\tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=343\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=5.1.14393.4350\n\tHostId=32afa6ab-c13e-4c81-91ed-8488f7e303ea\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=5.1.14393.4350\n\tRunspaceId=be9cbd71-6464-43fd-94f7-af1594871f07\n\tPipelineId=84\n\tScriptName=\n\tCommandLine=, CommandInvocation(PSConsoleHostReadline): \""PSConsoleHostReadline\""\n"",""Binary"":""""}}"
2,14702698,2021-10-31 14:37:10.2466508,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: PSConsoleHostReadline,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(PSConsoleHostReadline): ""PSConsoleHostReadline"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Domain group discovery via PowerShell.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.14393.4350,         Host ID = 32afa6ab-c13e-4c81-91ed-8488f7e303ea,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.14393.4350,         Runspace ID = be9cbd71-6464-43fd-94f7-af1594871f07,         Pipeline ID = 84,         Command Name = PSConsoleHostReadline,         Command Type = Function,         Script Name = ,         Command Path = ,         Sequence Number = 344,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(PSConsoleHostReadline): \""PSConsoleHostReadline\"", ""}]}}"
3,14702699,2021-10-31 14:37:10.2474351,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ",ScriptBlockText: Get-ADGroupMember -Identity 'Administrators',,,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Domain group discovery via PowerShell.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""Get-ADGroupMember -Identity 'Administrators'""},{""@Name"":""ScriptBlockId"",""#text"":""3a0c2649-0e3c-4282-8200-8037e1b4ccbe""},{""@Name"":""Path""}]}}"
4,15727209,2021-10-31 14:37:10.3955075,800,Info,PowerShell,Windows PowerShell,0,0,jump01.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=5.1.14393.4350
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Domain group discovery via PowerShell.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Get-ADGroupMember -Identity 'Administrators', \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=345\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=5.1.14393.4350\n\tHostId=32afa6ab-c13e-4c81-91ed-8488f7e303ea\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=5.1.14393.4350\n\tRunspaceId=be9cbd71-6464-43fd-94f7-af1594871f07\n\tPipelineId=85\n\tScriptName=\n\tCommandLine=Get-ADGroupMember -Identity 'Administrators', CommandInvocation(Get-ADGroupMember): \""Get-ADGroupMember\""\nParameterBinding(Get-ADGroupMember): name=\""Identity\""; value=\""Administrators\""\n"",""Binary"":""""}}"
5,14702700,2021-10-31 14:37:10.3961328,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Get-ADGroupMember,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Get-ADGroupMember): ""Get-ADGroupMember"", ParameterBinding(Get-ADGroupMember): name=""Identity""; value=""Administrators"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Domain group discovery via PowerShell.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.14393.4350,         Host ID = 32afa6ab-c13e-4c81-91ed-8488f7e303ea,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.14393.4350,         Runspace ID = be9cbd71-6464-43fd-94f7-af1594871f07,         Pipeline ID = 85,         Command Name = Get-ADGroupMember,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 346,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Get-ADGroupMember): \""Get-ADGroupMember\"", ParameterBinding(Get-ADGroupMember): name=\""Identity\""; value=\""Administrators\"", ""}]}}"
6,15727210,2021-10-31 14:37:10.3975126,800,Info,PowerShell,Windows PowerShell,0,0,jump01.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=5.1.14393.4350
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Domain group discovery via PowerShell.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""\tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=347\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=5.1.14393.4350\n\tHostId=32afa6ab-c13e-4c81-91ed-8488f7e303ea\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=5.1.14393.4350\n\tRunspaceId=be9cbd71-6464-43fd-94f7-af1594871f07\n\tPipelineId=85\n\tScriptName=\n\tCommandLine=, CommandInvocation(Out-Default): \""Out-Default\""\nParameterBinding(Out-Default): name=\""InputObject\""; value=\""CN=Nessus Local Access,OU=Security-groups,OU=OFFSEC-COMPANY,DC=offsec,DC=lan\""\nParameterBinding(Out-Default): name=\""InputObject\""; value=\""CN=Domain Admins,CN=Users,DC=offsec,DC=lan\""\nParameterBinding(Out-Default): name=\""InputObject\""; value=\""CN=Enterprise Admins,CN=Users,DC=offsec,DC=lan\""\nParameterBinding(Out-Default): name=\""InputObject\""; value=\""CN=Administrator,CN=Users,DC=offsec,DC=lan\""\n"",""Binary"":""""}}"
7,14702701,2021-10-31 14:37:10.3987144,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,"Command Name: ",Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Out-Default): ""Out-Default"", ParameterBinding(Out-Default): name=""InputObject""; value=""CN=Nessus Local Access,OU=Security-groups,OU=OFFSEC-COMPANY,DC=offsec,DC=lan"", ParameterBinding(Out-Default): name=""InputObject""; value=""CN=Domain Admins,CN=Users,DC=offsec,DC=lan"", ParameterBinding(Out-Default): name=""InputObject""; value=""CN=Enterprise Admins,CN=Users,DC=offsec,DC=lan"", ParameterBinding(Out-Default): name=""InputObject""; value=""CN=Administrator,CN=Users,DC=offsec,DC=lan"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Domain group discovery via PowerShell.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.14393.4350,         Host ID = 32afa6ab-c13e-4c81-91ed-8488f7e303ea,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.14393.4350,         Runspace ID = be9cbd71-6464-43fd-94f7-af1594871f07,         Pipeline ID = 85,         Command Name = ,         Command Type = Script,         Script Name = ,         Command Path = ,         Sequence Number = 348,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Out-Default): \""Out-Default\"", ParameterBinding(Out-Default): name=\""InputObject\""; value=\""CN=Nessus Local Access,OU=Security-groups,OU=OFFSEC-COMPANY,DC=offsec,DC=lan\"", ParameterBinding(Out-Default): name=\""InputObject\""; value=\""CN=Domain Admins,CN=Users,DC=offsec,DC=lan\"", ParameterBinding(Out-Default): name=\""InputObject\""; value=\""CN=Enterprise Admins,CN=Users,DC=offsec,DC=lan\"", ParameterBinding(Out-Default): name=\""InputObject\""; value=\""CN=Administrator,CN=Users,DC=offsec,DC=lan\"", ""}]}}"
8,14702702,2021-10-31 14:37:10.4011902,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ",ScriptBlockText: prompt,,,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Domain group discovery via PowerShell.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""prompt""},{""@Name"":""ScriptBlockId"",""#text"":""07b5b53d-2849-4087-9a59-13e5199df537""},{""@Name"":""Path""}]}}"
9,15727211,2021-10-31 14:37:10.4015114,800,Info,PowerShell,Windows PowerShell,0,0,jump01.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=5.1.14393.4350
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Domain group discovery via PowerShell.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""    Microsoft.PowerShell.Core\\Set-StrictMode -Off\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=349\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=5.1.14393.4350\n\tHostId=32afa6ab-c13e-4c81-91ed-8488f7e303ea\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=5.1.14393.4350\n\tRunspaceId=be9cbd71-6464-43fd-94f7-af1594871f07\n\tPipelineId=87\n\tScriptName=C:\\Program Files\\WindowsPowerShell\\Modules\\PSReadline\\1.2\\PSReadLine.psm1\n\tCommandLine=    Microsoft.PowerShell.Core\\Set-StrictMode -Off\n, CommandInvocation(Set-StrictMode): \""Set-StrictMode\""\nParameterBinding(Set-StrictMode): name=\""Off\""; value=\""True\""\n"",""Binary"":""""}}"
10,14702703,2021-10-31 14:37:10.4026674,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Set-StrictMode,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Script Name: C:\Program Files\WindowsPowerShell\Modules\PSReadline\1.2\PSReadLine.psm1,"ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Set-StrictMode): ""Set-StrictMode"", ParameterBinding(Set-StrictMode): name=""Off""; value=""True"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Domain group discovery via PowerShell.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.14393.4350,         Host ID = 32afa6ab-c13e-4c81-91ed-8488f7e303ea,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.14393.4350,         Runspace ID = be9cbd71-6464-43fd-94f7-af1594871f07,         Pipeline ID = 87,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = C:\\Program Files\\WindowsPowerShell\\Modules\\PSReadline\\1.2\\PSReadLine.psm1,         Command Path = ,         Sequence Number = 350,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-StrictMode): \""Set-StrictMode\"", ParameterBinding(Set-StrictMode): name=\""Off\""; value=\""True\"", ""}]}}"
