RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,15727055,2021-10-31 14:28:15.3297256,800,Info,PowerShell,Windows PowerShell,0,0,jump01.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=5.1.14393.4350
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Local group discovery via PowerShell.evtx.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""\tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=301\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=5.1.14393.4350\n\tHostId=32afa6ab-c13e-4c81-91ed-8488f7e303ea\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=5.1.14393.4350\n\tRunspaceId=be9cbd71-6464-43fd-94f7-af1594871f07\n\tPipelineId=68\n\tScriptName=\n\tCommandLine=, CommandInvocation(PSConsoleHostReadline): \""PSConsoleHostReadline\""\n"",""Binary"":""""}}"
2,14702545,2021-10-31 14:28:15.3307517,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: PSConsoleHostReadline,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(PSConsoleHostReadline): ""PSConsoleHostReadline"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Local group discovery via PowerShell.evtx.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.14393.4350,         Host ID = 32afa6ab-c13e-4c81-91ed-8488f7e303ea,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.14393.4350,         Runspace ID = be9cbd71-6464-43fd-94f7-af1594871f07,         Pipeline ID = 68,         Command Name = PSConsoleHostReadline,         Command Type = Function,         Script Name = ,         Command Path = ,         Sequence Number = 302,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(PSConsoleHostReadline): \""PSConsoleHostReadline\"", ""}]}}"
3,14702546,2021-10-31 14:28:15.3316511,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ",ScriptBlockText: Get-LocalGroupMember -Name Administrators,,,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Local group discovery via PowerShell.evtx.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""Get-LocalGroupMember -Name Administrators""},{""@Name"":""ScriptBlockId"",""#text"":""6a14bd4a-b612-4efd-b229-8c9841cf5b06""},{""@Name"":""Path""}]}}"
4,15727056,2021-10-31 14:28:15.3427250,800,Info,PowerShell,Windows PowerShell,0,0,jump01.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=5.1.14393.4350
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Local group discovery via PowerShell.evtx.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Get-LocalGroupMember -Name Administrators, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=303\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=5.1.14393.4350\n\tHostId=32afa6ab-c13e-4c81-91ed-8488f7e303ea\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=5.1.14393.4350\n\tRunspaceId=be9cbd71-6464-43fd-94f7-af1594871f07\n\tPipelineId=69\n\tScriptName=\n\tCommandLine=Get-LocalGroupMember -Name Administrators, CommandInvocation(Get-LocalGroupMember): \""Get-LocalGroupMember\""\nParameterBinding(Get-LocalGroupMember): name=\""Name\""; value=\""Administrators\""\n"",""Binary"":""""}}"
5,14702547,2021-10-31 14:28:15.3429407,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Get-LocalGroupMember,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Get-LocalGroupMember): ""Get-LocalGroupMember"", ParameterBinding(Get-LocalGroupMember): name=""Name""; value=""Administrators"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Local group discovery via PowerShell.evtx.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.14393.4350,         Host ID = 32afa6ab-c13e-4c81-91ed-8488f7e303ea,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.14393.4350,         Runspace ID = be9cbd71-6464-43fd-94f7-af1594871f07,         Pipeline ID = 69,         Command Name = Get-LocalGroupMember,         Command Type = Cmdlet,         Script Name = ,         Command Path = ,         Sequence Number = 304,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Get-LocalGroupMember): \""Get-LocalGroupMember\"", ParameterBinding(Get-LocalGroupMember): name=\""Name\""; value=\""Administrators\"", ""}]}}"
6,15727057,2021-10-31 14:28:15.3507276,800,Info,PowerShell,Windows PowerShell,0,0,jump01.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=5.1.14393.4350
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Local group discovery via PowerShell.evtx.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""\tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=305\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=5.1.14393.4350\n\tHostId=32afa6ab-c13e-4c81-91ed-8488f7e303ea\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=5.1.14393.4350\n\tRunspaceId=be9cbd71-6464-43fd-94f7-af1594871f07\n\tPipelineId=69\n\tScriptName=\n\tCommandLine=, CommandInvocation(Out-Default): \""Out-Default\""\nParameterBinding(Out-Default): name=\""InputObject\""; value=\""JUMP01\\Administrator\""\nParameterBinding(Out-Default): name=\""InputObject\""; value=\""OFFSEC\\Domain Admins\""\nParameterBinding(Out-Default): name=\""InputObject\""; value=\""OFFSEC\\Nessus Local Access\""\nParameterBinding(Out-Default): name=\""InputObject\""; value=\""OFFSEC\\SG_LocalAdmin_Lab\""\n"",""Binary"":""""}}"
7,14702548,2021-10-31 14:28:15.3517830,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,"Command Name: ",Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Out-Default): ""Out-Default"", ParameterBinding(Out-Default): name=""InputObject""; value=""JUMP01\Administrator"", ParameterBinding(Out-Default): name=""InputObject""; value=""OFFSEC\Domain Admins"", ParameterBinding(Out-Default): name=""InputObject""; value=""OFFSEC\Nessus Local Access"", ParameterBinding(Out-Default): name=""InputObject""; value=""OFFSEC\SG_LocalAdmin_Lab"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Local group discovery via PowerShell.evtx.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.14393.4350,         Host ID = 32afa6ab-c13e-4c81-91ed-8488f7e303ea,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.14393.4350,         Runspace ID = be9cbd71-6464-43fd-94f7-af1594871f07,         Pipeline ID = 69,         Command Name = ,         Command Type = Script,         Script Name = ,         Command Path = ,         Sequence Number = 306,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Out-Default): \""Out-Default\"", ParameterBinding(Out-Default): name=\""InputObject\""; value=\""JUMP01\\Administrator\"", ParameterBinding(Out-Default): name=\""InputObject\""; value=\""OFFSEC\\Domain Admins\"", ParameterBinding(Out-Default): name=\""InputObject\""; value=\""OFFSEC\\Nessus Local Access\"", ParameterBinding(Out-Default): name=\""InputObject\""; value=\""OFFSEC\\SG_LocalAdmin_Lab\"", ""}]}}"
8,14702549,2021-10-31 14:28:15.3535724,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ",ScriptBlockText: prompt,,,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Local group discovery via PowerShell.evtx.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""prompt""},{""@Name"":""ScriptBlockId"",""#text"":""12ca3400-9a35-46f7-8d4c-799f66bcae93""},{""@Name"":""Path""}]}}"
9,15727058,2021-10-31 14:28:15.3537291,800,Info,PowerShell,Windows PowerShell,0,0,jump01.offsec.lan,0,,Pipeline Execution Details,,,"HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
","HostName=ConsoleHost
","HostVersion=5.1.14393.4350
",,,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Local group discovery via PowerShell.evtx.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""    Microsoft.PowerShell.Core\\Set-StrictMode -Off\n, \tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=307\n\n\tUserId=OFFSEC\\admmig\n\tHostName=ConsoleHost\n\tHostVersion=5.1.14393.4350\n\tHostId=32afa6ab-c13e-4c81-91ed-8488f7e303ea\n\tHostApplication=C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe\n\tEngineVersion=5.1.14393.4350\n\tRunspaceId=be9cbd71-6464-43fd-94f7-af1594871f07\n\tPipelineId=71\n\tScriptName=C:\\Program Files\\WindowsPowerShell\\Modules\\PSReadline\\1.2\\PSReadLine.psm1\n\tCommandLine=    Microsoft.PowerShell.Core\\Set-StrictMode -Off\n, CommandInvocation(Set-StrictMode): \""Set-StrictMode\""\nParameterBinding(Set-StrictMode): name=\""Off\""; value=\""True\""\n"",""Binary"":""""}}"
10,14702550,2021-10-31 14:28:15.3548218,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,15016,4004,jump01.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Set-StrictMode,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Script Name: C:\Program Files\WindowsPowerShell\Modules\PSReadline\1.2\PSReadLine.psm1,"ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Set-StrictMode): ""Set-StrictMode"", ParameterBinding(Set-StrictMode): name=""Off""; value=""True"", ",,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1069-Permission Groups Discovery\ID800-4103-4104-Local group discovery via PowerShell.evtx.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.14393.4350,         Host ID = 32afa6ab-c13e-4c81-91ed-8488f7e303ea,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.14393.4350,         Runspace ID = be9cbd71-6464-43fd-94f7-af1594871f07,         Pipeline ID = 71,         Command Name = Set-StrictMode,         Command Type = Cmdlet,         Script Name = C:\\Program Files\\WindowsPowerShell\\Modules\\PSReadline\\1.2\\PSReadLine.psm1,         Command Path = ,         Sequence Number = 308,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-StrictMode): \""Set-StrictMode\"", ParameterBinding(Set-StrictMode): name=\""Off\""; value=\""True\"", ""}]}}"
