RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,15774923,2020-07-09 20:41:04.4889063,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,2376,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:59499,Target: OFFSEC.LAN\admmig@OFFSEC.LAN,ServiceName: ATACORE01$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1114,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4769-Kerberos TGS host enumeration (Bloodhound).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""ATACORE01$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1114""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""59499""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""c1b0a35b-c6db-3ccd-22f9-6658bb0f9ac1""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
2,15774924,2020-07-09 20:41:04.4904329,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,2356,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:59496,Target: OFFSEC.LAN\admmig@OFFSEC.LAN,ServiceName: PKI01$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1122,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4769-Kerberos TGS host enumeration (Bloodhound).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""PKI01$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1122""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""59496""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""c1b0a35b-c6db-3ccd-22f9-6658bb0f9ac1""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
3,15774925,2020-07-09 20:41:04.4964419,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,1964,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:59497,Target: OFFSEC.LAN\admmig@OFFSEC.LAN,ServiceName: EXCHANGE01$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1121,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4769-Kerberos TGS host enumeration (Bloodhound).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""EXCHANGE01$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1121""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""59497""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""c1b0a35b-c6db-3ccd-22f9-6658bb0f9ac1""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
4,15774926,2020-07-09 20:41:04.4970799,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:59498,Target: OFFSEC.LAN\admmig@OFFSEC.LAN,ServiceName: WEC01$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1113,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4769-Kerberos TGS host enumeration (Bloodhound).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""WEC01$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1113""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""59498""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""c1b0a35b-c6db-3ccd-22f9-6658bb0f9ac1""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
5,15774927,2020-07-09 20:41:04.5019616,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,2376,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:59501,Target: OFFSEC.LAN\admmig@OFFSEC.LAN,ServiceName: FS02$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1105,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4769-Kerberos TGS host enumeration (Bloodhound).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""FS02$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1105""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""59501""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""c1b0a35b-c6db-3ccd-22f9-6658bb0f9ac1""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
6,15774928,2020-07-09 20:41:04.5053843,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,2356,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:59502,Target: OFFSEC.LAN\admmig@OFFSEC.LAN,ServiceName: WSUS01$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1104,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4769-Kerberos TGS host enumeration (Bloodhound).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""WSUS01$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1104""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""59502""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""c1b0a35b-c6db-3ccd-22f9-6658bb0f9ac1""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
7,15774929,2020-07-09 20:41:04.5348724,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,2356,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:59523,Target: OFFSEC.LAN\admmig@OFFSEC.LAN,ServiceName: DHCP01$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1103,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4769-Kerberos TGS host enumeration (Bloodhound).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""DHCP01$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1103""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""59523""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""c1b0a35b-c6db-3ccd-22f9-6658bb0f9ac1""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
8,15774930,2020-07-09 20:41:04.5764637,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,2356,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:59527,Target: OFFSEC.LAN\admmig@OFFSEC.LAN,ServiceName: ATANIDS01$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1115,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4769-Kerberos TGS host enumeration (Bloodhound).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""ATANIDS01$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1115""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""59527""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""c1b0a35b-c6db-3ccd-22f9-6658bb0f9ac1""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
9,15774931,2020-07-09 20:41:04.8613205,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,3156,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:59542,Target: OFFSEC.LAN\admmig@OFFSEC.LAN,ServiceName: PRTG-MON$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1125,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4769-Kerberos TGS host enumeration (Bloodhound).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""PRTG-MON$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1125""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""59542""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""c1b0a35b-c6db-3ccd-22f9-6658bb0f9ac1""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
10,15774932,2020-07-09 20:41:04.8621938,4769,LogAlways,Microsoft-Windows-Security-Auditing,Security,528,2356,rootdc1.offsec.lan,0,,A Kerberos service ticket was requested,,::ffff:10.23.23.9:59534,Target: OFFSEC.LAN\admmig@OFFSEC.LAN,ServiceName: MSSQL01$,ServiceSid: S-1-5-21-4230534742-2542757381-3142984815-1123,TicketEncryptionType: AES256-CTS-HMAC-SHA1-96,Status: KDC_ERR_NONE - No error - No errors were found.,,,False,EVTX-to-MITRE-Attack\TA0007-Discovery\T1087-Account discovery\ID4769-Kerberos TGS host enumeration (Bloodhound).evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""TargetUserName"",""#text"":""admmig@OFFSEC.LAN""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""ServiceName"",""#text"":""MSSQL01$""},{""@Name"":""ServiceSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1123""},{""@Name"":""TicketOptions"",""#text"":""0x40810000""},{""@Name"":""TicketEncryptionType"",""#text"":""0x12""},{""@Name"":""IpAddress"",""#text"":""::ffff:10.23.23.9""},{""@Name"":""IpPort"",""#text"":""59534""},{""@Name"":""Status"",""#text"":""0x0""},{""@Name"":""LogonGuid"",""#text"":""c1b0a35b-c6db-3ccd-22f9-6658bb0f9ac1""},{""@Name"":""TransmittedServices"",""#text"":""-""}]}}"
