RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1829814,2021-05-14 21:01:05.3522301,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,5820,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\cmd.exe,PID: 0x378,Parent PID: 0x13E8,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,C:\Windows\System32\cmd.exe cmd  /k tscon 2 /dest:rdp-tcp#8,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688,4778,4779 RDP hijack direct.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x378""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x13E8""},{""@Name"":""CommandLine"",""#text"":""cmd  /k tscon 2 /dest:rdp-tcp#8""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
2,1829815,2021-05-14 21:01:05.3588944,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,5820,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\cmd.exe,PID: 0x6E8,Parent PID: 0x378,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,C:\Windows\System32\tscon.exe tscon  2 /dest:rdp-tcp#8,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688,4778,4779 RDP hijack direct.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x6E8""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\tscon.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x378""},{""@Name"":""CommandLine"",""#text"":""tscon  2 /dest:rdp-tcp#8""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
3,1829816,2021-05-14 21:01:05.3700303,4779,LogAlways,Microsoft-Windows-Security-Auditing,Security,576,628,fs01.offsec.lan,0,,RDP disconnecting,OFFSEC\admmig,JUMP01 (10.23.23.9),RDP-Tcp#8,,LogonId: 0x13B5E1E,,,,,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688,4778,4779 RDP hijack direct.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""AccountName"",""#text"":""admmig""},{""@Name"":""AccountDomain"",""#text"":""OFFSEC""},{""@Name"":""LogonID"",""#text"":""0x13B5E1E""},{""@Name"":""SessionName"",""#text"":""RDP-Tcp#8""},{""@Name"":""ClientName"",""#text"":""JUMP01""},{""@Name"":""ClientAddress"",""#text"":""10.23.23.9""}]}}"
4,1829817,2021-05-14 21:01:05.5727118,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,164,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0x714,Parent PID: 0x28C,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: OFFSEC\admmig,,C:\Windows\System32\TSTheme.exe C:\Windows\system32\TSTheme.exe -Embedding,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688,4778,4779 RDP hijack direct.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x714""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\TSTheme.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0x28C""},{""@Name"":""CommandLine"",""#text"":""C:\\Windows\\system32\\TSTheme.exe -Embedding""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x13B5E1E""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
5,1829818,2021-05-14 21:01:05.7445062,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,4764,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0x17A8,Parent PID: 0x28C,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: OFFSEC\admmarsid,,C:\Windows\System32\TSTheme.exe C:\Windows\system32\TSTheme.exe -Embedding,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688,4778,4779 RDP hijack direct.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x17A8""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\TSTheme.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0x28C""},{""@Name"":""CommandLine"",""#text"":""C:\\Windows\\system32\\TSTheme.exe -Embedding""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1180""},{""@Name"":""TargetUserName"",""#text"":""admmarsid""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x6A423""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
6,1829819,2021-05-14 21:01:05.8317487,4778,LogAlways,Microsoft-Windows-Security-Auditing,Security,576,4904,fs01.offsec.lan,0,,RDP reconnecting,OFFSEC\admmarsid,JUMP01 (10.23.23.9),RDP-Tcp#8,,LogonId: 0x6A423,,,,,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688,4778,4779 RDP hijack direct.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""AccountName"",""#text"":""admmarsid""},{""@Name"":""AccountDomain"",""#text"":""OFFSEC""},{""@Name"":""LogonID"",""#text"":""0x6A423""},{""@Name"":""SessionName"",""#text"":""RDP-Tcp#8""},{""@Name"":""ClientName"",""#text"":""JUMP01""},{""@Name"":""ClientAddress"",""#text"":""10.23.23.9""}]}}"
7,1829820,2021-05-14 21:01:06.2032818,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,4764,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\winlogon.exe,PID: 0xC14,Parent PID: 0xD5C,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: OFFSEC\admmarsid,,C:\Windows\System32\AtBroker.exe atbroker.exe,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688,4778,4779 RDP hijack direct.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xC14""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\AtBroker.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0xD5C""},{""@Name"":""CommandLine"",""#text"":""atbroker.exe""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1180""},{""@Name"":""TargetUserName"",""#text"":""admmarsid""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x6A423""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\winlogon.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
8,1829821,2021-05-14 21:01:06.2061179,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,4764,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0x438,Parent PID: 0x33C,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: OFFSEC\admmarsid,,C:\Windows\System32\rdpclip.exe rdpclip,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688,4778,4779 RDP hijack direct.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-20""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E4""},{""@Name"":""NewProcessId"",""#text"":""0x438""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\rdpclip.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0x33C""},{""@Name"":""CommandLine"",""#text"":""rdpclip""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1180""},{""@Name"":""TargetUserName"",""#text"":""admmarsid""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x6A423""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
9,1829822,2021-05-14 21:01:07.0512821,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2884,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0x110C,Parent PID: 0x430,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,C:\Windows\System32\taskhostw.exe taskhostw.exe,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688,4778,4779 RDP hijack direct.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x110C""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\taskhostw.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x430""},{""@Name"":""CommandLine"",""#text"":""taskhostw.exe""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
10,1829823,2021-05-14 21:01:07.1508264,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2884,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0x460,Parent PID: 0x28C,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,C:\Windows\System32\dllhost.exe C:\Windows\system32\DllHost.exe /Processid:{133EAC4F-5891-4D04-BADA-D84870380A80},False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688,4778,4779 RDP hijack direct.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x460""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\dllhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x28C""},{""@Name"":""CommandLine"",""#text"":""C:\\Windows\\system32\\DllHost.exe /Processid:{133EAC4F-5891-4D04-BADA-D84870380A80}""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
