RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1829536,2021-05-14 20:40:16.8391154,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2884,fs01.offsec.lan,0,,A new process has been created,OFFSEC\admmig,,Parent process: C:\Windows\System32\cmd.exe,PID: 0x1490,Parent PID: 0xBC0,Mandatory label: SECURITY_MANDATORY_HIGH_RID,Target User: -\-,,C:\Windows\System32\sc.exe sc.exe  start hijackservice,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688-4778 RDP hijack command execution.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x13B593D""},{""@Name"":""NewProcessId"",""#text"":""0x1490""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\sc.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1937""},{""@Name"":""ProcessId"",""#text"":""0xBC0""},{""@Name"":""CommandLine"",""#text"":""sc.exe  start hijackservice""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-12288""}]}}"
2,1829537,2021-05-14 20:40:16.8467736,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2884,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\services.exe,PID: 0x1278,Parent PID: 0x230,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,C:\Windows\System32\cmd.exe cmd.exe /k tscon 2 /dest:rdp-tcp#5,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688-4778 RDP hijack command execution.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x1278""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x230""},{""@Name"":""CommandLine"",""#text"":""cmd.exe /k tscon 2 /dest:rdp-tcp#5""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\services.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
3,1829538,2021-05-14 20:40:16.8530375,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2884,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\cmd.exe,PID: 0x143C,Parent PID: 0x1278,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,C:\Windows\System32\tscon.exe tscon  2 /dest:rdp-tcp#5,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688-4778 RDP hijack command execution.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x143C""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\tscon.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x1278""},{""@Name"":""CommandLine"",""#text"":""tscon  2 /dest:rdp-tcp#5""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\cmd.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
4,1829539,2021-05-14 20:40:16.8566410,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2884,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\tscon.exe,PID: 0x334,Parent PID: 0x143C,Mandatory label: SECURITY_MANDATORY_SYSTEM_RID,Target User: -\-,,C:\Windows\System32\conhost.exe \??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688-4778 RDP hijack command execution.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x334""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\conhost.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1936""},{""@Name"":""ProcessId"",""#text"":""0x143C""},{""@Name"":""CommandLine"",""#text"":""\\??\\C:\\Windows\\system32\\conhost.exe 0xffffffff -ForceV1""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\tscon.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-16384""}]}}"
5,1829541,2021-05-14 20:40:17.1608977,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,5972,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0x161C,Parent PID: 0x28C,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: OFFSEC\admmig,,C:\Windows\System32\TSTheme.exe C:\Windows\system32\TSTheme.exe -Embedding,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688-4778 RDP hijack command execution.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x161C""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\TSTheme.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0x28C""},{""@Name"":""CommandLine"",""#text"":""C:\\Windows\\system32\\TSTheme.exe -Embedding""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x13B5E1E""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
6,1829542,2021-05-14 20:40:17.4013198,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,5972,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0xBCC,Parent PID: 0x28C,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: OFFSEC\admmarsid,,C:\Windows\System32\TSTheme.exe C:\Windows\system32\TSTheme.exe -Embedding,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688-4778 RDP hijack command execution.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0xBCC""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\TSTheme.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0x28C""},{""@Name"":""CommandLine"",""#text"":""C:\\Windows\\system32\\TSTheme.exe -Embedding""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1180""},{""@Name"":""TargetUserName"",""#text"":""admmarsid""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x6A423""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
7,1829543,2021-05-14 20:40:17.5330674,4778,LogAlways,Microsoft-Windows-Security-Auditing,Security,576,628,fs01.offsec.lan,0,,RDP reconnecting,OFFSEC\admmarsid,JUMP01 (10.23.23.9),RDP-Tcp#5,,LogonId: 0x6A423,,,,,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688-4778 RDP hijack command execution.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""AccountName"",""#text"":""admmarsid""},{""@Name"":""AccountDomain"",""#text"":""OFFSEC""},{""@Name"":""LogonID"",""#text"":""0x6A423""},{""@Name"":""SessionName"",""#text"":""RDP-Tcp#5""},{""@Name"":""ClientName"",""#text"":""JUMP01""},{""@Name"":""ClientAddress"",""#text"":""10.23.23.9""}]}}"
8,1829544,2021-05-14 20:40:17.8655575,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2884,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\svchost.exe,PID: 0x1064,Parent PID: 0x33C,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: OFFSEC\admmarsid,,C:\Windows\System32\rdpclip.exe rdpclip,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688-4778 RDP hijack command execution.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-20""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E4""},{""@Name"":""NewProcessId"",""#text"":""0x1064""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\rdpclip.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0x33C""},{""@Name"":""CommandLine"",""#text"":""rdpclip""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1180""},{""@Name"":""TargetUserName"",""#text"":""admmarsid""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x6A423""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\svchost.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
9,1829545,2021-05-14 20:40:17.8803374,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2884,fs01.offsec.lan,0,,A new process has been created,OFFSEC\FS01$,,Parent process: C:\Windows\System32\winlogon.exe,PID: 0x16A0,Parent PID: 0xD5C,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: OFFSEC\admmarsid,,C:\Windows\System32\AtBroker.exe atbroker.exe,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688-4778 RDP hijack command execution.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-18""},{""@Name"":""SubjectUserName"",""#text"":""FS01$""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x3E7""},{""@Name"":""NewProcessId"",""#text"":""0x16A0""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\AtBroker.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0xD5C""},{""@Name"":""CommandLine"",""#text"":""atbroker.exe""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1180""},{""@Name"":""TargetUserName"",""#text"":""admmarsid""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC""},{""@Name"":""TargetLogonId"",""#text"":""0x6A423""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\winlogon.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
10,1829546,2021-05-14 20:40:17.9362477,4688,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,2884,fs01.offsec.lan,0,,A new process has been created,OFFSEC\admmarsid,,Parent process: C:\Windows\System32\rdpclip.exe,PID: 0x878,Parent PID: 0xEEC,Mandatory label: SECURITY_MANDATORY_MEDIUM_RID,Target User: -\-,,"C:\Windows\System32\rdpinput.exe ""C:\Windows\System32\rdpinput.EXE"" /pid:3820 /handle:1456",False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.001-Remote Desktop Protocol\ID4688-4778 RDP hijack command execution.evtx,Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1180""},{""@Name"":""SubjectUserName"",""#text"":""admmarsid""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x6A423""},{""@Name"":""NewProcessId"",""#text"":""0x878""},{""@Name"":""NewProcessName"",""#text"":""C:\\Windows\\System32\\rdpinput.exe""},{""@Name"":""TokenElevationType"",""#text"":""%%1938""},{""@Name"":""ProcessId"",""#text"":""0xEEC""},{""@Name"":""CommandLine"",""#text"":""\""C:\\Windows\\System32\\rdpinput.EXE\"" /pid:3820 /handle:1456""},{""@Name"":""TargetUserSid"",""#text"":""S-1-0-0""},{""@Name"":""TargetUserName"",""#text"":""-""},{""@Name"":""TargetDomainName"",""#text"":""-""},{""@Name"":""TargetLogonId"",""#text"":""0x0""},{""@Name"":""ParentProcessName"",""#text"":""C:\\Windows\\System32\\rdpclip.exe""},{""@Name"":""MandatoryLabel"",""#text"":""S-1-16-8192""}]}}"
