RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,349321,2021-04-21 09:40:32.3423972,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,5600,srvdefender01.offsec.lan,0,,Successful logon,-\-,- (10.23.42.22),Target: OFFSEC.LAN\admmig,LogonType 3,LogonId: 0x1375FBD,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.002-SMB Windows Admin Shares\ID4688,4697,5140-5145 PSexec remote execution + admin share.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetLogonId"",""#text"":""0x1375FBD""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""b8c3a477-69db-d96f-f0c0-889ccecb69ee""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.42.22""},{""@Name"":""IpPort"",""#text"":""56661""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
2,349323,2021-04-21 09:40:32.3430374,5140,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,5328,srvdefender01.offsec.lan,0,,A network share object was accessed,OFFSEC\admmig,10.23.42.22:56661,Share: \\*\ADMIN$ (\??\C:\Windows),Sid: S-1-5-21-4230534742-2542757381-3142984815-1111,AccessList: ReadData (or ListDirectory),AccessMask: Unknown code (0x1),,,,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.002-SMB Windows Admin Shares\ID4688,4697,5140-5145 PSexec remote execution + admin share.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1375FBD""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.42.22""},{""@Name"":""IpPort"",""#text"":""56661""},{""@Name"":""ShareName"",""#text"":""\\\\*\\ADMIN$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\Windows""},{""@Name"":""AccessMask"",""#text"":""0x1""},{""@Name"":""AccessList"",""#text"":""%%4416, ""}]}}"
3,349324,2021-04-21 09:40:32.3433557,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,5328,srvdefender01.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.42.22:56661,Share: \\*\ADMIN$ (\??\C:\Windows),Object: PSEXESVC.exe,AccessList: Unknown code (%%1538 | %%1541 | %%4417 | %%4418 | %%4420 | %%4423 | %%4424),AccessMask: Unknown code (0x120196),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.002-SMB Windows Admin Shares\ID4688,4697,5140-5145 PSexec remote execution + admin share.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1375FBD""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.42.22""},{""@Name"":""IpPort"",""#text"":""56661""},{""@Name"":""ShareName"",""#text"":""\\\\*\\ADMIN$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\Windows""},{""@Name"":""RelativeTargetName"",""#text"":""PSEXESVC.exe""},{""@Name"":""AccessMask"",""#text"":""0x120196""},{""@Name"":""AccessList"",""#text"":""%%1538, %%1541, %%4417, %%4418, %%4420, %%4423, %%4424, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
4,349325,2021-04-21 09:40:32.3433604,5145,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,5328,srvdefender01.offsec.lan,0,,Network share object access,OFFSEC\admmig,10.23.42.22:56661,Share: \\*\ADMIN$ (\??\C:\Windows),Object: PSEXESVC.exe,AccessList: WriteData (or AddFile),AccessMask: Unknown code (0x2),SID: S-1-5-21-4230534742-2542757381-3142984815-1111,,,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.002-SMB Windows Admin Shares\ID4688,4697,5140-5145 PSexec remote execution + admin share.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1375FBD""},{""@Name"":""ObjectType"",""#text"":""File""},{""@Name"":""IpAddress"",""#text"":""10.23.42.22""},{""@Name"":""IpPort"",""#text"":""56661""},{""@Name"":""ShareName"",""#text"":""\\\\*\\ADMIN$""},{""@Name"":""ShareLocalPath"",""#text"":""\\??\\C:\\Windows""},{""@Name"":""RelativeTargetName"",""#text"":""PSEXESVC.exe""},{""@Name"":""AccessMask"",""#text"":""0x2""},{""@Name"":""AccessList"",""#text"":""%%4417, ""},{""@Name"":""AccessReason"",""#text"":""-""}]}}"
5,349328,2021-04-21 09:40:32.3471410,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,5600,srvdefender01.offsec.lan,0,,Successful logon,-\-,- (10.23.42.22),Target: OFFSEC.LAN\admmig,LogonType 3,LogonId: 0x1375FD8,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.002-SMB Windows Admin Shares\ID4688,4697,5140-5145 PSexec remote execution + admin share.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetLogonId"",""#text"":""0x1375FD8""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""b8c3a477-69db-d96f-f0c0-889ccecb69ee""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.42.22""},{""@Name"":""IpPort"",""#text"":""56662""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
6,349332,2021-04-21 09:40:32.3484565,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,5600,srvdefender01.offsec.lan,0,,Successful logon,-\-,- (10.23.42.22),Target: OFFSEC.LAN\admmig,LogonType 3,LogonId: 0x1375FF5,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.002-SMB Windows Admin Shares\ID4688,4697,5140-5145 PSexec remote execution + admin share.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetLogonId"",""#text"":""0x1375FF5""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""b8c3a477-69db-d96f-f0c0-889ccecb69ee""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.42.22""},{""@Name"":""IpPort"",""#text"":""56663""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
7,349336,2021-04-21 09:40:32.3486079,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,716,srvdefender01.offsec.lan,0,,Successful logon,-\-,- (10.23.42.22),Target: OFFSEC.LAN\admmig,LogonType 3,LogonId: 0x1376003,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.002-SMB Windows Admin Shares\ID4688,4697,5140-5145 PSexec remote execution + admin share.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetLogonId"",""#text"":""0x1376003""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""b8c3a477-69db-d96f-f0c0-889ccecb69ee""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.42.22""},{""@Name"":""IpPort"",""#text"":""56664""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
8,349340,2021-04-21 09:40:32.3607447,4624,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,716,srvdefender01.offsec.lan,0,,Successful logon,-\-,- (10.23.42.22),Target: OFFSEC.LAN\admmig,LogonType 3,LogonId: 0x1376020,AuthenticationPackageName: Kerberos,LogonProcessName: Kerberos,,-,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.002-SMB Windows Admin Shares\ID4688,4697,5140-5145 PSexec remote execution + admin share.evtx",Audit success,648,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-0-0""},{""@Name"":""SubjectUserName"",""#text"":""-""},{""@Name"":""SubjectDomainName"",""#text"":""-""},{""@Name"":""SubjectLogonId"",""#text"":""0x0""},{""@Name"":""TargetUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""TargetUserName"",""#text"":""admmig""},{""@Name"":""TargetDomainName"",""#text"":""OFFSEC.LAN""},{""@Name"":""TargetLogonId"",""#text"":""0x1376020""},{""@Name"":""LogonType"",""#text"":""3""},{""@Name"":""LogonProcessName"",""#text"":""Kerberos""},{""@Name"":""AuthenticationPackageName"",""#text"":""Kerberos""},{""@Name"":""WorkstationName"",""#text"":""-""},{""@Name"":""LogonGuid"",""#text"":""b8c3a477-69db-d96f-f0c0-889ccecb69ee""},{""@Name"":""TransmittedServices"",""#text"":""-""},{""@Name"":""LmPackageName"",""#text"":""-""},{""@Name"":""KeyLength"",""#text"":""0""},{""@Name"":""ProcessId"",""#text"":""0x0""},{""@Name"":""ProcessName"",""#text"":""-""},{""@Name"":""IpAddress"",""#text"":""10.23.42.22""},{""@Name"":""IpPort"",""#text"":""56666""},{""@Name"":""ImpersonationLevel"",""#text"":""%%1833""},{""@Name"":""RestrictedAdminMode"",""#text"":""-""},{""@Name"":""TargetOutboundUserName"",""#text"":""-""},{""@Name"":""TargetOutboundDomainName"",""#text"":""-""},{""@Name"":""VirtualAccount"",""#text"":""%%1843""},{""@Name"":""TargetLinkedLogonId"",""#text"":""0x0""},{""@Name"":""ElevatedToken"",""#text"":""%%1842""}]}}"
9,349342,2021-04-21 09:40:32.3626157,4674,LogAlways,Microsoft-Windows-Security-Auditing,Security,4,5328,srvdefender01.offsec.lan,0,,An operation was attempted on a privileged object,OFFSEC\admmig (S-1-5-21-4230534742-2542757381-3142984815-1111),,PrivilegeList: SeTakeOwnershipPrivilege,ObjectServer: SC Manager,SubjectLogonId: 0x1376020,,,,C:\Windows\System32\services.exe (PID: 0x238),False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.002-SMB Windows Admin Shares\ID4688,4697,5140-5145 PSexec remote execution + admin share.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1376020""},{""@Name"":""ObjectServer"",""#text"":""SC Manager""},{""@Name"":""ObjectType"",""#text"":""SC_MANAGER OBJECT""},{""@Name"":""ObjectName"",""#text"":""ServicesActive""},{""@Name"":""HandleId"",""#text"":""0xFFFF8000EF4FE9F8""},{""@Name"":""AccessMask"",""#text"":""%%1537, %%1538, %%1539, %%7168, %%7169, %%7170, %%7171, %%7172, %%7173, ""},{""@Name"":""PrivilegeList"",""#text"":""SeTakeOwnershipPrivilege""},{""@Name"":""ProcessId"",""#text"":""0x238""},{""@Name"":""ProcessName"",""#text"":""C:\\Windows\\System32\\services.exe""}]}}"
10,349343,2021-04-21 09:40:32.3633939,4697,LogAlways,Microsoft-Windows-Security-Auditing,Security,584,716,srvdefender01.offsec.lan,0,,A service was installed on the system,OFFSEC\admmig,,ServiceName: PSEXESVC,ServiceFileName: %SystemRoot%\PSEXESVC.exe,ServiceType: Win32 Own Process,ServiceStartType: Manual,ServiceAccount: LocalSystem,,,False,"EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.002-SMB Windows Admin Shares\ID4688,4697,5140-5145 PSexec remote execution + admin share.evtx",Audit success,0,"{""EventData"":{""Data"":[{""@Name"":""SubjectUserSid"",""#text"":""S-1-5-21-4230534742-2542757381-3142984815-1111""},{""@Name"":""SubjectUserName"",""#text"":""admmig""},{""@Name"":""SubjectDomainName"",""#text"":""OFFSEC""},{""@Name"":""SubjectLogonId"",""#text"":""0x1376020""},{""@Name"":""ServiceName"",""#text"":""PSEXESVC""},{""@Name"":""ServiceFileName"",""#text"":""%SystemRoot%\\PSEXESVC.exe""},{""@Name"":""ServiceType"",""#text"":""0x10""},{""@Name"":""ServiceStartType"",""#text"":""3""},{""@Name"":""ServiceAccount"",""#text"":""LocalSystem""}]}}"
