RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,109,2021-04-22 10:02:14.3939392,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,6012,5140,win10-02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: PSConsoleHostReadLine,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"Script Name: ","ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(PSConsoleHostReadLine): ""PSConsoleHostReadLine"", ",,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.004-Remote Service SSH\ID4103-4104-OpenSSH server install.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.19041.906,         Host ID = 95e96d56-040a-43c5-9b7c-b459d24bbb56,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.19041.906,         Runspace ID = d1a7cc59-e5d0-4b40-bf2e-0e4265f432c0,         Pipeline ID = 3,         Command Name = PSConsoleHostReadLine,         Command Type = Function,         Script Name = ,         Command Path = ,         Sequence Number = 20,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(PSConsoleHostReadLine): \""PSConsoleHostReadLine\"", ""}]}}"
2,110,2021-04-22 10:02:14.4062532,4104,Verbose,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,6012,5140,win10-02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Contains contents of scripts run,,,"Path: ",ScriptBlockText: Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0,,,,,,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.004-Remote Service SSH\ID4103-4104-OpenSSH server install.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""Add-WindowsCapability -Online -Name OpenSSH.Server~~~~0.0.1.0""},{""@Name"":""ScriptBlockId"",""#text"":""fa9d0714-1fcd-4765-ab4f-ccea100a4b1a""},{""@Name"":""Path""}]}}"
3,111,2021-04-22 10:02:14.6190458,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,6012,5140,win10-02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Set-Alias,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Script Name: C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Dism\Dism.psm1,"ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Set-Alias): ""Set-Alias"", ParameterBinding(Set-Alias): name=""Name""; value=""Apply-WindowsUnattend"", ParameterBinding(Set-Alias): name=""Value""; value=""Use-WindowsUnattend"", ",,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.004-Remote Service SSH\ID4103-4104-OpenSSH server install.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.19041.906,         Host ID = 95e96d56-040a-43c5-9b7c-b459d24bbb56,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.19041.906,         Runspace ID = d1a7cc59-e5d0-4b40-bf2e-0e4265f432c0,         Pipeline ID = 7,         Command Name = Set-Alias,         Command Type = Cmdlet,         Script Name = C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Dism\\Dism.psm1,         Command Path = ,         Sequence Number = 22,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-Alias): \""Set-Alias\"", ParameterBinding(Set-Alias): name=\""Name\""; value=\""Apply-WindowsUnattend\"", ParameterBinding(Set-Alias): name=\""Value\""; value=\""Use-WindowsUnattend\"", ""}]}}"
4,112,2021-04-22 10:02:14.6199063,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,6012,5140,win10-02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Set-Alias,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Script Name: C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Dism\Dism.psm1,"ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Set-Alias): ""Set-Alias"", ParameterBinding(Set-Alias): name=""Name""; value=""Add-ProvisionedAppxPackage"", ParameterBinding(Set-Alias): name=""Value""; value=""Add-AppxProvisionedPackage"", ",,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.004-Remote Service SSH\ID4103-4104-OpenSSH server install.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.19041.906,         Host ID = 95e96d56-040a-43c5-9b7c-b459d24bbb56,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.19041.906,         Runspace ID = d1a7cc59-e5d0-4b40-bf2e-0e4265f432c0,         Pipeline ID = 7,         Command Name = Set-Alias,         Command Type = Cmdlet,         Script Name = C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Dism\\Dism.psm1,         Command Path = ,         Sequence Number = 24,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-Alias): \""Set-Alias\"", ParameterBinding(Set-Alias): name=\""Name\""; value=\""Add-ProvisionedAppxPackage\"", ParameterBinding(Set-Alias): name=\""Value\""; value=\""Add-AppxProvisionedPackage\"", ""}]}}"
5,113,2021-04-22 10:02:14.6202298,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,6012,5140,win10-02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Set-Alias,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Script Name: C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Dism\Dism.psm1,"ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Set-Alias): ""Set-Alias"", ParameterBinding(Set-Alias): name=""Name""; value=""Remove-ProvisionedAppxPackage"", ParameterBinding(Set-Alias): name=""Value""; value=""Remove-AppxProvisionedPackage"", ",,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.004-Remote Service SSH\ID4103-4104-OpenSSH server install.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.19041.906,         Host ID = 95e96d56-040a-43c5-9b7c-b459d24bbb56,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.19041.906,         Runspace ID = d1a7cc59-e5d0-4b40-bf2e-0e4265f432c0,         Pipeline ID = 7,         Command Name = Set-Alias,         Command Type = Cmdlet,         Script Name = C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Dism\\Dism.psm1,         Command Path = ,         Sequence Number = 26,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-Alias): \""Set-Alias\"", ParameterBinding(Set-Alias): name=\""Name\""; value=\""Remove-ProvisionedAppxPackage\"", ParameterBinding(Set-Alias): name=\""Value\""; value=\""Remove-AppxProvisionedPackage\"", ""}]}}"
6,114,2021-04-22 10:02:14.6205182,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,6012,5140,win10-02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Set-Alias,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Script Name: C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Dism\Dism.psm1,"ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Set-Alias): ""Set-Alias"", ParameterBinding(Set-Alias): name=""Name""; value=""Get-ProvisionedAppxPackage"", ParameterBinding(Set-Alias): name=""Value""; value=""Get-AppxProvisionedPackage"", ",,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.004-Remote Service SSH\ID4103-4104-OpenSSH server install.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.19041.906,         Host ID = 95e96d56-040a-43c5-9b7c-b459d24bbb56,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.19041.906,         Runspace ID = d1a7cc59-e5d0-4b40-bf2e-0e4265f432c0,         Pipeline ID = 7,         Command Name = Set-Alias,         Command Type = Cmdlet,         Script Name = C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Dism\\Dism.psm1,         Command Path = ,         Sequence Number = 28,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-Alias): \""Set-Alias\"", ParameterBinding(Set-Alias): name=\""Name\""; value=\""Get-ProvisionedAppxPackage\"", ParameterBinding(Set-Alias): name=\""Value\""; value=\""Get-AppxProvisionedPackage\"", ""}]}}"
7,115,2021-04-22 10:02:14.6208000,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,6012,5140,win10-02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Set-Alias,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Script Name: C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Dism\Dism.psm1,"ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Set-Alias): ""Set-Alias"", ParameterBinding(Set-Alias): name=""Name""; value=""Optimize-ProvisionedAppxPackages"", ParameterBinding(Set-Alias): name=""Value""; value=""Optimize-AppxProvisionedPackages"", ",,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.004-Remote Service SSH\ID4103-4104-OpenSSH server install.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.19041.906,         Host ID = 95e96d56-040a-43c5-9b7c-b459d24bbb56,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.19041.906,         Runspace ID = d1a7cc59-e5d0-4b40-bf2e-0e4265f432c0,         Pipeline ID = 7,         Command Name = Set-Alias,         Command Type = Cmdlet,         Script Name = C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Dism\\Dism.psm1,         Command Path = ,         Sequence Number = 30,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-Alias): \""Set-Alias\"", ParameterBinding(Set-Alias): name=\""Name\""; value=\""Optimize-ProvisionedAppxPackages\"", ParameterBinding(Set-Alias): name=\""Value\""; value=\""Optimize-AppxProvisionedPackages\"", ""}]}}"
8,116,2021-04-22 10:02:14.6210689,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,6012,5140,win10-02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Set-Alias,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Script Name: C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Dism\Dism.psm1,"ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Set-Alias): ""Set-Alias"", ParameterBinding(Set-Alias): name=""Name""; value=""Set-ProvisionedAppXDataFile"", ParameterBinding(Set-Alias): name=""Value""; value=""Set-AppXProvisionedDataFile"", ",,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.004-Remote Service SSH\ID4103-4104-OpenSSH server install.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.19041.906,         Host ID = 95e96d56-040a-43c5-9b7c-b459d24bbb56,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.19041.906,         Runspace ID = d1a7cc59-e5d0-4b40-bf2e-0e4265f432c0,         Pipeline ID = 7,         Command Name = Set-Alias,         Command Type = Cmdlet,         Script Name = C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Dism\\Dism.psm1,         Command Path = ,         Sequence Number = 32,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-Alias): \""Set-Alias\"", ParameterBinding(Set-Alias): name=\""Name\""; value=\""Set-ProvisionedAppXDataFile\"", ParameterBinding(Set-Alias): name=\""Value\""; value=\""Set-AppXProvisionedDataFile\"", ""}]}}"
9,117,2021-04-22 10:02:14.6215505,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,6012,5140,win10-02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Set-Alias,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Script Name: C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Dism\Dism.psm1,"ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Set-Alias): ""Set-Alias"", ParameterBinding(Set-Alias): name=""Name""; value=""Add-AppProvisionedPackage"", ParameterBinding(Set-Alias): name=""Value""; value=""Add-AppxProvisionedPackage"", ",,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.004-Remote Service SSH\ID4103-4104-OpenSSH server install.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.19041.906,         Host ID = 95e96d56-040a-43c5-9b7c-b459d24bbb56,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.19041.906,         Runspace ID = d1a7cc59-e5d0-4b40-bf2e-0e4265f432c0,         Pipeline ID = 7,         Command Name = Set-Alias,         Command Type = Cmdlet,         Script Name = C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Dism\\Dism.psm1,         Command Path = ,         Sequence Number = 34,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-Alias): \""Set-Alias\"", ParameterBinding(Set-Alias): name=\""Name\""; value=\""Add-AppProvisionedPackage\"", ParameterBinding(Set-Alias): name=\""Value\""; value=\""Add-AppxProvisionedPackage\"", ""}]}}"
10,118,2021-04-22 10:02:14.6218198,4103,Info,Microsoft-Windows-PowerShell,Microsoft-Windows-PowerShell/Operational,6012,5140,win10-02.offsec.lan,0,S-1-5-21-4230534742-2542757381-3142984815-1111,Pipeline executed,OFFSEC\admmig,,Command Name: Set-Alias,Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Script Name: C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Dism\Dism.psm1,"ConnectedUser: ",Host Name: ConsoleHost,"Payload: CommandInvocation(Set-Alias): ""Set-Alias"", ParameterBinding(Set-Alias): name=""Name""; value=""Remove-AppProvisionedPackage"", ParameterBinding(Set-Alias): name=""Value""; value=""Remove-AppxProvisionedPackage"", ",,False,EVTX-to-MITRE-Attack\TA0008-Lateral Movement\T1021.004-Remote Service SSH\ID4103-4104-OpenSSH server install.evtx,0x0,0,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        Severity = Informational,         Host Name = ConsoleHost,         Host Version = 5.1.19041.906,         Host ID = 95e96d56-040a-43c5-9b7c-b459d24bbb56,         Host Application = C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe,         Engine Version = 5.1.19041.906,         Runspace ID = d1a7cc59-e5d0-4b40-bf2e-0e4265f432c0,         Pipeline ID = 7,         Command Name = Set-Alias,         Command Type = Cmdlet,         Script Name = C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Dism\\Dism.psm1,         Command Path = ,         Sequence Number = 36,         User = OFFSEC\\admmig,         Connected User = ,         Shell ID = Microsoft.PowerShell, ""},{""@Name"":""UserData""},{""@Name"":""Payload"",""#text"":""CommandInvocation(Set-Alias): \""Set-Alias\"", ParameterBinding(Set-Alias): name=\""Name\""; value=\""Remove-AppProvisionedPackage\"", ParameterBinding(Set-Alias): name=\""Value\""; value=\""Remove-AppxProvisionedPackage\"", ""}]}}"
