RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,5,2023-04-14 08:22:34.8335166,5600,Info,Microsoft-Windows-WinINet-Config,Microsoft-Windows-WinINet-Config/ProxyConfigChanged,1100,2220,WIN,0,S-1-5-21-113448046-927799223-410490820-1001,Proxy configuration changed,,,fAutoDetect: False,"pwszAutoConfigUrl: ",pwszProxy: http://hacker-proxy.lan:123,"pwszProxyBypass: ",,,,False,EVTX-to-MITRE-Attack\TA0011-Command and Control\T1090-Proxy\ID5600-proxy configuration changed.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""fAutoDetect"",""#text"":""False""},{""@Name"":""pwszAutoConfigUrl""},{""@Name"":""pwszProxy"",""#text"":""http://hacker-proxy.lan:123""},{""@Name"":""pwszProxyBypass""}]}}"
2,6,2023-04-14 08:22:34.8359851,5600,Info,Microsoft-Windows-WinINet-Config,Microsoft-Windows-WinINet-Config/ProxyConfigChanged,1100,2220,WIN,0,S-1-5-21-113448046-927799223-410490820-1001,Proxy configuration changed,,,fAutoDetect: False,"pwszAutoConfigUrl: ",pwszProxy: http://hacker-proxy.lan:123,"pwszProxyBypass: ",,,,False,EVTX-to-MITRE-Attack\TA0011-Command and Control\T1090-Proxy\ID5600-proxy configuration changed.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""fAutoDetect"",""#text"":""False""},{""@Name"":""pwszAutoConfigUrl""},{""@Name"":""pwszProxy"",""#text"":""http://hacker-proxy.lan:123""},{""@Name"":""pwszProxyBypass""}]}}"
3,7,2023-04-14 08:24:15.2119054,5600,Info,Microsoft-Windows-WinINet-Config,Microsoft-Windows-WinINet-Config/ProxyConfigChanged,1100,2220,WIN,0,S-1-5-21-113448046-927799223-410490820-1001,Proxy configuration changed,,,fAutoDetect: False,"pwszAutoConfigUrl: ","pwszProxy: ","pwszProxyBypass: ",,,,False,EVTX-to-MITRE-Attack\TA0011-Command and Control\T1090-Proxy\ID5600-proxy configuration changed.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""fAutoDetect"",""#text"":""False""},{""@Name"":""pwszAutoConfigUrl""},{""@Name"":""pwszProxy""},{""@Name"":""pwszProxyBypass""}]}}"
4,8,2023-04-14 08:24:36.0760082,5600,Info,Microsoft-Windows-WinINet-Config,Microsoft-Windows-WinINet-Config/ProxyConfigChanged,1100,1244,WIN,0,S-1-5-21-113448046-927799223-410490820-1001,Proxy configuration changed,,,fAutoDetect: False,pwszAutoConfigUrl: http://hacker-bypass.com/,"pwszProxy: ","pwszProxyBypass: ",,,,False,EVTX-to-MITRE-Attack\TA0011-Command and Control\T1090-Proxy\ID5600-proxy configuration changed.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""fAutoDetect"",""#text"":""False""},{""@Name"":""pwszAutoConfigUrl"",""#text"":""http://hacker-bypass.com/""},{""@Name"":""pwszProxy""},{""@Name"":""pwszProxyBypass""}]}}"
5,9,2023-04-14 08:24:41.5770445,5600,Info,Microsoft-Windows-WinINet-Config,Microsoft-Windows-WinINet-Config/ProxyConfigChanged,1100,1244,WIN,0,S-1-5-21-113448046-927799223-410490820-1001,Proxy configuration changed,,,fAutoDetect: False,pwszAutoConfigUrl: http://hacker-bypass.com/,pwszProxy: http://hacker-proxy.lan:123,"pwszProxyBypass: ",,,,False,EVTX-to-MITRE-Attack\TA0011-Command and Control\T1090-Proxy\ID5600-proxy configuration changed.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""fAutoDetect"",""#text"":""False""},{""@Name"":""pwszAutoConfigUrl"",""#text"":""http://hacker-bypass.com/""},{""@Name"":""pwszProxy"",""#text"":""http://hacker-proxy.lan:123""},{""@Name"":""pwszProxyBypass""}]}}"
6,10,2023-04-14 08:24:41.5803444,5600,Info,Microsoft-Windows-WinINet-Config,Microsoft-Windows-WinINet-Config/ProxyConfigChanged,1100,1244,WIN,0,S-1-5-21-113448046-927799223-410490820-1001,Proxy configuration changed,,,fAutoDetect: False,pwszAutoConfigUrl: http://hacker-bypass.com/,pwszProxy: http://hacker-proxy.lan:123,"pwszProxyBypass: ",,,,False,EVTX-to-MITRE-Attack\TA0011-Command and Control\T1090-Proxy\ID5600-proxy configuration changed.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""fAutoDetect"",""#text"":""False""},{""@Name"":""pwszAutoConfigUrl"",""#text"":""http://hacker-bypass.com/""},{""@Name"":""pwszProxy"",""#text"":""http://hacker-proxy.lan:123""},{""@Name"":""pwszProxyBypass""}]}}"
7,11,2023-04-14 08:24:56.3642876,5600,Info,Microsoft-Windows-WinINet-Config,Microsoft-Windows-WinINet-Config/ProxyConfigChanged,1100,1808,WIN,0,S-1-5-21-113448046-927799223-410490820-1001,Proxy configuration changed,,,fAutoDetect: False,pwszAutoConfigUrl: http://hacker-bypass.com/,pwszProxy: http://hacker-proxy.lan:123,"pwszProxyBypass: ",,,,False,EVTX-to-MITRE-Attack\TA0011-Command and Control\T1090-Proxy\ID5600-proxy configuration changed.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""fAutoDetect"",""#text"":""False""},{""@Name"":""pwszAutoConfigUrl"",""#text"":""http://hacker-bypass.com/""},{""@Name"":""pwszProxy"",""#text"":""http://hacker-proxy.lan:123""},{""@Name"":""pwszProxyBypass""}]}}"
8,12,2023-04-14 08:24:56.3680739,5600,Info,Microsoft-Windows-WinINet-Config,Microsoft-Windows-WinINet-Config/ProxyConfigChanged,1100,1808,WIN,0,S-1-5-21-113448046-927799223-410490820-1001,Proxy configuration changed,,,fAutoDetect: False,pwszAutoConfigUrl: http://hacker-bypass.com/,pwszProxy: http://hacker-proxy.lan:123,pwszProxyBypass: &lt;local&gt;,,,,False,EVTX-to-MITRE-Attack\TA0011-Command and Control\T1090-Proxy\ID5600-proxy configuration changed.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""fAutoDetect"",""#text"":""False""},{""@Name"":""pwszAutoConfigUrl"",""#text"":""http://hacker-bypass.com/""},{""@Name"":""pwszProxy"",""#text"":""http://hacker-proxy.lan:123""},{""@Name"":""pwszProxyBypass"",""#text"":""&lt;local&gt;""}]}}"
9,13,2023-04-14 08:25:12.2200531,5600,Info,Microsoft-Windows-WinINet-Config,Microsoft-Windows-WinINet-Config/ProxyConfigChanged,1100,1240,WIN,0,S-1-5-21-113448046-927799223-410490820-1001,Proxy configuration changed,,,fAutoDetect: False,pwszAutoConfigUrl: http://hacker-bypass.com/,pwszProxy: http://hacker-proxy.lan:123,pwszProxyBypass: &lt;local&gt;,,,,False,EVTX-to-MITRE-Attack\TA0011-Command and Control\T1090-Proxy\ID5600-proxy configuration changed.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""fAutoDetect"",""#text"":""False""},{""@Name"":""pwszAutoConfigUrl"",""#text"":""http://hacker-bypass.com/""},{""@Name"":""pwszProxy"",""#text"":""http://hacker-proxy.lan:123""},{""@Name"":""pwszProxyBypass"",""#text"":""&lt;local&gt;""}]}}"
10,14,2023-04-14 08:25:12.2234708,5600,Info,Microsoft-Windows-WinINet-Config,Microsoft-Windows-WinINet-Config/ProxyConfigChanged,1100,1808,WIN,0,S-1-5-21-113448046-927799223-410490820-1001,Proxy configuration changed,,,fAutoDetect: False,pwszAutoConfigUrl: http://hacker-bypass.com/,pwszProxy: http://hacker-proxy.lan:123,pwszProxyBypass: http://internal.lan;&lt;local&gt;,,,,False,EVTX-to-MITRE-Attack\TA0011-Command and Control\T1090-Proxy\ID5600-proxy configuration changed.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""fAutoDetect"",""#text"":""False""},{""@Name"":""pwszAutoConfigUrl"",""#text"":""http://hacker-bypass.com/""},{""@Name"":""pwszProxy"",""#text"":""http://hacker-proxy.lan:123""},{""@Name"":""pwszProxyBypass"",""#text"":""http://internal.lan;&lt;local&gt;""}]}}"
