# DETECTION BENCHMARK RESULTS - column glossary
# ----------------------------------------------------------------------
# Model               LLM model id used to score this run
# Filename            Source artifact analyzed (EVTX file or CSV stem)
# Difficulty          Tag from metadata.json: easy / medium / hard
# Test Set            A=Known Pattern, B=Obfuscated, C=Noise-heavy, D=Benign
# Status              processed | error | context_exceeded
# Malicious           Model verdict: YES (attack) or NO (routine/benign)
# Confidence %        Heuristic confidence from response structure quality, not model-stated (0-100)
# Alignment %         Share of cited evidence found verbatim in source (0-100)
# Structure Valid     Response parsed cleanly into the required sections
# Event IDs           Event IDs extracted from the model's EVIDENCE block
# Processes           Process names extracted from the model's EVIDENCE block
# Accounts            Account names extracted from the model's EVIDENCE block
# Commands            Command lines / script blocks extracted from EVIDENCE
# Network             IPs / hostnames / shares extracted from EVIDENCE
# Registry            Registry keys / values extracted from EVIDENCE
# Hallucination %     Share of cited evidence not found in source events (0-100)
# Response Time (s)   Wall-clock seconds from prompt sent to response received
# Extraction (6)      Did the model find the right evidence? (0-6)
# Interpretation (6)  Did it correctly explain what the evidence implies? (0-6)
# NoHallucination (4) 4 = no fabricated evidence, 0 = heavy fabrication
# Reasoning (4)       Quality of the chain of reasoning in EXPLANATION (0-4)
# Total (20)          Sum of the four criteria above (0-20)
# Grade               Letter grade from Total: A>=17, B>=14, C>=10, D<10
# LLM Response        Full raw text the model returned, before any parsing
#
# Skip these lines in pandas:  pd.read_csv(path, comment='#')
# ----------------------------------------------------------------------
Model,Filename,Difficulty,Test Set,Status,Malicious,Confidence %,Alignment %,Structure Valid,Event IDs,Processes,Accounts,Commands,Network,Registry,Hallucination %,Response Time (s),Extraction (6),Interpretation (6),NoHallucination (4),Reasoning (4),Total (20),Grade,LLM Response
gpt-5.5-2026-04-23,ID33205-SQL Server failed login with disabled SA account.evtx,easy,A,processed,YES,100.0,75.0,YES,33205,,sa,,"mssql01.offsec.lan, 10.23.23.9",,0.0,11.95,4.5,2.0,4.0,3,13.5,C,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 33205
- Processes: None
- Accounts: sa
- Commands: None
- Network: mssql01.offsec.lan, 10.23.23.9
- Registry: None

EXPLANATION:
Both events show failed login attempts for user 'sa' from 10.23.23.9 against mssql01.offsec.lan. The repeated failed authentication attempts for a privileged SQL account indicate malicious login activity."
gpt-5.5-2026-04-23,ID4625-failed login with denied access due to account restriction.evtx,easy,A,processed,NO,100.0,100.0,YES,4625,C:\Windows\System32\winlogon.exe,"FS03$, -",,"FS03.offsec.lan, 10.23.23.9",,0.0,10.16,6.0,5.0,4.0,2,17.0,A,"MALICIOUS: NO

EVIDENCE:
- Event IDs: 4625
- Processes: C:\Windows\System32\winlogon.exe
- Accounts: FS03$, -
- Commands: None
- Network: FS03.offsec.lan, 10.23.23.9
- Registry: None

EXPLANATION:
The logs show two failed LogonType 10 authentication attempts handled by C:\Windows\System32\winlogon.exe from 10.23.23.9. Based only on these events, there is no successful logon, command execution, registry change, or broader pattern proving attack behavior."
gpt-5.5-2026-04-23,ID1-WMI spwaning PowerShell process - WMImplant.evtx,easy,B,processed,YES,100.0,100.0,YES,1,"C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\System32\wbem\WmiPrvSE.exe",OFFSEC\admmig,"powershell $env:I4Pzl|.(Get-C`ommand ('{1}e{0}'-f'x','i')), C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding",fs03vuln.offsec.lan,,0.0,5.50,6.0,6.0,4.0,4,20.0,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 1
- Processes: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\System32\wbem\WmiPrvSE.exe
- Accounts: OFFSEC\admmig
- Commands: powershell $env:I4Pzl|.(Get-C`ommand ('{1}e{0}'-f'x','i')), C:\Windows\system32\wbem\wmiprvse.exe -secured -Embedding
- Network: fs03vuln.offsec.lan
- Registry: None

EXPLANATION:
PowerShell was launched with an obfuscated command line using an environment variable and dynamic command construction. The parent process was WmiPrvSE.exe, indicating PowerShell execution via WMI under OFFSEC\admmig, which is suspicious attack behavior."
gpt-5.5-2026-04-23,ID1-WMIexec process execution.evtx,easy,A,processed,YES,100.0,90.0,YES,1,C:\Windows\System32\cmd.exe,NT AUTHORITY\SYSTEM,"C:\Windows\system32\cmd.exe  /Q /c C:\Windows\TEMP\execute.bat, C:\Windows\system32\cmd.exe /Q /c echo cd  ^&gt | \\127.0.0.1\C$\__output 2^&gt | ^&amp | 1 &gt | C:\Windows\TEMP\execute.bat &amp | C:\Windows\system32\cmd.exe /Q /c C:\Windows\TEMP\execute.bat &amp | del C:\Windows\TEMP\execute.bat","fs02.offsec.lan, 127.0.0.1",,33.3,11.47,5.4,6.0,2.7,3,17.1,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 1
- Processes: C:\Windows\System32\cmd.exe, C:\Windows\system32\cmd.exe
- Accounts: NT AUTHORITY\SYSTEM
- Commands: C:\Windows\system32\cmd.exe  /Q /c C:\Windows\TEMP\execute.bat, C:\Windows\system32\cmd.exe /Q /c echo cd  ^&gt; \\127.0.0.1\C$\__output 2^&gt;^&amp;1 &gt; C:\Windows\TEMP\execute.bat &amp; C:\Windows\system32\cmd.exe /Q /c C:\Windows\TEMP\execute.bat &amp; del C:\Windows\TEMP\execute.bat
- Network: fs02.offsec.lan, 127.0.0.1
- Registry: None

EXPLANATION:
The event shows cmd.exe running as NT AUTHORITY\SYSTEM to execute C:\Windows\TEMP\execute.bat. The parent command creates a temporary batch file, redirects command output to \\127.0.0.1\C$\__output, executes it, and deletes it, which is consistent with suspicious remote command execution behavior."
gpt-5.5-2026-04-23,ID3-7-10-Suspicious DLL loaded (CME+Mimikatz).evtx,easy,A,processed,YES,100.0,100.0,YES,"7, 3, 10","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\system32\lsass.exe",OFFSEC\admmig,,"fs03vuln.offsec.lan, 10.23.42.38, 10.23.123.11",,0.0,10.64,6.0,6.0,4.0,4,20.0,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 7, 3, 10
- Processes: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\Windows\system32\lsass.exe
- Accounts: OFFSEC\admmig
- Commands: None
- Network: fs03vuln.offsec.lan, 10.23.42.38, 10.23.123.11
- Registry: None

EXPLANATION:
The same C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe process loaded PowerShell and WMI components, made repeated TCP connections from 10.23.42.38 to 10.23.123.11 on port 443, and then accessed C:\Windows\system32\lsass.exe. PowerShell accessing lsass.exe with GrantedAccess 0x143A is consistent with credential access behavior, making this pattern malicious."
gpt-5.5-2026-04-23,ID4688-5145-WMIexec execution via SMB.evtx,easy,A,processed,YES,100.0,75.0,YES,"1102, 4964, 4672, 4624, 4688, 4674, 5140, 5145","C:\Windows\System32\cmd.exe, C:\Windows\System32\conhost.exe","admmig, LOCAL SERVICE, FS03VULN$",cmd.exe /Q /c cd \ 1&gt | \\127.0.0.1\ADMIN$\__1619090610.0007844 2&gt | &amp | 1 | \??\C:\Windows\system32\conhost.exe 0xffffffff | cmd.exe /Q /c cd  1&gt,"fs03vuln.offsec.lan, 10.23.23.9, 10.23.123.11, 127.0.0.1",,0.0,26.77,4.5,5.0,4.0,3,16.5,B,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 1102, 4964, 4672, 4624, 4688, 4674, 5140, 5145
- Processes: C:\Windows\System32\cmd.exe, C:\Windows\System32\conhost.exe
- Accounts: admmig, LOCAL SERVICE, FS03VULN$
- Commands: cmd.exe /Q /c cd \ 1&gt; \\127.0.0.1\ADMIN$\__1619090610.0007844 2&gt;&amp;1; \??\C:\Windows\system32\conhost.exe 0xffffffff; cmd.exe /Q /c cd  1&gt; \\127.0.0.1\ADMIN$\__1619090610.0007844 2&gt;&amp;1
- Network: fs03vuln.offsec.lan, 10.23.23.9, 10.23.123.11, 127.0.0.1
- Registry: None

EXPLANATION:
The logs show the Security log was cleared by admmig, followed by repeated privileged logons and access to administrative shares including \\*\ADMIN$ and \\*\C$. Process creation shows cmd.exe commands redirecting output to \\127.0.0.1\ADMIN$\__1619090610.0007844, and later access to Users\admmig\Desktop\SMB exec.evtx, which together indicate SMB-based remote command execution and evidence handling rather than routine activity."
gpt-5.5-2026-04-23,ID4688-4698 Persistent scheduled task with SYSTEM privileges creation.evtx,easy,A,processed,YES,100.0,93.8,YES,"4688, 4698","C:\Windows\System32\schtasks.exe, C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\tools\shell.cmd, C:\Windows\System32\cscript.exe, C:\Program Files\Microsoft Monitoring Agent\Agent\MonitoringHost.exe, C:\Windows\System32\conhost.exe","admmig, OFFSEC\admmig, SRVDEFENDER01$","""C:\Windows\system32\schtasks.exe"" /create /sc minute /mo 1 /tn eviltask /tr C:\tools\shell.cmd /ru SYSTEM, ""C:\Windows\system32\cscript.exe"" /nologo ""MonitorKnowledgeDiscovery.vbs"", \??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1",srvdefender01.offsec.lan,,0.0,19.32,5.6,6.0,4.0,4,19.6,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4688, 4698
- Processes: C:\Windows\System32\schtasks.exe, C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe, C:\tools\shell.cmd, C:\Windows\System32\cscript.exe, C:\Program Files\Microsoft Monitoring Agent\Agent\MonitoringHost.exe, C:\Windows\System32\conhost.exe
- Accounts: admmig, OFFSEC\admmig, SRVDEFENDER01$
- Commands: ""C:\Windows\system32\schtasks.exe"" /create /sc minute /mo 1 /tn eviltask /tr C:\tools\shell.cmd /ru SYSTEM, ""C:\Windows\system32\cscript.exe"" /nologo ""MonitorKnowledgeDiscovery.vbs"", \??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1
- Network: srvdefender01.offsec.lan
- Registry: None

EXPLANATION:
The logs show admmig running schtasks.exe from powershell.exe to create \eviltask with a one-minute repetition and /ru SYSTEM. Event 4698 confirms the scheduled task executes C:\tools\shell.cmd as S-1-5-18, which indicates malicious persistence and privilege escalation behavior."
gpt-5.5-2026-04-23,ID4688-Interactive shell using AT schedule task.evtx,easy,A,processed,YES,100.0,100.0,YES,4688,"C:\Windows\System32\at.exe, C:\Windows\System32\cmd.exe",admmig,at  13:20 /interactive cmd,fs01.offsec.lan,,0.0,6.75,6.0,6.0,4.0,3,19.0,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4688
- Processes: C:\Windows\System32\at.exe, C:\Windows\System32\cmd.exe
- Accounts: admmig
- Commands: at  13:20 /interactive cmd
- Network: fs01.offsec.lan
- Registry: None

EXPLANATION:
The log shows admmig starting C:\Windows\System32\at.exe from C:\Windows\System32\cmd.exe with the command at  13:20 /interactive cmd. Scheduling an interactive cmd through at.exe is suspicious attack behavior because it can be used to spawn an interactive command shell through a scheduled task context."
gpt-5.5-2026-04-23,ID4688-Scheduled task creation.evtx,easy,A,processed,YES,100.0,100.0,YES,4688,"C:\Windows\System32\schtasks.exe, C:\Windows\System32\cmd.exe",lambda-user,schtasks  /create /s fs02 /tn tasks_test_hacker2 /tr myapp.exe /sc daily /mo 10,"jump01.offsec.lan, fs02",,0.0,6.14,6.0,6.0,4.0,4,20.0,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4688
- Processes: C:\Windows\System32\schtasks.exe, C:\Windows\System32\cmd.exe
- Accounts: lambda-user
- Commands: schtasks  /create /s fs02 /tn tasks_test_hacker2 /tr myapp.exe /sc daily /mo 10
- Network: jump01.offsec.lan, fs02
- Registry: None

EXPLANATION:
The event shows lambda-user launching schtasks.exe from cmd.exe to create a scheduled task on fs02. The command creates a recurring task named tasks_test_hacker2 to run myapp.exe, which is consistent with malicious remote persistence behavior."
gpt-5.5-2026-04-23,ID4698-4699-Fast created & deleted task by ATexec (susp. arg.).evtx,easy,A,processed,YES,100.0,100.0,YES,"4698, 4699",cmd.exe,"admmig, LocalSystem","cmd.exe, /C whoami &amp | gt | %windir%\Temp\bouWFQYO.tmp 2&amp | &amp | amp | 1",fs01.offsec.lan,,0.0,11.46,6.0,6.0,4.0,4,20.0,A,"MALICIOUS: YES

EVIDENCE:
- Event IDs: 4698, 4699
- Processes: cmd.exe
- Accounts: admmig, LocalSystem
- Commands: cmd.exe, /C whoami &amp;gt; %windir%\Temp\bouWFQYO.tmp 2&amp;gt;&amp;amp;1
- Network: fs01.offsec.lan
- Registry: None

EXPLANATION:
A hidden scheduled task named \bouWFQYO was created by admmig to run cmd.exe as LocalSystem with HighestAvailable privileges and execute whoami with output redirected to a temp file. The task was deleted immediately afterward in Event ID 4699, which is a suspicious create-and-delete pattern consistent with stealthy task-based execution."
