TestID,Difficulty,Model,Run,Status,Extraction,Interpretation,NoHallucination,Reasoning,TotalScore,Grade
BENIGN-ID33205-SQL Server successful admin login.csv,,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,3.0,4.0,2,15.0,B
BENIGN-ID1-Admin PowerShell routine diagnostic.csv,,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,3.0,4.0,2,15.0,B
BENIGN-ID4698-Windows Update scheduled task.csv,,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,3.0,2.0,2,13.0,C
BENIGN-ID1-GPO refresh by SYSTEM via gpupdate.csv,,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,3.0,3.3,1,13.3,C
BENIGN-ID1000-Defender scheduled quick scan.csv,,qwen3.6:35b-a3b-mxfp8,1,processed,5.0,3.0,3.3,1,12.3,C
BENIGN-ID1-WSUS update scan via wuauclt.csv,,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,3.0,4.0,1,14.0,B
BENIGN-ID1-Authorised MSI install via SCCM.csv,,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,3.0,3.3,2,14.3,B
BENIGN-ID4624-AD replication health probe by DC.csv,,qwen3.6:35b-a3b-mxfp8,1,processed,5.0,3.0,4.0,1,13.0,C
BENIGN-ID1-Admin MMC console session via RDP.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,4.0,2,17.0,A
BENIGN-ID1-SCCM creates patch deployment scheduled task.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,4.0,2,17.0,A
BENIGN-ID1-Helpdesk audits Domain Admins membership.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,3.0,2.0,4.0,3,12.0,C
BENIGN-ID1-SCCM hardware inventory via wmic.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,4.0,2,17.0,A
BENIGN-ID1-GPO applies registry policy via reg add.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,4.0,2,17.0,A
BENIGN-ID1-SCCM enforces firewall domain profile via netsh.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,3.3,2,16.3,B
BENIGN-ID1-Windows Update bitsadmin patch transfer.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,4.0,1,16.0,B
BENIGN-ID4624-Service logon for Veeam Backup Service.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,4.0,1,16.0,B
BENIGN-ID4624-Batch logon for Update Orchestrator task.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,4.0,1,16.0,B
BENIGN-ID4624-Admin RDP from corporate jumpbox.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,2.0,2,15.0,B
BENIGN-ID4624-User SMB read from public share.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,4.0,2,17.0,A
BENIGN-ID4673-Veeam backup uses SeBackupPrivilege.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,6.0,3.3,3,18.3,A
BENIGN-ID4674-Defender reads Run key during scan.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,4.0,1,16.0,B
BENIGN-ID4672-Admin RDP session special privileges.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,4.0,3,18.0,A
BENIGN-ID4720-Helpdesk creates user during onboarding.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,2.7,2,15.7,B
BENIGN-ID4732-Helpdesk adds user to Software Devs group.evtx,easy,qwen3.6:35b-a3b-mxfp8,1,processed,6.0,5.0,3.3,2,16.3,B
